 Energy_[eV], 10nm, 50nm, 100nm, 1um 
 1540.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1560.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1580.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1600.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1620.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1640.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1660.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1680.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1700.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1720.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1740.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1760.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1780.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1800.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1820.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1840.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1860.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1880.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1900.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1920.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1940.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1960.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 1980.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2000.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2020.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2040.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2060.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2080.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2100.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2120.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2140.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2160.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2180.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2200.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2220.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2240.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2260.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2280.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2300.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2320.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2340.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2360.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2380.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2400.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2420.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2440.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2460.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2480.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2500.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2520.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2540.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2560.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2580.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2600.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2620.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2640.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2660.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2680.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2700.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
