Energy (in eV), SEEE yield of material al2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.08729294
20.0, 0.17159179
30.0, 0.25316063
40.0, 0.33206928
50.0, 0.40834177
60.0, 0.48198593
70.0, 0.5530046
80.0, 0.6214003
90.0, 0.6871776
100.0, 0.750345
110.0, 0.8109148
120.0, 0.86890435
130.0, 0.9243353
140.0, 0.9772341
150.0, 1.0276316
160.0, 1.0755627
170.0, 1.1210668
180.0, 1.164186
190.0, 1.2049671
200.0, 1.2434591
210.0, 1.2797142
220.0, 1.3137872
230.0, 1.3457347
240.0, 1.3756157
250.0, 1.4034902
260.0, 1.4294204
270.0, 1.4534688
280.0, 1.4756987
290.0, 1.4961747
300.0, 1.514961
310.0, 1.5321221
320.0, 1.5477229
330.0, 1.5618268
340.0, 1.5744982
350.0, 1.5857997
360.0, 1.5957935
370.0, 1.604541
380.0, 1.6121024
390.0, 1.6185367
400.0, 1.6239014
410.0, 1.6282532
420.0, 1.6316469
430.0, 1.6341356
440.0, 1.6357718
450.0, 1.636605
460.0, 1.6366838
470.0, 1.636056
480.0, 1.6347655
490.0, 1.6328564
500.0, 1.6303704
510.0, 1.6273477
520.0, 1.6238258
530.0, 1.6198425
540.0, 1.6154318
550.0, 1.6106278
560.0, 1.6054611
570.0, 1.5999631
580.0, 1.5941616
590.0, 1.588084
600.0, 1.5817555
610.0, 1.5752007
620.0, 1.5684421
630.0, 1.5615015
640.0, 1.5543989
650.0, 1.547153
660.0, 1.5397819
670.0, 1.5323021
680.0, 1.5247293
690.0, 1.5170774
700.0, 1.5093608
710.0, 1.501591
720.0, 1.4937804
730.0, 1.4859394
740.0, 1.478078
750.0, 1.4702057
760.0, 1.4623305
770.0, 1.4544603
780.0, 1.4466023
790.0, 1.438763
800.0, 1.4309484
810.0, 1.4231638
820.0, 1.4154141
830.0, 1.4077039
840.0, 1.4000369
850.0, 1.3924168
860.0, 1.3848469
870.0, 1.3773302
880.0, 1.3698685
890.0, 1.3624649
900.0, 1.3551208
910.0, 1.3478378
920.0, 1.3406178
930.0, 1.3334614
940.0, 1.3263701
950.0, 1.3193445
960.0, 1.3123852
970.0, 1.3054928
980.0, 1.2986672
990.0, 1.2919096
1000.0, 1.285219
1010.0, 1.2785959
1020.0, 1.2720401
1030.0, 1.2655517
