Energy (in eV), SEEE yield of material al2k-NASCAP at incidence 90.0 degree
1040.0, 1.25913
1050.0, 1.2527747
1060.0, 1.2464855
1070.0, 1.2402619
1080.0, 1.2341036
1090.0, 1.2280096
1100.0, 1.2219799
1110.0, 1.2160133
1120.0, 1.2101096
1130.0, 1.2042677
1140.0, 1.1984873
1150.0, 1.1927674
1160.0, 1.1871073
1170.0, 1.1815066
1180.0, 1.1759641
1190.0, 1.170479
1200.0, 1.1650511
1210.0, 1.1596793
1220.0, 1.1543629
1230.0, 1.149101
1240.0, 1.143893
1250.0, 1.138738
1260.0, 1.1336355
1270.0, 1.1285845
1280.0, 1.1235845
1290.0, 1.1186346
1300.0, 1.113734
1310.0, 1.1088823
1320.0, 1.1040787
1330.0, 1.0993223
1340.0, 1.0946125
1350.0, 1.0899487
1360.0, 1.0853302
1370.0, 1.0807564
1380.0, 1.0762266
1390.0, 1.0717403
1400.0, 1.0672965
1410.0, 1.0628949
1420.0, 1.058535
1430.0, 1.0542159
1440.0, 1.0499372
1450.0, 1.0456982
1460.0, 1.0414987
1470.0, 1.0373375
1480.0, 1.0332146
1490.0, 1.0291294
1500.0, 1.025081
1510.0, 1.0210694
1520.0, 1.0170935
1530.0, 1.0131534
1540.0, 1.0092483
1550.0, 1.0053779
1560.0, 1.0015414
1570.0, 0.9977386
1580.0, 0.9939689
1590.0, 0.99023217
1600.0, 0.9865275
1610.0, 0.9828547
1620.0, 0.97921354
1630.0, 0.97560334
1640.0, 0.97202355
1650.0, 0.9684741
1660.0, 0.9649546
1670.0, 0.96146435
1680.0, 0.9580031
1690.0, 0.95457065
1700.0, 0.9511664
1710.0, 0.9477902
1720.0, 0.9444414
1730.0, 0.9411199
1740.0, 0.93782544
1750.0, 0.9345573
1760.0, 0.93131554
1770.0, 0.9280997
1780.0, 0.92490935
1790.0, 0.92174417
1800.0, 0.91860414
1810.0, 0.91548854
1820.0, 0.9123974
1830.0, 0.9093301
1840.0, 0.9062868
1850.0, 0.9032669
1860.0, 0.90027016
1870.0, 0.89729625
1880.0, 0.8943451
1890.0, 0.89141625
1900.0, 0.8885095
1910.0, 0.8856246
1920.0, 0.88276124
1930.0, 0.87991923
1940.0, 0.8770984
1950.0, 0.8742983
1960.0, 0.8715189
1970.0, 0.8687597
1980.0, 0.8660208
1990.0, 0.86330163
2000.0, 0.8606023
2010.0, 0.8579225
2020.0, 0.85526174
2030.0, 0.8526201
2040.0, 0.8499972
2050.0, 0.84739304
2060.0, 0.84480727
2070.0, 0.84223956
2080.0, 0.83968997
2090.0, 0.83715814
2100.0, 0.8346439
2110.0, 0.8321471
2120.0, 0.82966757
2130.0, 0.82720494
2140.0, 0.8247592
2150.0, 0.8223302
2160.0, 0.81991774
2170.0, 0.81752145
2180.0, 0.81514156
2190.0, 0.81277746
2200.0, 0.8104292
2210.0, 0.80809665
2220.0, 0.80577964
2230.0, 0.8034778
2240.0, 0.80119133
2250.0, 0.79891974
2260.0, 0.796663
2270.0, 0.794421
2280.0, 0.79219365
2290.0, 0.7899806
2300.0, 0.78778183
2310.0, 0.7855972
2320.0, 0.78342664
2330.0, 0.7812698
2340.0, 0.7791267
2350.0, 0.7769972
2360.0, 0.7748811
2370.0, 0.77277833
2380.0, 0.7706887
2390.0, 0.76861215
2400.0, 0.76654845
2410.0, 0.7644976
2420.0, 0.7624594
2430.0, 0.7604338
2440.0, 0.7584206
2450.0, 0.7564196
2460.0, 0.7544309
2470.0, 0.7524543
2480.0, 0.7504895
2490.0, 0.7485367
2500.0, 0.74659556
2510.0, 0.74466604
2520.0, 0.742748
2530.0, 0.7408415
2540.0, 0.73894626
2550.0, 0.7370622
2560.0, 0.73518914
2570.0, 0.7333272
2580.0, 0.73147607
2590.0, 0.72963583
2600.0, 0.72780615
2610.0, 0.72598714
2620.0, 0.7241786
2630.0, 0.7223805
2640.0, 0.7205927
2650.0, 0.7188151
2660.0, 0.7170477
2670.0, 0.7152903
2680.0, 0.71354276
2690.0, 0.7118052
2700.0, 0.71007735
2710.0, 0.70835924
2720.0, 0.7066507
2730.0, 0.7049517
2740.0, 0.7032621
2750.0, 0.7015819
2760.0, 0.69991094
2770.0, 0.69824916
2780.0, 0.6965966
2790.0, 0.69495296
2800.0, 0.6933183
2810.0, 0.6916926
2820.0, 0.69007564
2830.0, 0.68846744
2840.0, 0.68686783
2850.0, 0.6852769
2860.0, 0.6836945
2870.0, 0.68212044
2880.0, 0.6805548
2890.0, 0.67899746
2900.0, 0.67744833
2910.0, 0.67590743
2920.0, 0.67437464
2930.0, 0.67284983
2940.0, 0.67133296
2950.0, 0.669824
2960.0, 0.668323
2970.0, 0.66682965
2980.0, 0.66534406
2990.0, 0.6638661
3000.0, 0.6623957
