Energy (in eV), SEEE yield of material al2k-NASCAP at incidence 0.0 degree
   X,       Y
2720.0, 0.35332534
2730.0, 0.35247585
2740.0, 0.35163105
2750.0, 0.35079095
2760.0, 0.34995547
2770.0, 0.34912458
2780.0, 0.3482983
2790.0, 0.34747648
2800.0, 0.34665915
2810.0, 0.3458463
2820.0, 0.34503782
2830.0, 0.34423372
2840.0, 0.34343392
2850.0, 0.34263846
2860.0, 0.34184724
2870.0, 0.34106022
2880.0, 0.3402774
2890.0, 0.33949873
2900.0, 0.33872417
2910.0, 0.33795372
2920.0, 0.33718732
2930.0, 0.33642492
2940.0, 0.33566648
2950.0, 0.334912
2960.0, 0.3341615
2970.0, 0.33341482
2980.0, 0.33267203
2990.0, 0.33193305
3000.0, 0.33119786
