Energy (in eV), backscattering yield of material al2k-NASCAP at incidence 60.0 degree
   X,       Y
2720.0, 0.44188547
2730.0, 0.44175425
2740.0, 0.44162324
2750.0, 0.44149244
2760.0, 0.44136187
2770.0, 0.44123152
2780.0, 0.4411014
2790.0, 0.4409715
2800.0, 0.4408418
2810.0, 0.44071233
2820.0, 0.4405831
2830.0, 0.4404541
2840.0, 0.4403253
2850.0, 0.4401967
2860.0, 0.44006833
2870.0, 0.43994018
2880.0, 0.43981227
2890.0, 0.43968457
2900.0, 0.43955708
2910.0, 0.43942982
2920.0, 0.43930274
2930.0, 0.43917593
2940.0, 0.4390493
2950.0, 0.4389229
2960.0, 0.43879673
2970.0, 0.43867075
2980.0, 0.43854502
2990.0, 0.43841946
3000.0, 0.43829414
3010.0, 0.43816903
3020.0, 0.43804416
3030.0, 0.43791947
3040.0, 0.437795
3050.0, 0.43767074
3060.0, 0.4375467
3070.0, 0.43742287
3080.0, 0.43729925
3090.0, 0.43717587
3100.0, 0.43705267
3110.0, 0.4369297
3120.0, 0.43680692
3130.0, 0.43668437
3140.0, 0.436562
3150.0, 0.43643987
3160.0, 0.43631795
3170.0, 0.43619624
3180.0, 0.43607473
3190.0, 0.43595344
3200.0, 0.43583235
3210.0, 0.43571147
3220.0, 0.4355908
3230.0, 0.4354703
3240.0, 0.43535006
3250.0, 0.43523002
3260.0, 0.43511018
3270.0, 0.43499053
3280.0, 0.4348711
3290.0, 0.43475187
3300.0, 0.43463287
3310.0, 0.43451405
3320.0, 0.43439543
3330.0, 0.43427703
3340.0, 0.43415883
3350.0, 0.43404084
3360.0, 0.43392307
3370.0, 0.43380547
3380.0, 0.43368807
3390.0, 0.4335709
3400.0, 0.43345392
3410.0, 0.43333712
3420.0, 0.43322054
3430.0, 0.4331042
3440.0, 0.432988
3450.0, 0.43287203
3460.0, 0.43275625
3470.0, 0.43264067
3480.0, 0.4325253
3490.0, 0.43241015
3500.0, 0.43229517
3510.0, 0.4321804
3520.0, 0.43206584
3530.0, 0.43195146
3540.0, 0.43183726
3550.0, 0.4317233
3560.0, 0.4316095
3570.0, 0.43149593
3580.0, 0.43138254
3590.0, 0.43126935
3600.0, 0.43115637
3610.0, 0.43104357
3620.0, 0.43093097
3630.0, 0.43081856
3640.0, 0.43070635
3650.0, 0.43059435
3660.0, 0.4304825
3670.0, 0.4303709
3680.0, 0.43025947
3690.0, 0.4301482
3700.0, 0.4300372
3710.0, 0.42992634
3720.0, 0.42981568
3730.0, 0.4297052
3740.0, 0.42959493
