Energy (in eV), backscattering yield of material al2k-NASCAP at incidence 40.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.038762208
70.0, 0.06194169
80.0, 0.07996462
90.0, 0.09484561
100.0, 0.10754569
110.0, 0.11862555
120.0, 0.12844811
130.0, 0.1372642
140.0, 0.1452554
150.0, 0.15255775
160.0, 0.15927595
170.0, 0.16549253
180.0, 0.17127357
190.0, 0.17667297
200.0, 0.18173519
210.0, 0.18649736
220.0, 0.19099085
230.0, 0.19524235
240.0, 0.19927478
250.0, 0.203108
260.0, 0.20675923
270.0, 0.21024366
280.0, 0.21357456
290.0, 0.21676381
300.0, 0.21982184
310.0, 0.22275808
320.0, 0.22558096
330.0, 0.22829802
340.0, 0.2309162
350.0, 0.23344158
360.0, 0.23587994
370.0, 0.23823637
380.0, 0.24051556
390.0, 0.2427219
400.0, 0.24485934
410.0, 0.24693151
420.0, 0.24894181
430.0, 0.25089338
440.0, 0.2527891
450.0, 0.25463164
460.0, 0.25642353
470.0, 0.2581671
480.0, 0.25986454
490.0, 0.26151785
500.0, 0.26312897
510.0, 0.26469964
520.0, 0.26623157
530.0, 0.26772633
540.0, 0.2691854
550.0, 0.27061018
560.0, 0.27200198
570.0, 0.27336204
580.0, 0.27469155
590.0, 0.2759916
600.0, 0.27726325
610.0, 0.27850753
620.0, 0.27972534
630.0, 0.28091764
640.0, 0.2820852
650.0, 0.28322893
660.0, 0.28434953
670.0, 0.2854478
680.0, 0.2865244
690.0, 0.28758
700.0, 0.28861532
710.0, 0.28963083
720.0, 0.29062727
730.0, 0.29160511
740.0, 0.29256493
750.0, 0.2935072
760.0, 0.29443243
770.0, 0.29534113
780.0, 0.29623374
790.0, 0.29711065
800.0, 0.29797235
810.0, 0.2988192
820.0, 0.2996516
830.0, 0.30046993
840.0, 0.3012745
850.0, 0.30206573
860.0, 0.30284393
870.0, 0.3036094
880.0, 0.30436248
890.0, 0.3051034
900.0, 0.30583254
910.0, 0.30655015
920.0, 0.3072565
930.0, 0.3079518
940.0, 0.30863637
950.0, 0.3093104
960.0, 0.3099742
970.0, 0.31062794
980.0, 0.31127185
990.0, 0.31190613
1000.0, 0.31253102
1010.0, 0.31235224
1020.0, 0.31217378
1030.0, 0.3119957
