Energy (in eV), SEEP yield of material al2k-NASCAP at isotropic incidence
   X,       Y
53600.0, 2.9012454
53800.0, 2.9046273
54000.0, 2.9079947
54200.0, 2.9113472
54400.0, 2.914685
54600.0, 2.9180079
54800.0, 2.9213166
55000.0, 2.9246116
55200.0, 2.9278915
55400.0, 2.931157
55600.0, 2.9344087
55800.0, 2.9376466
56000.0, 2.94087
56200.0, 2.9440799
56400.0, 2.947276
56600.0, 2.950458
56800.0, 2.9536264
57000.0, 2.956781
57200.0, 2.959922
57400.0, 2.9630508
57600.0, 2.966164
57800.0, 2.9692657
58000.0, 2.9723542
58200.0, 2.9754288
58400.0, 2.9784904
58600.0, 2.9815388
58800.0, 2.9845748
59000.0, 2.9875972
59200.0, 2.9906082
59400.0, 2.9936054
59600.0, 2.9965904
59800.0, 2.999562
60000.0, 3.002522
60200.0, 3.0054693
60400.0, 3.0084047
60600.0, 3.0113266
60800.0, 3.0142372
61000.0, 3.0171351
61200.0, 3.020021
61400.0, 3.022895
61600.0, 3.0257573
61800.0, 3.0286076
62000.0, 3.0314453
62200.0, 3.0342717
62400.0, 3.0370867
62600.0, 3.0398896
62800.0, 3.042681
63000.0, 3.0454602
63200.0, 3.0482292
63400.0, 3.0509856
63600.0, 3.0537314
63800.0, 3.0564659
64000.0, 3.0591886
64200.0, 3.0619001
64400.0, 3.0646012
64600.0, 3.0672908
64800.0, 3.0699694
65000.0, 3.0726368
65200.0, 3.0752938
65400.0, 3.0779395
65600.0, 3.0805743
65800.0, 3.0831988
66000.0, 3.0858123
66200.0, 3.0884159
66400.0, 3.0910075
66600.0, 3.0935895
66800.0, 3.0961614
67000.0, 3.0987222
67200.0, 3.1012723
67400.0, 3.103813
67600.0, 3.1063428
67800.0, 3.1088624
68000.0, 3.111372
68200.0, 3.113872
68400.0, 3.116361
68600.0, 3.1188407
68800.0, 3.1213095
69000.0, 3.1237693
69200.0, 3.1262195
69400.0, 3.128659
69600.0, 3.1310892
69800.0, 3.1335096
70000.0, 3.13592
70200.0, 3.1383212
70400.0, 3.1407127
70600.0, 3.1430948
70800.0, 3.1454673
71000.0, 3.1478302
71200.0, 3.1501837
71400.0, 3.1525283
71600.0, 3.1548624
71800.0, 3.1571884
72000.0, 3.159505
72200.0, 3.1618123
72400.0, 3.1641104
72600.0, 3.1663992
72800.0, 3.1686795
73000.0, 3.17095
73200.0, 3.173212
73400.0, 3.1754656
73600.0, 3.1777096
73800.0, 3.179945
74000.0, 3.1821716
74200.0, 3.1843896
74400.0, 3.1865978
74600.0, 3.1887987
74800.0, 3.1909907
75000.0, 3.1931741
75200.0, 3.1953483
75400.0, 3.1975143
75600.0, 3.199672
75800.0, 3.2018218
76000.0, 3.203962
76200.0, 3.2060945
76400.0, 3.208219
76600.0, 3.2103348
76800.0, 3.2124424
77000.0, 3.2145417
77200.0, 3.216633
77400.0, 3.218716
77600.0, 3.220791
77800.0, 3.2228575
78000.0, 3.2249172
78200.0, 3.226968
78400.0, 3.2290108
78600.0, 3.2310457
78800.0, 3.2330725
79000.0, 3.2350924
79200.0, 3.2371035
79400.0, 3.2391078
79600.0, 3.2411032
79800.0, 3.2430918
80000.0, 3.2450721
80200.0, 3.2470453
80400.0, 3.2490113
80600.0, 3.2509685
80800.0, 3.2529192
81000.0, 3.2548616
81200.0, 3.256797
81400.0, 3.2587247
81600.0, 3.2606454
81800.0, 3.262558
82000.0, 3.2644641
82200.0, 3.2663624
82400.0, 3.2682536
82600.0, 3.270137
82800.0, 3.272014
83000.0, 3.2738833
83200.0, 3.2757454
83400.0, 3.2776012
83600.0, 3.2794492
83800.0, 3.2812903
84000.0, 3.2831237
84200.0, 3.284951
84400.0, 3.286771
84600.0, 3.2885845
84800.0, 3.2903905
85000.0, 3.29219
85200.0, 3.2939825
85400.0, 3.2957678
85600.0, 3.2975469
85800.0, 3.299319
86000.0, 3.3010843
86200.0, 3.3028429
86400.0, 3.3045948
86600.0, 3.3063402
86800.0, 3.308079
87000.0, 3.3098106
87200.0, 3.3115363
87400.0, 3.3132555
87600.0, 3.3149674
87800.0, 3.3166735
88000.0, 3.3183732
88200.0, 3.3200665
88400.0, 3.3217528
88600.0, 3.3234334
88800.0, 3.325107
89000.0, 3.326775
89200.0, 3.3284364
89400.0, 3.3300908
89600.0, 3.33174
89800.0, 3.3333821
90000.0, 3.3350189
90200.0, 3.3366494
90400.0, 3.3382728
90600.0, 3.3398914
90800.0, 3.3415027
91000.0, 3.3431082
91200.0, 3.3447087
91400.0, 3.346302
91600.0, 3.34789
91800.0, 3.3494713
92000.0, 3.3510468
92200.0, 3.3526165
92400.0, 3.354181
92600.0, 3.3557389
92800.0, 3.357291
93000.0, 3.3588371
93200.0, 3.360378
93400.0, 3.361913
93600.0, 3.3634415
93800.0, 3.364965
94000.0, 3.3664827
94200.0, 3.3679945
94400.0, 3.3695006
94600.0, 3.371001
94800.0, 3.3724961
95000.0, 3.373985
95200.0, 3.3754692
95400.0, 3.3769474
95600.0, 3.3784196
95800.0, 3.3798869
96000.0, 3.3813484
96200.0, 3.3828049
96400.0, 3.3842554
96600.0, 3.3857005
96800.0, 3.3871405
97000.0, 3.3885753
97200.0, 3.3900042
97400.0, 3.3914275
97600.0, 3.3928466
97800.0, 3.3942597
98000.0, 3.3956676
98200.0, 3.3970702
98400.0, 3.3984673
98600.0, 3.3998597
98800.0, 3.4012468
99000.0, 3.4026282
99200.0, 3.4040048
99400.0, 3.405376
99600.0, 3.4067426
99800.0, 3.4081037
100000.0, 3.40946
