Energy (in eV), SEEP yield of material al2k-NASCAP at incidence 90.0 degree
   X,       Y
57400.0, 510.57208
57600.0, 515.16144
57800.0, 515.6965
58000.0, 516.2292
58200.0, 520.82855
58400.0, 521.3609
58600.0, 521.8909
58800.0, 526.5002
59000.0, 527.0298
59200.0, 527.5573
59400.0, 528.08246
59600.0, 532.7031
59800.0, 533.2279
60000.0, 533.75055
60200.0, 538.3807
60400.0, 538.90283
60600.0, 539.4228
60800.0, 544.06226
61000.0, 544.58185
61200.0, 545.09924
61400.0, 549.7479
61600.0, 550.2649
61800.0, 550.77966
62000.0, 551.29236
62200.0, 555.9518
62400.0, 556.464
62600.0, 556.97406
62800.0, 561.64233
63000.0, 562.1519
63200.0, 562.6595
63400.0, 567.3365
63600.0, 567.84357
63800.0, 568.34863
64000.0, 573.0341
64200.0, 573.53864
64400.0, 574.04114
64600.0, 574.54156
64800.0, 579.2372
65000.0, 579.73706
65200.0, 580.235
65400.0, 584.93896
65600.0, 585.4363
65800.0, 585.9316
66000.0, 590.64374
66200.0, 591.1386
66400.0, 591.63135
66600.0, 592.12213
66800.0, 596.844
67000.0, 597.33417
67200.0, 597.8225
67400.0, 602.5522
67600.0, 603.0399
67800.0, 603.5258
68000.0, 608.26324
68200.0, 608.7486
68400.0, 609.2318
68600.0, 613.9769
68800.0, 614.4597
69000.0, 614.94055
69200.0, 615.41956
69400.0, 620.1736
69600.0, 620.6519
69800.0, 621.12836
70000.0, 625.8899
70200.0, 626.3658
70400.0, 626.83984
70600.0, 631.6086
70800.0, 632.0821
71000.0, 632.55365
71200.0, 637.32965
71400.0, 637.8006
71600.0, 638.2697
71800.0, 638.73694
72000.0, 643.52124
72200.0, 643.9879
72400.0, 644.4527
72600.0, 649.244
72800.0, 649.7083
73000.0, 650.17065
73200.0, 654.9688
73400.0, 655.43066
73600.0, 655.8906
73800.0, 656.34875
74000.0, 661.15497
74200.0, 661.6124
74400.0, 662.0682
74600.0, 666.8809
74800.0, 667.336
75000.0, 667.7894
75200.0, 672.6085
75400.0, 673.06134
75600.0, 673.5123
75800.0, 678.338
76000.0, 678.7883
76200.0, 679.237
76400.0, 679.6838
76600.0, 684.5169
76800.0, 684.96313
77000.0, 685.4076
77200.0, 690.2469
77400.0, 690.6907
77600.0, 691.1329
77800.0, 695.9781
78000.0, 696.4196
78200.0, 696.8594
78400.0, 697.2975
78600.0, 702.1498
78800.0, 702.5873
79000.0, 703.02295
79200.0, 707.8813
79400.0, 708.31635
79600.0, 708.7497
79800.0, 713.61383
80000.0, 714.0465
80200.0, 714.47754
80400.0, 719.3474
80600.0, 719.7778
80800.0, 720.20654
81000.0, 720.63354
81200.0, 725.5099
81400.0, 725.9363
81600.0, 726.36115
81800.0, 731.243
82000.0, 731.667
82200.0, 732.0895
82400.0, 736.9769
82600.0, 737.3986
82800.0, 737.8187
83000.0, 738.2372
83200.0, 743.13086
83400.0, 743.5488
83600.0, 743.965
83800.0, 748.86383
84000.0, 749.2793
84200.0, 749.6933
84400.0, 754.5972
84600.0, 755.01056
84800.0, 755.4223
85000.0, 760.3314
85200.0, 760.7424
85400.0, 761.15173
85600.0, 761.5597
85800.0, 766.4746
86000.0, 766.88165
86200.0, 767.2873
86400.0, 772.20715
86600.0, 772.612
86800.0, 773.01544
87000.0, 777.94
87200.0, 778.3427
87400.0, 778.7437
87600.0, 783.6731
87800.0, 784.0734
88000.0, 784.47235
88200.0, 784.8696
88400.0, 789.80457
88600.0, 790.2012
88800.0, 790.5961
89000.0, 795.53577
89200.0, 795.9301
89400.0, 796.3229
89600.0, 801.26697
89800.0, 801.659
90000.0, 802.0496
90200.0, 802.43896
90400.0, 807.388
90600.0, 807.7765
90800.0, 808.1633
91000.0, 813.11676
91200.0, 813.5031
91400.0, 813.8879
91600.0, 818.84564
91800.0, 819.2296
92000.0, 819.6122
92200.0, 824.57416
92400.0, 824.956
92600.0, 825.33636
92800.0, 825.7152
93000.0, 830.68207
93200.0, 831.06024
93400.0, 831.43695
93600.0, 836.4078
93800.0, 836.78375
94000.0, 837.1584
94200.0, 842.1334
94400.0, 842.5071
94600.0, 842.8794
94800.0, 847.85834
95000.0, 848.2299
95200.0, 848.60016
95400.0, 848.969
95600.0, 853.9523
95800.0, 854.3204
96000.0, 854.68695
96200.0, 859.6741
96400.0, 860.0399
96600.0, 860.4044
96800.0, 865.3953
97000.0, 865.7591
97200.0, 866.1214
97400.0, 871.1159
97600.0, 871.47754
97800.0, 871.8377
98000.0, 872.1966
98200.0, 877.1953
98400.0, 877.5534
98600.0, 877.91016
98800.0, 882.91235
99000.0, 883.2683
99200.0, 883.6228
99400.0, 888.62854
99600.0, 888.9823
99800.0, 889.33484
100000.0, 894.344
