Time (s), esn 1 surface potential difference wrt to esn ground(V)
0.62, 0.15852281
1.24, -0.13713174
1.86, -0.31333378
2.48, -0.38501012
3.1, -0.39284077
3.72, -0.3972286
4.3269033, -0.4043929
4.946903, -0.43500552
5.5669036, -0.46921772
6.1869035, -0.5285066
6.8069034, -0.5352135
7.4269032, -0.51272917
8.046904, -0.49449515
8.6669035, -0.5043793
9.286903, -0.5429761
9.906903, -0.5300781
10.526903, -0.54210037
11.146903, -0.5608124
11.766903, -0.58872586
12.386903, -0.5989646
13.006904, -0.62091357
13.626904, -0.6485771
14.246903, -0.6536517
14.866903, -0.6503287
15.486903, -0.6298942
16.106903, -0.6268404
16.726904, -0.65547323
17.346903, -0.66175413
17.966904, -0.6561822
18.586903, -0.66405797
19.206903, -0.67103
19.826902, -0.6438765
20.439707, -0.61324
21.059294, -0.61785805
21.67888, -0.6404649
22.298468, -0.6588266
22.918055, -0.6297932
23.537642, -0.6489251
24.157228, -0.6171171
24.776815, -0.6364384
25.396402, -0.6369082
26.01599, -0.66260904
26.635576, -0.6818438
27.255163, -0.69214857
27.87475, -0.67344934
28.494337, -0.6660868
29.113924, -0.6602481
29.733511, -0.6975412
30.353098, -0.7030969
30.972685, -0.7155393
31.592272, -0.722467
32.21186, -0.7427253
32.831444, -0.7395359
33.451035, -0.72079766
34.070618, -0.7628027
34.69021, -0.7693853
35.30979, -0.7758117
35.929382, -0.79637647
36.548965, -0.8226724
37.168556, -0.86010814
37.78814, -0.8634671
38.40773, -0.9093219
39.027313, -0.9612749
39.646904, -0.97262347
40.266487, -0.989506
40.886078, -1.0231323
41.50566, -1.0485404
42.12525, -1.0919368
42.744835, -1.1256832
43.364426, -1.1883172
43.98401, -1.2070715
44.6036, -1.2222005
45.223183, -1.2609746
45.842773, -1.2799855
46.462357, -1.3310035
47.081947, -1.3829011
47.70153, -1.4322336
48.32112, -1.4756866
48.940704, -1.5283519
49.560295, -1.579405
50.180016, -1.6427861
50.800014, -1.6718864
51.420017, -1.6893517
52.040016, -1.7369366
52.660015, -1.7458721
53.280014, -1.753744
53.900017, -1.7456518
54.520016, -1.7306459
55.140015, -1.7140403
55.760017, -1.7117563
56.380016, -1.7197306
57.000015, -1.72909
57.620014, -1.6954048
58.240017, -1.6902332
58.860016, -1.6935232
59.480015, -1.6943893
