Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 20.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.013499151
70.0, 0.023982251
80.0, 0.032795142
90.0, 0.040419668
100.0, 0.047141377
110.0, 0.05314998
120.0, 0.058579635
130.0, 0.06352926
140.0, 0.06807409
150.0, 0.07227281
160.0, 0.07617209
170.0, 0.07980971
180.0, 0.083216675
190.0, 0.08641877
200.0, 0.08943768
210.0, 0.09229178
220.0, 0.09499685
230.0, 0.09756643
240.0, 0.10001236
250.0, 0.10234497
260.0, 0.1045733
270.0, 0.10670541
280.0, 0.10874842
290.0, 0.11070871
300.0, 0.112591974
310.0, 0.11440337
320.0, 0.11614752
330.0, 0.117828615
340.0, 0.1194505
350.0, 0.12101664
360.0, 0.12253024
370.0, 0.1239942
380.0, 0.12541121
390.0, 0.12678373
400.0, 0.12811409
410.0, 0.12940432
420.0, 0.13065645
430.0, 0.13187227
440.0, 0.13305345
450.0, 0.1342016
460.0, 0.13531816
470.0, 0.13640453
480.0, 0.13746198
490.0, 0.13849173
500.0, 0.13949491
510.0, 0.14047258
520.0, 0.14142573
530.0, 0.14235534
540.0, 0.14326227
550.0, 0.14414738
560.0, 0.14501147
570.0, 0.14585526
580.0, 0.14667954
590.0, 0.14748491
600.0, 0.14827204
610.0, 0.14904156
620.0, 0.14979403
630.0, 0.15053003
640.0, 0.15125006
650.0, 0.15195462
660.0, 0.1526442
670.0, 0.15331928
680.0, 0.15398026
690.0, 0.1546276
700.0, 0.15526167
710.0, 0.15588285
720.0, 0.15649155
730.0, 0.15708806
740.0, 0.15767276
750.0, 0.15824595
760.0, 0.15880795
770.0, 0.1593591
780.0, 0.15989962
790.0, 0.16042985
800.0, 0.16094999
810.0, 0.16146035
820.0, 0.16196115
830.0, 0.16245264
840.0, 0.16293503
850.0, 0.16340856
860.0, 0.16387346
870.0, 0.1643299
880.0, 0.16477811
890.0, 0.16521823
900.0, 0.16565053
910.0, 0.16607513
920.0, 0.1664922
930.0, 0.16690193
940.0, 0.16730449
950.0, 0.1677
960.0, 0.16808866
970.0, 0.16847059
980.0, 0.16884595
990.0, 0.16921487
1000.0, 0.16957746
1010.0, 0.16940519
1020.0, 0.16923326
1030.0, 0.16906166
