Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 50.000004 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.05260831
70.0, 0.07794343
80.0, 0.096550375
90.0, 0.11139183
100.0, 0.12375243
110.0, 0.13433613
120.0, 0.14357841
130.0, 0.15176998
140.0, 0.15911555
150.0, 0.16576503
160.0, 0.17183173
170.0, 0.17740339
180.0, 0.1825494
190.0, 0.1873256
200.0, 0.19177757
210.0, 0.19594304
220.0, 0.19985358
230.0, 0.20353581
240.0, 0.20701246
250.0, 0.21030308
260.0, 0.21342455
270.0, 0.21639161
280.0, 0.21921714
290.0, 0.22191256
300.0, 0.22448789
310.0, 0.22695212
320.0, 0.22931325
330.0, 0.23157845
340.0, 0.2337542
350.0, 0.23584633
360.0, 0.23786016
370.0, 0.23980048
380.0, 0.24167168
390.0, 0.24347779
400.0, 0.24522252
410.0, 0.24690917
420.0, 0.24854094
430.0, 0.25012067
440.0, 0.251651
450.0, 0.2531344
460.0, 0.25457317
470.0, 0.2559694
480.0, 0.25732514
490.0, 0.25864217
500.0, 0.25992227
510.0, 0.261167
520.0, 0.2623779
530.0, 0.26355642
540.0, 0.2647038
550.0, 0.26582143
560.0, 0.26691037
570.0, 0.26797178
580.0, 0.26900676
590.0, 0.27001625
600.0, 0.27100116
610.0, 0.27196246
620.0, 0.27290094
630.0, 0.27381745
640.0, 0.2747127
650.0, 0.2755874
660.0, 0.2764423
670.0, 0.277278
680.0, 0.27809513
690.0, 0.27889434
700.0, 0.2796761
710.0, 0.28044105
720.0, 0.28118965
730.0, 0.28192237
740.0, 0.28263977
750.0, 0.2833422
760.0, 0.28403014
770.0, 0.28470406
780.0, 0.28536427
790.0, 0.28601122
800.0, 0.2866452
810.0, 0.28726664
820.0, 0.28787583
830.0, 0.2884731
840.0, 0.2890588
850.0, 0.28963318
860.0, 0.29019657
870.0, 0.29074922
880.0, 0.29129148
890.0, 0.29182345
900.0, 0.29234552
910.0, 0.29285792
920.0, 0.2933608
930.0, 0.29385445
940.0, 0.2943391
950.0, 0.29481488
960.0, 0.2952821
970.0, 0.29574087
980.0, 0.29619145
990.0, 0.296634
1000.0, 0.29706863
1010.0, 0.29686216
1020.0, 0.29665604
1030.0, 0.29645023
