#    time,   elecNode0ground, elecNode0surface, elecNode1ground, elecNode1surface, elecNode2ground, elecNode2surface, 
1397.6066, -5019.682, -5019.68, -5019.682, -5019.6787, -5019.682, -3045.9763, 
1400.4714, -4959.425, -4959.421, -4959.425, -4959.4243, -4959.425, -2988.145, 
1435.0402, -4857.3574, -4857.359, -4857.3574, -4857.358, -4857.3574, -2922.433, 
1441.0295, -4705.554, -4705.557, -4705.554, -4705.5527, -4705.554, -2767.4814, 
1474.5421, -4644.869, -4644.876, -4644.869, -4644.8677, -4644.869, -2766.777, 
1512.842, -4580.317, -4580.315, -4580.317, -4580.316, -4580.317, -2767.1501, 
1513.2831, -4499.946, -4499.9478, -4499.946, -4499.9443, -4499.946, -2682.956, 
1521.2712, -4414.78, -4414.7812, -4414.78, -4414.78, -4414.78, -2604.7676, 
1556.0652, -4392.6094, -4392.614, -4392.6094, -4392.6113, -4392.6094, -2603.422, 
1595.8295, -4425.129, -4425.127, -4425.129, -4425.1274, -4425.129, -2603.0388, 
1600.56, -4379.5127, -4379.5117, -4379.5127, -4379.511, -4379.5127, -2561.1353, 
1602.943, -4408.6733, -4408.6724, -4408.6733, -4408.6743, -4408.6733, -2592.8062, 
1624.7104, -4345.36, -4345.366, -4345.36, -4345.3594, -4345.36, -2554.2368, 
1647.3024, -4316.861, -4316.8657, -4316.861, -4316.8604, -4316.861, -2554.081, 
1692.4862, -4272.1113, -4272.1147, -4272.1113, -4272.11, -4272.1113, -2554.3347, 
1782.854, -4257.6484, -4257.652, -4257.6484, -4257.648, -4257.6484, -2554.4934, 
1882.854, -4231.689, -4231.688, -4231.689, -4231.6904, -4231.689, -2554.7102, 
1885.0126, -4180.0454, -4180.0425, -4180.0454, -4180.045, -4180.0454, -2500.619, 
1887.1926, -4176.0254, -4176.0273, -4176.0254, -4176.0254, -4176.0254, -2497.9546, 
1891.5525, -4174.3267, -4174.3257, -4174.3267, -4174.327, -4174.3267, -2497.4487, 
1900.2725, -4170.8477, -4170.849, -4170.8477, -4170.846, -4170.8477, -2497.326, 
1917.7123, -4165.2485, -4165.247, -4165.2485, -4165.2466, -4165.2485, -2497.154, 
1952.592, -4193.8345, -4193.8306, -4193.8345, -4193.832, -4193.8345, -2496.683, 
1957.4066, -4147.285, -4147.2847, -4147.285, -4147.2803, -4147.285, -2446.4172, 
1959.8184, -4186.874, -4186.874, -4186.874, -4186.8745, -4186.874, -2489.153, 
1960.9968, -4130.6094, -4130.613, -4130.6094, -4130.609, -4130.6094, -2428.3364, 
1961.5936, -4176.4897, -4176.4883, -4176.4897, -4176.49, -4176.4897, -2476.3633, 
1962.0806, -4118.6973, -4118.6978, -4118.6973, -4118.6963, -4118.6973, -2416.032, 
1962.7133, -4115.556, -4115.556, -4115.556, -4115.5537, -4115.556, -2414.0483, 
1963.9788, -4113.5786, -4113.579, -4113.5786, -4113.5757, -4113.5786, -2413.207, 
1981.6946, -4101.959, -4101.9604, -4101.959, -4101.9575, -4101.959, -2413.0044, 
2000.0, -4124.3037, -4124.306, -4124.3037, -4124.3047, -4124.3037, -2412.9666, 
