Energy (in eV), backscattering yield of material alox-reduced-PEY at incidence 50.000004 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.06539344
70.0, 0.096906625
80.0, 0.12006656
90.0, 0.13855287
100.0, 0.15396078
110.0, 0.16716422
120.0, 0.1787038
130.0, 0.18894033
140.0, 0.19812787
150.0, 0.20645243
160.0, 0.2140546
170.0, 0.22104326
180.0, 0.22750445
190.0, 0.23350745
200.0, 0.23910882
210.0, 0.24435529
220.0, 0.24928603
230.0, 0.25393406
240.0, 0.25832757
250.0, 0.26249078
260.0, 0.26644456
270.0, 0.2702073
280.0, 0.27379486
290.0, 0.2772214
300.0, 0.28049937
310.0, 0.2836399
320.0, 0.2866529
330.0, 0.28954723
340.0, 0.29233098
350.0, 0.29501125
360.0, 0.29759476
370.0, 0.30008736
380.0, 0.3024945
390.0, 0.30482122
400.0, 0.307072
410.0, 0.30925104
420.0, 0.31136224
430.0, 0.31340912
440.0, 0.31539497
450.0, 0.31732282
460.0, 0.31919554
470.0, 0.32101572
480.0, 0.32278582
490.0, 0.32450816
500.0, 0.32618484
510.0, 0.32781783
520.0, 0.32940906
530.0, 0.33096024
540.0, 0.33247304
550.0, 0.33394903
560.0, 0.33538964
570.0, 0.33679625
580.0, 0.3381702
590.0, 0.33951262
600.0, 0.34082478
610.0, 0.34210774
620.0, 0.3433625
630.0, 0.34459016
640.0, 0.34579155
650.0, 0.34696758
660.0, 0.34811914
670.0, 0.34924698
680.0, 0.35035193
690.0, 0.3514347
700.0, 0.35249603
710.0, 0.35353646
720.0, 0.35455677
730.0, 0.3555575
740.0, 0.35653925
750.0, 0.35750252
760.0, 0.35844794
770.0, 0.35937598
780.0, 0.36028713
790.0, 0.36118183
800.0, 0.3620606
810.0, 0.36292383
820.0, 0.36377192
830.0, 0.36460534
840.0, 0.3654244
850.0, 0.3662295
860.0, 0.36702105
870.0, 0.3677993
880.0, 0.36856467
890.0, 0.36931735
900.0, 0.37005782
910.0, 0.37078625
920.0, 0.37150303
930.0, 0.37220833
940.0, 0.37290248
950.0, 0.3735857
960.0, 0.37425834
970.0, 0.37492052
980.0, 0.37557256
990.0, 0.37621462
1000.0, 0.37684697
1010.0, 0.37666607
1020.0, 0.3764855
1030.0, 0.37630525
