Energy (in eV), backscattering yield of material alox-reduced-PEY at incidence 80.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.4786503
70.0, 0.53231037
80.0, 0.56403655
90.0, 0.58628494
100.0, 0.603226
110.0, 0.61678433
120.0, 0.6280078
130.0, 0.6375294
140.0, 0.64575964
150.0, 0.6529797
160.0, 0.6593898
170.0, 0.66513765
180.0, 0.6703348
190.0, 0.6750678
200.0, 0.6794047
210.0, 0.68340003
220.0, 0.68709826
230.0, 0.6905359
240.0, 0.6937433
250.0, 0.69674605
260.0, 0.69956577
270.0, 0.702221
280.0, 0.7047276
290.0, 0.70709944
300.0, 0.70934844
310.0, 0.71148527
320.0, 0.71351916
330.0, 0.7154583
340.0, 0.71731
350.0, 0.7190808
360.0, 0.72077656
370.0, 0.7224025
380.0, 0.7239634
390.0, 0.7254635
400.0, 0.7269068
410.0, 0.7282967
420.0, 0.7296365
430.0, 0.7309292
440.0, 0.7321775
450.0, 0.73338383
460.0, 0.73455054
470.0, 0.73567975
480.0, 0.7367735
490.0, 0.73783344
500.0, 0.7388614
510.0, 0.7398588
520.0, 0.74082726
530.0, 0.7417681
540.0, 0.7426825
550.0, 0.7435718
560.0, 0.744437
570.0, 0.74527913
580.0, 0.74609923
590.0, 0.74689823
600.0, 0.74767697
610.0, 0.7484362
620.0, 0.7491768
630.0, 0.7498995
640.0, 0.75060487
650.0, 0.75129366
660.0, 0.7519665
670.0, 0.75262386
680.0, 0.75326633
690.0, 0.75389457
700.0, 0.7545089
710.0, 0.7551099
720.0, 0.755698
730.0, 0.7562736
740.0, 0.7568372
750.0, 0.75738907
760.0, 0.7579296
770.0, 0.7584592
780.0, 0.75897825
790.0, 0.7594869
800.0, 0.7599857
810.0, 0.7604748
820.0, 0.76095444
830.0, 0.761425
840.0, 0.7618867
850.0, 0.76233983
860.0, 0.7627846
870.0, 0.7632212
880.0, 0.76364994
890.0, 0.7640709
900.0, 0.76448447
910.0, 0.76489073
920.0, 0.7652899
930.0, 0.7656821
940.0, 0.7660676
950.0, 0.76644653
960.0, 0.76681906
970.0, 0.7671854
980.0, 0.7675456
990.0, 0.7678998
1000.0, 0.7682483
1010.0, 0.76814866
1020.0, 0.7680492
1030.0, 0.7679498
