Energy (in eV), SEEP yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
53400.0, 2.8995194
53600.0, 2.9029143
53800.0, 2.9062939
54000.0, 2.9096587
54200.0, 2.9130092
54400.0, 2.916345
54600.0, 2.9196656
54800.0, 2.9229715
55000.0, 2.9262638
55200.0, 2.9295423
55400.0, 2.932805
55600.0, 2.936055
55800.0, 2.93929
56000.0, 2.9425113
56200.0, 2.9457188
56400.0, 2.9489121
56600.0, 2.9520922
56800.0, 2.9552584
57000.0, 2.9584115
57200.0, 2.96155
57400.0, 2.9646757
57600.0, 2.9677873
57800.0, 2.970887
58000.0, 2.9739723
58200.0, 2.9770446
58400.0, 2.980104
58600.0, 2.9831507
58800.0, 2.9861844
59000.0, 2.9892054
59200.0, 2.9922128
59400.0, 2.9952087
59600.0, 2.998191
59800.0, 3.0011609
60000.0, 3.0041184
60200.0, 3.0070634
60400.0, 3.0099962
60600.0, 3.0129166
60800.0, 3.0158246
61000.0, 3.0187204
61200.0, 3.0216043
61400.0, 3.0244758
61600.0, 3.0273361
61800.0, 3.0301838
62000.0, 3.0330198
62200.0, 3.0358436
62400.0, 3.0386567
62600.0, 3.0414574
62800.0, 3.044247
63000.0, 3.0470243
63200.0, 3.0497904
63400.0, 3.0525453
63600.0, 3.0552888
63800.0, 3.058021
64000.0, 3.060742
64200.0, 3.0634518
64400.0, 3.0661502
64600.0, 3.0688376
64800.0, 3.071514
65000.0, 3.0741796
65200.0, 3.0768342
65400.0, 3.079478
65600.0, 3.082111
65800.0, 3.084733
66000.0, 3.087345
66200.0, 3.0899453
66400.0, 3.092536
66600.0, 3.0951154
66800.0, 3.097685
67000.0, 3.1002436
67200.0, 3.1027925
67400.0, 3.1053305
67600.0, 3.1078582
67800.0, 3.1103766
68000.0, 3.1128843
68200.0, 3.1153815
68400.0, 3.1178687
68600.0, 3.1203463
68800.0, 3.1228135
69000.0, 3.125271
69200.0, 3.127719
69400.0, 3.1301565
69600.0, 3.132585
69800.0, 3.1350033
70000.0, 3.137412
70200.0, 3.139811
70400.0, 3.1422005
70600.0, 3.1445801
70800.0, 3.146951
71000.0, 3.1493115
71200.0, 3.1516635
71400.0, 3.1540058
71600.0, 3.1563387
71800.0, 3.1586626
72000.0, 3.160977
72200.0, 3.1632822
72400.0, 3.1655784
72600.0, 3.1678655
72800.0, 3.1701434
73000.0, 3.1724124
73200.0, 3.1746726
73400.0, 3.1769242
73600.0, 3.1791658
73800.0, 3.1813996
74000.0, 3.183624
74200.0, 3.1858404
74400.0, 3.1880472
74600.0, 3.1902459
74800.0, 3.1924355
75000.0, 3.1946168
75200.0, 3.1967893
75400.0, 3.198954
75600.0, 3.2011092
75800.0, 3.2032568
76000.0, 3.2053955
76200.0, 3.2075272
76400.0, 3.2096486
76600.0, 3.2117627
76800.0, 3.2138686
77000.0, 3.215966
77200.0, 3.2180552
77400.0, 3.2201364
77600.0, 3.22221
77800.0, 3.224275
78000.0, 3.2263322
78200.0, 3.2283807
78400.0, 3.2304225
78600.0, 3.232455
78800.0, 3.234481
79000.0, 3.2364984
79200.0, 3.2385077
79400.0, 3.24051
79600.0, 3.242504
79800.0, 3.2444906
80000.0, 3.2464693
80200.0, 3.24844
80400.0, 3.2504044
80600.0, 3.25236
80800.0, 3.2543087
81000.0, 3.2562494
81200.0, 3.2581832
81400.0, 3.2601087
81600.0, 3.2620275
81800.0, 3.2639391
82000.0, 3.2658424
82200.0, 3.2677393
82400.0, 3.2696292
82600.0, 3.271511
82800.0, 3.273386
83000.0, 3.2752533
83200.0, 3.2771144
83400.0, 3.278968
83600.0, 3.2808137
83800.0, 3.2826533
84000.0, 3.2844858
84200.0, 3.2863114
84400.0, 3.288129
84600.0, 3.2899408
84800.0, 3.2917452
85000.0, 3.293543
85200.0, 3.2953339
85400.0, 3.2971175
85600.0, 3.298895
85800.0, 3.300665
86000.0, 3.3024285
86200.0, 3.3041856
86400.0, 3.3059356
86600.0, 3.3076797
86800.0, 3.3094163
87000.0, 3.3111465
87200.0, 3.3128707
87400.0, 3.3145878
87600.0, 3.3162985
87800.0, 3.3180032
88000.0, 3.3197007
88200.0, 3.3213923
88400.0, 3.323077
