Energy (in eV), SEEP yield of material alox-reduced-PEY at incidence 90.0 degree
20600.0, 225.50435
20800.0, 229.21092
21000.0, 230.12675
21200.0, 233.85342
21400.0, 234.767
21600.0, 238.51343
21800.0, 239.42477
22000.0, 243.19075
22200.0, 244.09991
22400.0, 245.00272
22600.0, 248.79213
22800.0, 249.69284
23000.0, 253.50117
23200.0, 254.39986
23400.0, 258.22678
23600.0, 259.12344
23800.0, 262.96878
24000.0, 263.86343
24200.0, 264.75214
24400.0, 268.61954
24600.0, 269.50632
24800.0, 273.39157
25000.0, 274.27643
25200.0, 278.17926
25400.0, 279.06226
25600.0, 279.93954
25800.0, 283.8635
26000.0, 284.73898
26200.0, 288.67996
26400.0, 289.55374
26600.0, 293.5115
26800.0, 294.3834
27000.0, 298.35776
27200.0, 299.22787
27400.0, 300.09262
27600.0, 304.0869
27800.0, 304.94995
28000.0, 308.9603
28200.0, 309.82162
28400.0, 310.6777
28600.0, 314.70743
28800.0, 315.56183
29000.0, 319.60718
29200.0, 320.45993
29400.0, 324.52066
29600.0, 325.37177
29800.0, 326.21783
30000.0, 330.2971
30200.0, 331.14154
30400.0, 335.23578
30600.0, 336.07858
30800.0, 340.18756
31000.0, 341.02875
31200.0, 341.8651
31400.0, 345.99188
31600.0, 346.8266
31800.0, 350.9677
32000.0, 351.8008
32200.0, 352.62936
32400.0, 356.7876
32600.0, 357.6145
32800.0, 361.7867
33000.0, 362.6121
33200.0, 363.4329
33400.0, 367.6218
33600.0, 368.44107
33800.0, 372.64352
34000.0, 373.46124
34200.0, 374.2745
34400.0, 378.4932
34600.0, 379.305
34800.0, 383.53677
35000.0, 384.347
35200.0, 388.59174
35400.0, 389.40045
35600.0, 390.2049
35800.0, 394.4652
36000.0, 395.26813
36200.0, 399.54102
36400.0, 400.34244
36600.0, 401.13965
36800.0, 405.42764
37000.0, 406.22336
37200.0, 410.52368
37400.0, 411.31784
37600.0, 412.10794
37800.0, 416.42294
38000.0, 417.21152
38200.0, 421.53842
38400.0, 422.3256
38600.0, 423.10867
38800.0, 427.44986
39000.0, 428.23148
39200.0, 432.58423
39400.0, 433.36438
39600.0, 434.14056
39800.0, 438.5072
40000.0, 439.28198
40200.0, 443.65985
40400.0, 444.43314
40600.0, 445.2026
40800.0, 449.59393
41000.0, 450.3619
41200.0, 451.126
41400.0, 455.53067
41600.0, 456.2934
41800.0, 460.70883
42000.0, 461.47015
42200.0, 462.22766
42400.0, 466.656
42600.0, 467.41214
42800.0, 471.85092
43000.0, 472.6056
43200.0, 473.35666
43400.0, 477.80795
43600.0, 478.5576
43800.0, 483.01907
44000.0, 483.7672
44200.0, 484.5118
44400.0, 488.98557
44600.0, 489.72864
44800.0, 494.2123
45000.0, 494.95395
45200.0, 495.6922
45400.0, 500.1876
45600.0, 500.92435
45800.0, 501.65762
46000.0, 506.16483
46200.0, 506.89664
46400.0, 511.4133
46600.0, 512.14374
46800.0, 512.8708
47000.0, 517.39874
47200.0, 518.1244
47400.0, 522.6616
47600.0, 523.38574
47800.0, 524.10657
48000.0, 528.6549
48200.0, 529.37427
48400.0, 533.9316
48600.0, 534.6495
48800.0, 535.3642
49000.0, 539.9322
49200.0, 540.6454
49400.0, 541.35535
49600.0, 545.93396
49800.0, 546.64246
50000.0, 551.2297
50200.0, 551.9368
50400.0, 552.64075
50600.0, 557.2383
50800.0, 557.9408
51000.0, 562.5467
51200.0, 563.24774
51400.0, 563.94574
51600.0, 568.5616
51800.0, 569.25806
52000.0, 569.9515
52200.0, 574.5772
52400.0, 575.26917
52600.0, 579.90295
52800.0, 580.59357
53000.0, 581.281
53200.0, 585.92444
53400.0, 586.6104
53600.0, 587.2935
53800.0, 591.94635
54000.0, 592.6279
54200.0, 597.2885
54400.0, 597.9687
54600.0, 598.6458
54800.0, 603.31555
55000.0, 603.99133
55200.0, 608.6687
55400.0, 609.34296
55600.0, 610.0144
55800.0, 614.7006
56000.0, 615.3706
56200.0, 616.03766
56400.0, 620.73267
56600.0, 621.3983
56800.0, 626.10046
57000.0, 626.7647
57200.0, 627.42615
57400.0, 632.1369
57600.0, 632.7968
57800.0, 633.4539
58000.0, 638.1731
58200.0, 638.8288
58400.0, 643.5548
58600.0, 644.2091
58800.0, 644.86066
59000.0, 649.59485
59200.0, 650.245
59400.0, 654.98596
59600.0, 655.63464
59800.0, 656.28046
60000.0, 661.0295
60200.0, 661.67395
60400.0, 662.31573
60600.0, 667.0725
60800.0, 667.7129
61000.0, 672.4761
61200.0, 673.115
61400.0, 673.7512
61600.0, 678.5221
61800.0, 679.15686
62000.0, 679.789
62200.0, 684.56744
62400.0, 685.1982
62600.0, 689.9828
62800.0, 690.6121
63000.0, 691.23865
63200.0, 696.0306
63400.0, 696.6559
63600.0, 697.27844
63800.0, 702.07764
64000.0, 702.6988
64200.0, 707.5039
64400.0, 708.1237
64600.0, 708.741
64800.0, 713.553
65000.0, 714.1689
65200.0, 714.78217
65400.0, 719.6011
65600.0, 720.21295
65800.0, 725.0376
66000.0, 725.648
66200.0, 726.256
66400.0, 731.08734
66600.0, 731.6938
66800.0, 732.2979
67000.0, 737.1358
67200.0, 737.7384
67400.0, 742.5819
67600.0, 743.183
67800.0, 743.78174
68000.0, 748.6316
68200.0, 749.2289
68400.0, 749.8237
68600.0, 754.68005
68800.0, 755.2734
69000.0, 760.1349
69200.0, 760.7269
69400.0, 761.3165
69600.0, 766.18414
69800.0, 766.7723
70000.0, 771.64514
70200.0, 772.2319
70400.0, 772.8162
70600.0, 777.6948
70800.0, 778.27795
71000.0, 778.85846
71200.0, 783.74304
71400.0, 784.32227
71600.0, 789.2118
71800.0, 789.78955
72000.0, 790.3651
72200.0, 795.26025
72400.0, 795.8342
72600.0, 796.40594
72800.0, 801.3069
73000.0, 801.8772
73200.0, 806.7828
73400.0, 807.3516
73600.0, 807.9183
73800.0, 812.8294
74000.0, 813.39453
74200.0, 813.95746
74400.0, 818.8738
74600.0, 819.4353
74800.0, 824.3562
75000.0, 824.9163
75200.0, 825.4741
75400.0, 830.40045
75600.0, 830.9568
75800.0, 831.5111
76000.0, 836.4423
76200.0, 836.99524
76400.0, 841.93097
76600.0, 842.48236
76800.0, 843.03156
77000.0, 847.97217
77200.0, 848.51996
77400.0, 849.06555
77600.0, 854.0113
77800.0, 854.5554
78000.0, 859.5052
78200.0, 860.0479
78400.0, 860.5886
78600.0, 865.5432
78800.0, 866.08246
79000.0, 866.61957
79200.0, 871.5788
79400.0, 872.1145
79600.0, 877.0777
79800.0, 877.612
80000.0, 878.14404
80200.0, 883.112
80400.0, 883.64276
80600.0, 884.17145
80800.0, 889.1438
81000.0, 889.671
81200.0, 894.6472
81400.0, 895.17303
81600.0, 895.69684
81800.0, 900.6773
82000.0, 901.1996
82200.0, 901.72
82400.0, 906.70483
82600.0, 907.2238
82800.0, 912.2122
83000.0, 912.7297
83200.0, 913.2452
83400.0, 918.23785
83600.0, 918.75183
83800.0, 919.2639
84000.0, 924.26074
84200.0, 924.7714
84400.0, 929.7717
84600.0, 930.28094
84800.0, 930.78815
85000.0, 935.79254
85200.0, 936.29834
85400.0, 936.8022
85600.0, 941.8104
85800.0, 942.31287
86000.0, 947.3244
86200.0, 947.82544
86400.0, 948.3246
86600.0, 953.3399
86800.0, 953.8377
87000.0, 954.3333
87200.0, 959.3526
87400.0, 959.847
87600.0, 964.86926
87800.0, 965.3622
88000.0, 965.8532
88200.0, 970.87915
88400.0, 971.3687
88600.0, 971.8566
88800.0, 976.8861
89000.0, 977.37244
89200.0, 982.4051
89400.0, 982.89
89600.0, 983.373
89800.0, 988.4091
90000.0, 988.8907
90200.0, 989.3706
90400.0, 994.41
90600.0, 994.8885
90800.0, 999.93097
91000.0, 1000.4078
91200.0, 1000.88306
91400.0, 1005.92883
91600.0, 1006.40247
91800.0, 1011.4511
92000.0, 1011.9235
92200.0, 1012.3939
92400.0, 1017.4457
92600.0, 1017.91486
92800.0, 1018.38214
93000.0, 1023.43695
93200.0, 1023.9029
93400.0, 1028.9607
93600.0, 1029.425
93800.0, 1029.8878
94000.0, 1034.9485
94200.0, 1035.4098
94400.0, 1035.8694
94600.0, 1040.9331
94800.0, 1041.3912
95000.0, 1046.4575
95200.0, 1046.9142
95400.0, 1047.3693
95600.0, 1052.4384
95800.0, 1052.8921
96000.0, 1053.3439
96200.0, 1058.4159
96400.0, 1058.8665
96600.0, 1063.941
96800.0, 1064.39
97000.0, 1064.8375
97200.0, 1069.9146
97400.0, 1070.3605
97600.0, 1070.8047
97800.0, 1075.8848
98000.0, 1076.3276
98200.0, 1081.4102
98400.0, 1081.8514
98600.0, 1082.2914
98800.0, 1087.3762
99000.0, 1087.8147
99200.0, 1088.2513
99400.0, 1093.3389
99600.0, 1093.7742
99800.0, 1098.864
100000.0, 1099.2979
