Time (s), variation of the average surface potential of esn 0 (s-1.V)
25.700144, -54.19851
46.77397, -49.337967
67.848526, -7.7314563
87.99266, -48.287468
113.2763, -8.0878105
142.87262, -24.534021
163.14868, -34.439278
185.69318, -6.178428
209.74063, -6.323615
233.87848, -26.110203
258.01846, -5.5468273
295.9383, -13.725666
333.8599, -4.8141284
357.7538, -38.795815
386.93024, -3.0325496
425.83218, -3.727084
503.63602, -3.465471
524.0031, -35.588993
549.57434, -1.7710191
583.6693, -2.1016388
651.8592, -2.8280969
676.5516, -15.712949
701.12225, -1.9174592
750.2636, -1.6206831
772.10223, -9.996187
793.94385, -1.2913013
837.6271, -1.750842
860.9017, -7.844471
884.17773, -0.84674895
930.72986, -1.6340048
1000.0, -1.6192267
1020.82025, 19.167866
1041.5873, 35.534122
1062.55, 32.372543
1100.9501, 11.1349745
1141.91, 9.808553
1162.573, 47.014717
1188.6028, 14.6491165
1227.7349, 6.174647
1251.0522, 19.137257
1272.8507, 4.849989
1300.6718, 10.245607
1327.6724, 9.252344
1363.4845, 5.831047
1397.6066, 2.7547543
1419.1829, 7.331374
1441.0295, 7.1378937
1474.5421, 1.8107007
1512.842, 1.6856654
1536.183, 7.8790517
1595.8295, -0.48143297
1624.7104, 2.76171
1647.3024, 1.2615339
1692.4862, 0.9904194
1782.854, 0.16004486
1882.854, 0.25963867
1917.7123, 1.9060247
1952.592, -0.81948787
1981.6946, 3.1567717
