#    time,   allInteract,  allInteract,  allInteract,  allInteract, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 
#        ,   allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2, 
503.63602, -8.145521E-4, -1.73429E-4, -1.8399788E-4, -4.5712516E-4, 0.0, 0.0, 0.0, 0.0, -6.686448E-4, -1.3936778E-4, -1.0918871E-4, -4.2008833E-4, -1.4590724E-4, -3.406122E-5, -7.480917E-5, -3.703685E-5, 
503.68204, -8.1173546E-4, -1.7223881E-4, -1.8253645E-4, -4.5696026E-4, 0.0, 0.0, 0.0, 0.0, -6.666908E-4, -1.3800798E-4, -1.0812335E-4, -4.205595E-4, -1.4504472E-4, -3.4230838E-5, -7.4413096E-5, -3.640079E-5, 
503.72833, -8.094973E-4, -1.7162696E-4, -1.8274688E-4, -4.5512343E-4, 0.0, 0.0, 0.0, 0.0, -6.6215376E-4, -1.3707197E-4, -1.0738988E-4, -4.1769192E-4, -1.4734351E-4, -3.455499E-5, -7.535699E-5, -3.7431542E-5, 
503.82086, -8.099777E-4, -1.7158629E-4, -1.8413263E-4, -4.5425878E-4, 0.0, 0.0, 0.0, 0.0, -6.612621E-4, -1.3689397E-4, -1.0725046E-4, -4.1711767E-4, -1.4871563E-4, -3.4692326E-5, -7.688218E-5, -3.714112E-5, 
504.00595, -8.091052E-4, -1.7127073E-4, -1.8445204E-4, -4.533824E-4, 0.0, 0.0, 0.0, 0.0, -6.5777404E-4, -1.3617669E-4, -1.0668858E-4, -4.1490878E-4, -1.5133113E-4, -3.5094028E-5, -7.776348E-5, -3.847363E-5, 
524.0031, -8.0653996E-4, -1.7088484E-4, -1.8510823E-4, -4.50547E-4, 0.0, 0.0, 0.0, 0.0, -6.536113E-4, -1.3532395E-4, -1.0602045E-4, -4.1226708E-4, -1.529286E-4, -3.5560905E-5, -7.9087775E-5, -3.8279893E-5, 
549.57434, -8.04781E-4, -1.6985714E-4, -1.8627287E-4, -4.48651E-4, 0.0, 0.0, 0.0, 0.0, -6.492347E-4, -1.3438794E-4, -1.0528713E-4, -4.095596E-4, -1.5554634E-4, -3.546921E-5, -8.0985716E-5, -3.9091407E-5, 
583.6693, -8.0591306E-4, -1.7086607E-4, -1.865972E-4, -4.4844978E-4, 0.0, 0.0, 0.0, 0.0, -6.491465E-4, -1.3419696E-4, -1.051374E-4, -4.0981214E-4, -1.567665E-4, -3.66691E-5, -8.14598E-5, -3.8637616E-5, 
651.8592, -8.049276E-4, -1.7084343E-4, -1.8546512E-4, -4.4861902E-4, 0.0, 0.0, 0.0, 0.0, -6.4876553E-4, -1.338477E-4, -1.0486375E-4, -4.1005408E-4, -1.5616204E-4, -3.699572E-5, -8.060138E-5, -3.8564947E-5, 
651.92944, -8.061796E-4, -1.70168E-4, -1.8572614E-4, -4.5028547E-4, 0.0, 0.0, 0.0, 0.0, -6.4745394E-4, -1.3291228E-4, -1.0413103E-4, -4.1041066E-4, -1.5872563E-4, -3.7255733E-5, -8.15951E-5, -3.9874805E-5, 
