Energy (in eV), SEEE yield of material alox-reduced-PEY at incidence 0.0 degree
   X,       Y
2730.0, 1.0521067
2740.0, 1.0498489
2750.0, 1.0476031
2760.0, 1.0453696
2770.0, 1.043148
2780.0, 1.0409381
2790.0, 1.0387404
2800.0, 1.036554
2810.0, 1.0343794
2820.0, 1.0322162
2830.0, 1.0300642
2840.0, 1.0279238
2850.0, 1.0257944
2860.0, 1.0236762
2870.0, 1.0215689
2880.0, 1.0194725
2890.0, 1.017387
2900.0, 1.0153122
2910.0, 1.0132482
2920.0, 1.0111946
2930.0, 1.0091515
2940.0, 1.0071187
2950.0, 1.0050963
2960.0, 1.0030842
2970.0, 1.0010823
2980.0, 0.99909025
2990.0, 0.9971082
3000.0, 0.9951362
