Energy (in eV), SEEE yield of material alox-reduced-PEY at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.108264945
20.0, 0.214616
30.0, 0.3193702
40.0, 0.42258757
50.0, 0.5242736
60.0, 0.6244117
70.0, 0.72297734
80.0, 0.819942
90.0, 0.9152759
100.0, 1.0089492
110.0, 1.1009339
120.0, 1.1912036
130.0, 1.2797346
140.0, 1.3665041
150.0, 1.4514924
160.0, 1.5346825
170.0, 1.616059
180.0, 1.6956096
190.0, 1.7733238
200.0, 1.8491936
210.0, 1.9232135
220.0, 1.9953802
230.0, 2.065692
240.0, 2.1341498
250.0, 2.200756
260.0, 2.265516
270.0, 2.3284357
280.0, 2.389523
290.0, 2.448789
300.0, 2.5062435
310.0, 2.5619006
320.0, 2.615775
330.0, 2.6678822
340.0, 2.7182395
350.0, 2.7668653
360.0, 2.8137789
370.0, 2.8590007
380.0, 2.9025538
390.0, 2.9444592
400.0, 2.9847414
410.0, 3.0234246
420.0, 3.0605333
430.0, 3.0960937
440.0, 3.1301317
450.0, 3.162675
460.0, 3.1937506
470.0, 3.2233858
480.0, 3.2516098
490.0, 3.2784503
500.0, 3.3039367
510.0, 3.328098
520.0, 3.350963
530.0, 3.3725622
540.0, 3.392924
550.0, 3.4120786
560.0, 3.430055
570.0, 3.446883
580.0, 3.4625926
590.0, 3.4772127
600.0, 3.4907725
610.0, 3.503301
620.0, 3.5148268
630.0, 3.5253794
640.0, 3.5349872
650.0, 3.543678
660.0, 3.5514796
670.0, 3.5584197
680.0, 3.5645251
690.0, 3.5698233
700.0, 3.5743399
710.0, 3.5781019
720.0, 3.5811348
730.0, 3.5834634
740.0, 3.5851123
750.0, 3.5861073
760.0, 3.586471
770.0, 3.5862274
780.0, 3.5853992
790.0, 3.5840087
800.0, 3.5820787
810.0, 3.5796309
820.0, 3.5766854
830.0, 3.5732636
840.0, 3.5693853
850.0, 3.56507
860.0, 3.560337
870.0, 3.555205
880.0, 3.5496924
890.0, 3.543816
900.0, 3.5375943
910.0, 3.5310428
920.0, 3.5241785
930.0, 3.517017
940.0, 3.509573
950.0, 3.5018616
960.0, 3.4938974
970.0, 3.4856944
980.0, 3.4772658
990.0, 3.4686255
1000.0, 3.4597845
1010.0, 3.4507563
1020.0, 3.4415522
1030.0, 3.4321835
1040.0, 3.4226615
