#    time,   allPop,  allPop,  allPop,  allPop, ions1, ions1, ions1, ions1, elec1, elec1, elec1, elec1, ions2, ions2, ions2, ions2, elec2, elec2, elec2, elec2, photoElec, photoElec, photoElec, photoElec, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, 
#        ,   allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2, 
221.80849, -8.50271E-4, -2.049967E-4, -2.790918E-4, -3.6618247E-4, 2.3348603E-5, 6.6424145E-6, 9.92992E-6, 6.776266E-6, -3.9789927E-10, -2.696956E-12, -3.7933103E-12, -3.9140902E-10, 2.8140725E-5, 7.2824337E-6, 1.120416E-5, 9.65413E-6, -7.9606095E-4, -2.1188833E-4, -2.9802416E-4, -2.8614834E-4, 0.0, 0.0, 0.0, 0.0, -8.8193185E-5, -6.5657815E-7, -4.95742E-7, -8.704087E-5, -9.784101E-6, -6.2120685E-6, -1.3539202E-6, -2.2181127E-6, -7.7217055E-6, -1.6457456E-7, -3.519915E-7, -7.2051403E-6, 
258.01846, -8.506348E-4, -2.035045E-4, -2.7439304E-4, -3.7273718E-4, 2.4348043E-5, 6.971274E-6, 1.0306808E-5, 7.069959E-6, -2.450977E-10, -1.2878426E-12, -1.8113701E-12, -2.419985E-10, 2.8421775E-5, 7.344832E-6, 1.1306234E-5, 9.77071E-6, -7.8956457E-4, -2.0990343E-4, -2.9523225E-4, -2.8442885E-4, 0.0, 0.0, 0.0, 0.0, -9.784628E-5, -6.7491544E-7, -3.8788855E-7, -9.6783464E-5, -7.0557417E-6, -7.0557403E-6, -1.4129134E-16, -1.2657967E-12, -8.937739E-6, -1.8653351E-7, -3.8594743E-7, -8.3652585E-6, 
260.38675, -8.432597E-4, -1.9772624E-4, -2.726911E-4, -3.728426E-4, 2.5723695E-5, 7.3185574E-6, 1.1008794E-5, 7.3963433E-6, -1.5929459E-10, -5.3087574E-13, -7.466848E-13, -1.5801702E-10, 2.8608802E-5, 7.422276E-6, 1.1411507E-5, 9.775022E-6, -7.8086124E-4, -2.0710436E-4, -2.9129535E-4, -2.824615E-4, 0.0, 0.0, 0.0, 0.0, -9.739544E-5, -6.594952E-7, -4.9253686E-7, -9.62434E-5, -9.810356E-6, -4.556366E-6, -2.9403272E-6, -2.3136622E-6, -9.525239E-6, -1.4689196E-7, -3.831714E-7, -8.995175E-6, 
295.9383, -8.4929285E-4, -1.9527107E-4, -2.6967446E-4, -3.8434734E-4, 2.6708143E-5, 7.559909E-6, 1.1405938E-5, 7.742299E-6, -1.00645464E-10, -3.1563323E-13, -4.439427E-13, -9.98859E-11, 2.8799679E-5, 7.4670534E-6, 1.1489499E-5, 9.843126E-6, -7.757211E-4, -2.0565288E-4, -2.8925392E-4, -2.8081422E-4, 0.0, 0.0, 0.0, 0.0, -1.07685824E-4, -6.822207E-7, -4.449267E-7, -1.06558684E-4, -1.0697282E-5, -3.776851E-6, -2.4370993E-6, -4.483332E-6, -1.06964835E-5, -1.860755E-7, -4.3396608E-7, -1.0076441E-5, 
333.8599, -8.546321E-4, -1.9110902E-4, -2.677805E-4, -3.957425E-4, 2.712453E-5, 7.744462E-6, 1.1647373E-5, 7.732695E-6, -1.1673934E-10, -2.3309902E-13, -3.2785745E-13, -1.16178386E-10, 2.8800307E-5, 7.4522313E-6, 1.152525E-5, 9.8228265E-6, -7.7392126E-4, -2.047564E-4, -2.8799282E-4, -2.8117205E-4, 0.0, 0.0, 0.0, 0.0, -1.2121493E-4, -8.5181375E-7, -3.5215808E-7, -1.20010955E-4, -2.6396453E-6, -5.640025E-7, -2.075642E-6, -9.272476E-13, -1.2780922E-5, -1.334884E-7, -5.3251745E-7, -1.2114915E-5, 
333.89548, -8.927142E-4, -2.0443599E-4, -2.637287E-4, -4.2454948E-4, 2.7307013E-5, 7.834201E-6, 1.164619E-5, 7.826621E-6, -1.2703401E-10, -1.4768151E-13, -2.0771628E-13, -1.2667861E-10, 2.8793547E-5, 7.4989107E-6, 1.1542235E-5, 9.752404E-6, -7.709208E-4, -2.0340164E-4, -2.860875E-4, -2.814317E-4, 0.0, 0.0, 0.0, 0.0, -1.4786526E-4, -5.785961E-7, -4.3434972E-7, -1.4685231E-4, -1.5601028E-5, -1.5601026E-5, 0.0, -1.5155251E-12, -1.4427447E-5, -1.8783025E-7, -3.9530025E-7, -1.38443165E-5, 
340.30927, -8.3290465E-4, -1.9143942E-4, -2.598252E-4, -3.816399E-4, 2.9107012E-5, 8.3152245E-6, 1.2471754E-5, 8.320032E-6, -4.716685E-11, -5.885896E-14, -8.278602E-14, -4.70252E-11, 2.9157598E-5, 7.572062E-6, 1.16718065E-5, 9.91373E-6, -7.59905E-4, -2.005343E-4, -2.8205448E-4, -2.7731623E-4, 0.0, 0.0, 0.0, 0.0, -1.1210706E-4, -6.2075736E-7, -6.331864E-7, -1.1085313E-4, -7.5492094E-6, -5.981642E-6, -8.1340426E-7, -7.5416375E-7, -1.1607877E-5, -1.9006876E-7, -4.6769276E-7, -1.0950114E-5, 
367.47928, -8.237992E-4, -1.878602E-4, -2.5516492E-4, -3.80774E-4, 3.0943298E-5, 8.801778E-6, 1.3234947E-5, 8.906572E-6, -1.7544794E-11, -2.075877E-14, -2.919752E-14, -1.7494839E-11, 2.9542141E-5, 7.669175E-6, 1.1826179E-5, 1.0046787E-5, -7.489463E-4, -1.9755105E-4, -2.7785846E-4, -2.7353675E-4, 0.0, 0.0, 0.0, 0.0, -1.13851966E-4, -6.0430614E-7, -4.256457E-7, -1.1282201E-4, -8.88062E-6, -6.013909E-6, -1.445989E-6, -1.4207211E-6, -1.2605744E-5, -1.6191748E-7, -4.958624E-7, -1.1947962E-5, 
386.93024, -8.3107833E-4, -1.820599E-4, -2.5209365E-4, -3.969247E-4, 3.1713633E-5, 9.019837E-6, 1.3580784E-5, 9.113011E-6, -1.4291465E-11, -1.37868605E-14, -1.939144E-14, -1.4258286E-11, 2.9668174E-5, 7.7284185E-6, 1.1886306E-5, 1.0053447E-5, -7.4568123E-4, -1.9650559E-4, -2.7638793E-4, -2.7278773E-4, 0.0, 0.0, 0.0, 0.0, -1.3020361E-4, -4.4473856E-7, -5.8832836E-7, -1.2917054E-4, -1.6970185E-6, -1.6970184E-6, -2.2933394E-19, -1.0381653E-13, -1.4878227E-5, -1.6080274E-7, -5.844921E-7, -1.4132932E-5, 
425.83218, -8.324292E-4, -1.8158674E-4, -2.5110965E-4, -3.9973276E-4, 3.1812477E-5, 9.2236205E-6, 1.3545408E-5, 9.043449E-6, -1.5403153E-11, -1.16629246E-14, -1.6404077E-14, -1.5375085E-11, 2.969995E-5, 7.73361E-6, 1.1890388E-5, 1.0075951E-5, -7.447152E-4, -1.9602793E-4, -2.7571621E-4, -2.729711E-4, 0.0, 0.0, 0.0, 0.0, -1.3268576E-4, -4.8729976E-7, -3.42641E-7, -1.3185582E-4, -1.7423044E-6, -1.7423042E-6, -3.7407294E-17, -1.4138761E-13, -1.4798216E-5, -2.8643043E-7, -4.865748E-7, -1.40252105E-5, 
503.63602, -8.4208994E-4, -1.7904733E-4, -2.4978627E-4, -4.1325626E-4, 3.178832E-5, 9.111151E-6, 1.3696729E-5, 8.980444E-6, -1.6785285E-11, -8.116733E-15, -1.14163024E-14, -1.6765752E-11, 2.9843803E-5, 7.795746E-6, 1.1993295E-5, 1.0054762E-5, -7.424447E-4, -1.9499715E-4, -2.7426617E-4, -2.731814E-4, 0.0, 0.0, 0.0, 0.0, -1.4503753E-4, -7.284931E-7, -7.675788E-7, -1.4354146E-4, -4.4863075E-8, -4.4862862E-8, -1.895531E-17, -2.1302265E-13, -1.6194837E-5, -1.8372408E-7, -4.4252434E-7, -1.5568588E-5, 
503.68204, -8.7682804E-4, -1.7838791E-4, -2.4716448E-4, -4.5127588E-4, 3.2241423E-5, 9.525708E-6, 1.36739345E-5, 9.04178E-6, -1.873514E-11, -4.1365654E-15, -5.8181376E-15, -1.8725186E-11, 2.9852117E-5, 7.7509885E-6, 1.2038346E-5, 1.0062782E-5, -7.3817285E-4, -1.9309441E-4, -2.7159046E-4, -2.7348794E-4, 0.0, 0.0, 0.0, 0.0, -1.7841044E-4, -7.896323E-7, -7.518165E-7, -1.76869E-4, -3.6532363E-6, -1.6838345E-6, -4.9134164E-18, -1.9694019E-6, -1.8685285E-5, -9.671221E-8, -5.345127E-7, -1.8054061E-5, 
503.72833, -8.218909E-4, -1.8485676E-4, -2.443628E-4, -3.9267133E-4, 3.3184682E-5, 9.6682115E-6, 1.4279814E-5, 9.236656E-6, -1.16167275E-11, -2.5906507E-15, -3.6437867E-15, -1.1610494E-11, 3.00142E-5, 7.78991E-6, 1.2078516E-5, 1.0145774E-5, -7.331559E-4, -1.9178471E-4, -2.6974804E-4, -2.7162308E-4, 0.0, 0.0, 0.0, 0.0, -1.2798264E-4, -4.8461857E-7, -3.862976E-7, -1.2711172E-4, -9.967931E-6, -9.967931E-6, -2.584386E-17, -2.0361145E-13, -1.3983314E-5, -7.760311E-8, -5.86781E-7, -1.331893E-5, 
503.82086, -8.4627536E-4, -1.8001578E-4, -2.444332E-4, -4.2182635E-4, 3.355101E-5, 9.854438E-6, 1.4297776E-5, 9.3987965E-6, -1.0480558E-11, -2.3692894E-15, -3.3324442E-15, -1.0474857E-11, 3.0001636E-5, 7.833694E-6, 1.207968E-5, 1.0088262E-5, -7.3218317E-4, -1.9153571E-4, -2.6939798E-4, -2.712495E-4, 0.0, 0.0, 0.0, 0.0, -1.549425E-4, -5.309246E-7, -7.2618406E-7, -1.536854E-4, -5.463744E-6, -5.4637435E-6, -1.0167721E-17, -2.5473642E-13, -1.7238548E-5, -1.7352716E-7, -6.865123E-7, -1.637851E-5, 
504.00595, -8.049692E-4, -1.7377685E-4, -2.4221219E-4, -3.8898023E-4, 3.392815E-5, 9.797504E-6, 1.4538529E-5, 9.592114E-6, -7.2164627E-12, -1.6511333E-15, -2.3223422E-15, -7.2124893E-12, 3.0171246E-5, 7.854876E-6, 1.2140493E-5, 1.0175878E-5, -7.283319E-4, -1.9053221E-4, -2.679864E-4, -2.698133E-4, 0.0, 0.0, 0.0, 0.0, -1.2720063E-4, -7.5860686E-7, -4.1552929E-7, -1.260265E-4, -9.943371E-14, -7.885989E-18, 0.0, -9.9425825E-14, -1.353617E-5, -1.384095E-7, -4.892945E-7, -1.2908465E-5, 
524.0031, -8.232888E-4, -1.7656409E-4, -2.4203975E-4, -4.0468518E-4, 3.5100562E-5, 1.0135003E-5, 1.5089409E-5, 9.876147E-6, -4.796683E-12, -1.1284113E-15, -1.5871272E-15, -4.7939673E-12, 3.0311181E-5, 7.909209E-6, 1.2182584E-5, 1.0219393E-5, -7.237423E-4, -1.89339E-4, -2.663081E-4, -2.680952E-4, 0.0, 0.0, 0.0, 0.0, -1.4107407E-4, -5.6315895E-7, -4.6428192E-7, -1.4004663E-4, -7.4574173E-6, -4.5311986E-6, -1.9789456E-6, -9.4727346E-7, -1.642694E-5, -1.7498841E-7, -5.604258E-7, -1.5691528E-5, 
549.57434, -8.1681396E-4, -1.7291142E-4, -2.3796262E-4, -4.059399E-4, 3.5852507E-5, 1.0276312E-5, 1.544445E-5, 1.0131744E-5, -2.8641202E-12, -6.653287E-16, -9.357948E-16, -2.8625192E-12, 3.0454341E-5, 7.918262E-6, 1.2236225E-5, 1.0299853E-5, -7.1883027E-4, -1.8802943E-4, -2.644663E-4, -2.6633462E-4, 0.0, 0.0, 0.0, 0.0, -1.4205146E-4, -5.450582E-7, -6.5674504E-7, -1.4084968E-4, -5.4968978E-6, -2.3376972E-6, -2.652091E-18, -3.1592003E-6, -1.674207E-5, -1.9380842E-7, -5.2024444E-7, -1.6028018E-5, 
583.6693, -8.2769926E-4, -1.7007125E-4, -2.3771974E-4, -4.1990814E-4, 3.6050835E-5, 1.0309809E-5, 1.5641866E-5, 1.009916E-5, -3.1353095E-12, -6.032305E-16, -8.484519E-16, -3.133858E-12, 3.053612E-5, 7.9528445E-6, 1.2306214E-5, 1.0277061E-5, -7.18351E-4, -1.8776188E-4, -2.6409017E-4, -2.6649897E-4, 0.0, 0.0, 0.0, 0.0, -1.5566773E-4, -4.0054437E-7, -8.8449985E-7, -1.5438268E-4, -1.9008734E-6, -5.317354E-18, -2.601725E-18, -1.9008734E-6, -1.8366492E-5, -1.7148997E-7, -6.9315433E-7, -1.7501847E-5, 
651.8592, -8.379277E-4, -1.8067291E-4, -2.3640717E-4, -4.2084756E-4, 3.657107E-5, 1.0520399E-5, 1.5820027E-5, 1.0230643E-5, -3.3934281E-12, -5.043005E-16, -7.0930565E-16, -3.3922147E-12, 3.0507234E-5, 8.003012E-6, 1.2242565E-5, 1.0261656E-5, -7.1733224E-4, -1.8727353E-4, -2.6340273E-4, -2.6665602E-4, 0.0, 0.0, 0.0, 0.0, -1.5193612E-4, -5.068074E-7, -5.24528E-7, -1.5090479E-4, -1.6879245E-5, -1.1250551E-5, -1.4232182E-18, -5.628693E-6, -1.8858302E-5, -1.6544156E-7, -5.425105E-7, -1.815035E-5, 
