Time (s), esn 2 surface potential difference wrt to esn ground(V)
25.513973, 187.87898
47.94545, 524.5046
77.81673, 768.95703
107.68806, 1161.3904
134.89421, 1303.5013
162.10179, 1606.8772
183.75162, 1671.4028
206.68947, 1836.7
249.46461, 2049.8987
271.35352, 2191.4045
293.24402, 2352.025
337.025, 2596.416
357.46384, 2626.1028
377.51654, 2744.2708
416.7095, 2815.6606
456.52457, 3025.1694
494.06387, 3075.6238
531.60596, 3242.3267
567.555, 3278.5557
598.53815, 3333.7266
624.4727, 3433.3535
676.34186, 3560.2144
705.2622, 3586.9219
737.564, 3631.431
769.86804, 3711.917
834.476, 3822.3877
934.476, 3963.356
957.4048, 3957.0283
980.33673, 3982.7046
1000.63, 4002.6855
1020.7864, 4006.072
1041.2104, 4010.462
1061.2699, 3903.0635
1100.95, 3536.0525
1127.1512, 3275.3806
1151.4071, 3015.3638
1199.9191, 2715.7104
1220.9651, 2692.5208
1247.7335, 2553.2124
1283.4248, 2343.9705
1303.891, 2309.1528
1324.4175, 2207.4905
1345.3318, 2176.9827
1379.103, 2088.1287
1424.1312, 1980.544
1447.1107, 1970.91
1485.2582, 1913.0077
1536.1213, 1855.47
1566.473, 1844.9578
1594.5376, 1800.6265
1618.1089, 1784.544
1641.7122, 1750.3804
1688.9188, 1700.4519
1783.3322, 1709.3137
1883.3322, 1694.0872
1918.2388, 1695.511
1952.4417, 1709.1279
2000.0, 1683.8044
