Energy (in eV), SEEE yield of material CERS-withBUCT at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.10816341
20.0, 0.21509635
30.0, 0.32105982
40.0, 0.4260983
50.0, 0.53021336
60.0, 0.63338953
70.0, 0.7356036
80.0, 0.8368284
90.0, 0.93703663
100.0, 1.0361997
110.0, 1.134289
120.0, 1.2312778
130.0, 1.3271385
140.0, 1.4218472
150.0, 1.5153786
160.0, 1.6077102
170.0, 1.6988196
180.0, 1.7886866
190.0, 1.8772929
200.0, 1.9646201
210.0, 2.0506518
220.0, 2.1353714
230.0, 2.218768
240.0, 2.3008256
250.0, 2.3815353
260.0, 2.4608848
270.0, 2.5388668
280.0, 2.615473
290.0, 2.6906955
300.0, 2.7645297
310.0, 2.836971
320.0, 2.908015
330.0, 2.9776602
340.0, 3.0459042
350.0, 3.1127472
360.0, 3.178189
370.0, 3.2422314
380.0, 3.3048763
390.0, 3.3661263
400.0, 3.425986
410.0, 3.4844592
420.0, 3.5415528
430.0, 3.5972714
440.0, 3.651623
450.0, 3.7046146
460.0, 3.7562544
470.0, 3.8065512
480.0, 3.855515
490.0, 3.9031556
500.0, 3.9494834
510.0, 3.99451
520.0, 4.0382476
530.0, 4.0807066
540.0, 4.121901
550.0, 4.1618433
560.0, 4.2005477
570.0, 4.2380266
580.0, 4.2742953
590.0, 4.309367
600.0, 4.3432593
610.0, 4.3759856
620.0, 4.4075603
630.0, 4.438001
640.0, 4.467323
650.0, 4.495541
660.0, 4.5226736
670.0, 4.548736
680.0, 4.5737453
690.0, 4.5977182
700.0, 4.6206713
710.0, 4.6426215
720.0, 4.6635866
730.0, 4.6835837
740.0, 4.70263
750.0, 4.7207417
760.0, 4.7379375
770.0, 4.7542343
780.0, 4.769649
790.0, 4.7841997
800.0, 4.797903
810.0, 4.810777
820.0, 4.8228383
830.0, 4.834103
840.0, 4.8445907
850.0, 4.8543158
860.0, 4.8632965
870.0, 4.8715496
880.0, 4.8790913
890.0, 4.885938
900.0, 4.892107
910.0, 4.897614
920.0, 4.9024754
930.0, 4.906706
940.0, 4.9103236
950.0, 4.9133434
960.0, 4.915779
970.0, 4.9176483
980.0, 4.9189644
990.0, 4.919744
1000.0, 4.9199996
1010.0, 4.9197483
1020.0, 4.919003
1030.0, 4.9177785
1040.0, 4.916088
