Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.010240324
70.0, 0.018876214
80.0, 0.026336463
90.0, 0.032897808
100.0, 0.038749326
110.0, 0.04402595
120.0, 0.048827376
130.0, 0.05322937
140.0, 0.05729085
150.0, 0.06105855
160.0, 0.06457018
170.0, 0.0678566
180.0, 0.07094338
190.0, 0.07385195
200.0, 0.07660047
210.0, 0.07920443
220.0, 0.0816772
230.0, 0.084030315
240.0, 0.086273886
250.0, 0.08841679
260.0, 0.09046684
270.0, 0.092430994
280.0, 0.094315425
290.0, 0.0961257
300.0, 0.09786678
310.0, 0.09954318
320.0, 0.10115896
330.0, 0.1027178
340.0, 0.104223095
350.0, 0.10567789
360.0, 0.10708503
370.0, 0.10844709
380.0, 0.10976644
390.0, 0.11104529
400.0, 0.112285696
410.0, 0.11348949
420.0, 0.11465846
430.0, 0.11579422
440.0, 0.116898276
450.0, 0.11797205
460.0, 0.119016856
470.0, 0.12003393
480.0, 0.12102444
490.0, 0.121989466
500.0, 0.12293004
510.0, 0.123847105
520.0, 0.12474158
530.0, 0.12561433
540.0, 0.12646613
550.0, 0.12729779
560.0, 0.12810999
570.0, 0.12890343
580.0, 0.1296788
590.0, 0.13043666
600.0, 0.1311776
610.0, 0.13190222
620.0, 0.132611
630.0, 0.1333045
640.0, 0.13398317
650.0, 0.13464744
660.0, 0.1352978
670.0, 0.13593465
680.0, 0.13655838
690.0, 0.1371694
700.0, 0.13776806
710.0, 0.1383547
720.0, 0.1389297
730.0, 0.13949332
740.0, 0.14004593
750.0, 0.14058778
760.0, 0.14111917
770.0, 0.14164041
780.0, 0.14215173
790.0, 0.1426534
800.0, 0.14314565
810.0, 0.14362873
820.0, 0.14410286
830.0, 0.14456826
840.0, 0.14502515
850.0, 0.14547372
860.0, 0.1459142
870.0, 0.14634673
880.0, 0.14677155
890.0, 0.14718877
900.0, 0.14759864
910.0, 0.14800128
920.0, 0.14839685
930.0, 0.14878552
940.0, 0.14916743
950.0, 0.14954273
960.0, 0.14991158
970.0, 0.1502741
980.0, 0.15063043
990.0, 0.1509807
1000.0, 0.151325
1010.0, 0.15116142
1020.0, 0.15099816
1030.0, 0.15083523
