Time (s), esn 2 net current (A), esn 2 collected current (A), esn 2 emitted current (A)
25.513973, 2.0489417E-4, -3.34513E-4, -5.3940713E-4
47.94545, 1.8237477E-4, -3.4214134E-4, -5.245161E-4
77.81673, 1.6817568E-4, -3.2857695E-4, -4.967526E-4
107.68806, 1.4913286E-4, -3.4917536E-4, -4.983082E-4
134.89421, 1.3995258E-4, -3.460134E-4, -4.8596598E-4
162.10179, 1.2462231E-4, -3.6159164E-4, -4.8621395E-4
183.75162, 1.10336776E-4, -3.6738717E-4, -4.7772395E-4
206.68947, 9.948164E-5, -3.7535393E-4, -4.748356E-4
249.46461, 9.752853E-5, -3.728132E-4, -4.7034174E-4
271.35352, 9.342348E-5, -3.7149788E-4, -4.6492135E-4
293.24402, 8.054022E-5, -3.8448386E-4, -4.650241E-4
337.025, 6.998627E-5, -3.9620238E-4, -4.6618865E-4
357.46384, 7.130743E-5, -3.8773005E-4, -4.5903746E-4
377.51654, 5.5068638E-5, -4.037575E-4, -4.5882614E-4
416.7095, 5.10051E-5, -4.049875E-4, -4.5599262E-4
456.52457, 4.4889457E-5, -4.1022385E-4, -4.551133E-4
494.06387, 5.0853367E-5, -4.013779E-4, -4.5223127E-4
531.60596, 3.5661535E-5, -4.167518E-4, -4.5241334E-4
567.555, 3.0916453E-5, -4.1800854E-4, -4.48925E-4
598.53815, 3.7401853E-5, -4.0891473E-4, -4.4631655E-4
624.4727, 3.1744974E-5, -4.146828E-4, -4.464278E-4
676.34186, 1.9743777E-5, -4.2624064E-4, -4.4598442E-4
705.2622, 2.0140482E-5, -4.2421173E-4, -4.443522E-4
737.564, 2.091181E-5, -4.219446E-4, -4.428564E-4
769.86804, 2.0732608E-5, -4.2160568E-4, -4.423383E-4
834.476, 1.9235333E-5, -4.235172E-4, -4.4275253E-4
934.476, -5.871989E-6, -4.4909935E-4, -4.4322736E-4
957.4048, 1.3686674E-5, -4.265651E-4, -4.4025178E-4
980.33673, -1.1615048E-6, -4.414434E-4, -4.402819E-4
1000.63, 9.93232E-6, -4.29924E-4, -4.3985632E-4
1020.7864, 4.4658744E-5, -6.3441874E-4, -6.7907746E-4
1041.2104, 4.7586458E-5, -0.001058771, -0.0011063576
1061.2699, 3.3144282E-5, -0.0014981205, -0.0015312647
1100.95, 8.0360995E-5, -0.001620144, -0.0017005049
1127.1512, 5.4369717E-5, -0.0016506619, -0.0017050316
1151.4071, 8.925598E-5, -0.0016168308, -0.0017060868
1199.9191, 1.1771347E-4, -0.0015877087, -0.0017054222
1220.9651, 8.605131E-5, -0.0016277676, -0.0017138189
1247.7335, 1.014199E-4, -0.0016147466, -0.0017161665
1283.4248, 1.1952233E-4, -0.0015964535, -0.0017159758
1303.891, 1.1405365E-4, -0.0016055021, -0.0017195557
1324.4175, 1.2350836E-4, -0.0015958456, -0.001719354
1345.3318, 9.7747594E-5, -0.0016250927, -0.0017228404
1379.103, 1.1671238E-4, -0.0016068517, -0.0017235641
1424.1312, 1.5167694E-4, -0.0015722296, -0.0017239065
1447.1107, 1.2922533E-4, -0.0015975395, -0.0017267648
1485.2582, 1.5039621E-4, -0.0015769074, -0.0017273036
1536.1213, 1.6781082E-4, -0.0015586532, -0.001726464
1566.473, 1.327337E-4, -0.0015963389, -0.0017290725
1594.5376, 1.4841766E-4, -0.0015802925, -0.0017287101
1618.1089, 7.010215E-5, -0.0016599487, -0.0017300509
1641.7122, 1.0855973E-4, -0.0016207146, -0.0017292743
1688.9188, 1.4565687E-4, -0.0015838838, -0.0017295406
1783.3322, 1.5034643E-4, -0.0015794208, -0.0017297672
1883.3322, 1.8845068E-4, -0.0015414396, -0.0017298902
1918.2388, 1.18243646E-4, -0.0016142922, -0.0017325358
1952.4417, 1.3588194E-4, -0.0015958637, -0.0017317457
2000.0, 1.5951565E-4, -0.001572901, -0.0017324167
