Energy (in eV), SEEE yield of material CERS-withBUCT at isotropic incidence
   X,       Y
2820.0, 5.7904806
2830.0, 5.781961
2840.0, 5.7734566
2850.0, 5.7649674
2860.0, 5.756494
2870.0, 5.7480373
2880.0, 5.739597
2890.0, 5.731172
2900.0, 5.7227645
2910.0, 5.714373
2920.0, 5.7059984
2930.0, 5.6976404
2940.0, 5.6893005
2950.0, 5.680977
2960.0, 5.6726713
2970.0, 5.6643825
2980.0, 5.6561127
2990.0, 5.647859
3000.0, 5.6396255
3010.0, 5.6314077
3020.0, 5.62321
3030.0, 5.6150293
3040.0, 5.606867
3050.0, 5.5987234
3060.0, 5.590598
3070.0, 5.5824924
3080.0, 5.5744042
3090.0, 5.566335
3100.0, 5.5582843
3110.0, 5.5502534
3120.0, 5.542241
3130.0, 5.534247
3140.0, 5.526273
3150.0, 5.5183187
3160.0, 5.510382
3170.0, 5.5024652
3180.0, 5.4945683
3190.0, 5.4866896
3200.0, 5.478832
3210.0, 5.470993
3220.0, 5.4631724
3230.0, 5.4553714
3240.0, 5.4475913
3250.0, 5.4398303
3260.0, 5.432089
3270.0, 5.4243665
3280.0, 5.4166636
3290.0, 5.408981
3300.0, 5.4013176
3310.0, 5.3936744
3320.0, 5.38605
3330.0, 5.378446
3340.0, 5.3708615
3350.0, 5.3632965
3360.0, 5.355751
3370.0, 5.348225
3380.0, 5.340719
3390.0, 5.333233
3400.0, 5.3257666
3410.0, 5.318319
3420.0, 5.3108926
3430.0, 5.303485
3440.0, 5.296097
3450.0, 5.2887287
3460.0, 5.28138
3470.0, 5.274051
3480.0, 5.2667413
3490.0, 5.259452
3500.0, 5.2521806
3510.0, 5.2449307
3520.0, 5.237699
3530.0, 5.230487
3540.0, 5.2232947
3550.0, 5.216121
3560.0, 5.208968
3570.0, 5.201834
3580.0, 5.194719
3590.0, 5.187623
3600.0, 5.180547
3610.0, 5.1734905
3620.0, 5.166453
3630.0, 5.159434
3640.0, 5.152434
3650.0, 5.1454544
3660.0, 5.1384926
3670.0, 5.1315503
3680.0, 5.124627
3690.0, 5.1177235
3700.0, 5.1108375
3710.0, 5.1039715
3720.0, 5.0971236
3730.0, 5.0902953
3740.0, 5.083485
3750.0, 5.0766945
3760.0, 5.0699224
3770.0, 5.0631685
3780.0, 5.056433
3790.0, 5.0497165
3800.0, 5.0430183
3810.0, 5.0363393
3820.0, 5.0296783
3830.0, 5.023036
3840.0, 5.016411
3850.0, 5.0098042
3860.0, 5.0032167
3870.0, 4.9966474
