Time (s), esn 0 surface potential difference wrt to esn ground(V)
25.513973, -9.601263E-5
47.94545, 5.1611353E-4
77.81673, -0.0014653263
107.68806, -4.8828125E-4
134.89421, 9.0680434E-4
162.10179, 0.0029296875
183.75162, -0.0031382926
206.68947, -0.0029519713
249.46461, -0.0033482143
271.35352, -0.0020335622
293.24402, -0.0024414062
337.025, -0.00390625
357.46384, -0.002161194
377.51654, 0.002855932
416.7095, 0.0010230655
456.52457, 0.001953125
494.06387, 0.0030367954
531.60596, -9.765625E-4
567.555, -0.0013647345
598.53815, -0.0061698626
624.4727, -0.001953125
676.34186, -0.009765625
705.2622, 0.0014658973
737.564, 2.065585E-5
769.86804, 0.0087890625
834.476, -9.765625E-4
934.476, -0.0107421875
957.4048, -0.0070723468
980.33673, -0.01171875
1000.63, 0.0045002387
1020.7864, -0.0033642016
1041.2104, -0.0011538551
1061.2699, -7.539144E-4
1100.95, -0.0016696069
1127.1512, -0.005820019
1151.4071, -0.0024414062
1199.9191, -0.0014648438
1220.9651, -6.545221E-4
1247.7335, 4.8828125E-4
1283.4248, -0.0068359375
1303.891, -0.0023085892
1324.4175, -0.0037201345
1345.3318, -0.0025690743
1379.103, -4.8828125E-4
1424.1312, -0.0024414062
1447.1107, -0.0019284729
1485.2582, 0.0013020834
1536.1213, 0.001953125
1566.473, 9.778315E-4
1594.5376, 0.0048828125
1618.1089, -7.380631E-4
1641.7122, 0.0
1688.9188, -0.005859375
1783.3322, -0.001953125
1883.3322, -0.001953125
1918.2388, 7.037934E-4
1952.4417, 0.0
2000.0, -9.765625E-4
