Energy (in eV), backscattering yield of material alox-reduced-PEY at incidence 70.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.23429286
70.0, 0.28883517
80.0, 0.32372096
90.0, 0.34935206
100.0, 0.36951327
110.0, 0.38604978
120.0, 0.4000081
130.0, 0.41204107
140.0, 0.4225836
150.0, 0.43194002
160.0, 0.4403314
170.0, 0.4479234
180.0, 0.45484304
190.0, 0.46119004
200.0, 0.4670439
210.0, 0.47246894
220.0, 0.47751802
230.0, 0.48223498
240.0, 0.48665667
250.0, 0.4908142
260.0, 0.49473414
270.0, 0.49843943
280.0, 0.50194985
290.0, 0.50528264
300.0, 0.50845295
310.0, 0.51147413
320.0, 0.5143579
330.0, 0.5171148
340.0, 0.51975423
350.0, 0.52228445
360.0, 0.52471316
370.0, 0.52704704
380.0, 0.52929235
390.0, 0.5314547
400.0, 0.5335392
410.0, 0.53555036
420.0, 0.53749263
430.0, 0.5393699
440.0, 0.5411856
450.0, 0.5429433
460.0, 0.54464585
470.0, 0.54629624
480.0, 0.547897
490.0, 0.54945064
500.0, 0.55095935
510.0, 0.55242527
520.0, 0.5538504
530.0, 0.55523664
540.0, 0.5565856
550.0, 0.557899
560.0, 0.5591783
570.0, 0.5604249
580.0, 0.5616402
590.0, 0.56282544
600.0, 0.56398183
610.0, 0.56511045
620.0, 0.56621236
630.0, 0.56728864
640.0, 0.5683401
650.0, 0.56936777
660.0, 0.57037246
670.0, 0.571355
680.0, 0.5723161
690.0, 0.5732566
700.0, 0.5741771
710.0, 0.5750782
720.0, 0.5759607
730.0, 0.57682514
740.0, 0.57767206
750.0, 0.578502
760.0, 0.5793155
770.0, 0.58011305
780.0, 0.5808952
790.0, 0.5816623
800.0, 0.5824149
810.0, 0.58315337
820.0, 0.58387804
830.0, 0.5845894
840.0, 0.5852878
850.0, 0.5859736
860.0, 0.58664715
870.0, 0.5873087
880.0, 0.5879587
890.0, 0.5885973
900.0, 0.58922493
910.0, 0.5898418
920.0, 0.5904482
930.0, 0.5910444
940.0, 0.59163064
950.0, 0.5922072
960.0, 0.5927743
970.0, 0.5933321
980.0, 0.59388095
990.0, 0.5944209
1000.0, 0.59495234
1010.0, 0.59480035
1020.0, 0.59464866
1030.0, 0.59449714
