Energy (in eV), backscattering yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
2730.0, 0.36403656
2740.0, 0.36391398
2750.0, 0.36379158
2760.0, 0.3636694
2770.0, 0.36354747
2780.0, 0.36342573
2790.0, 0.3633042
2800.0, 0.36318293
2810.0, 0.36306188
2820.0, 0.36294103
2830.0, 0.36282042
2840.0, 0.3627
2850.0, 0.36257976
2860.0, 0.3624598
2870.0, 0.36234003
2880.0, 0.3622205
2890.0, 0.3621012
2900.0, 0.36198208
2910.0, 0.3618632
2920.0, 0.3617445
2930.0, 0.36162603
2940.0, 0.36150783
2950.0, 0.3613898
2960.0, 0.36127195
2970.0, 0.36115435
2980.0, 0.36103696
2990.0, 0.3609198
3000.0, 0.36080283
3010.0, 0.3606861
3020.0, 0.36056954
3030.0, 0.36045322
3040.0, 0.36033708
3050.0, 0.36022118
3060.0, 0.3601055
3070.0, 0.35998997
3080.0, 0.35987473
3090.0, 0.35975966
3100.0, 0.35964483
3110.0, 0.35953018
3120.0, 0.35941574
3130.0, 0.3593015
3140.0, 0.35918745
3150.0, 0.35907367
3160.0, 0.35896006
3170.0, 0.35884666
3180.0, 0.35873345
3190.0, 0.35862043
3200.0, 0.35850766
3210.0, 0.35839507
3220.0, 0.3582827
3230.0, 0.35817054
3240.0, 0.35805857
3250.0, 0.35794684
3260.0, 0.35783526
3270.0, 0.35772392
3280.0, 0.35761276
3290.0, 0.3575018
3300.0, 0.35739106
3310.0, 0.35728052
3320.0, 0.3571702
3330.0, 0.35706005
3340.0, 0.3569501
3350.0, 0.35684034
3360.0, 0.35673085
3370.0, 0.35662147
3380.0, 0.3565123
3390.0, 0.35640338
3400.0, 0.35629463
3410.0, 0.35618612
3420.0, 0.35607776
3430.0, 0.3559696
3440.0, 0.35586163
3450.0, 0.3557539
3460.0, 0.3556463
3470.0, 0.35553896
3480.0, 0.35543182
3490.0, 0.35532483
3500.0, 0.35521805
3510.0, 0.3551115
3520.0, 0.35500512
3530.0, 0.35489893
3540.0, 0.35479292
3550.0, 0.35468712
3560.0, 0.3545815
3570.0, 0.35447612
3580.0, 0.35437086
3590.0, 0.3542658
3600.0, 0.354161
3610.0, 0.35405636
3620.0, 0.3539519
3630.0, 0.35384762
3640.0, 0.35374358
3650.0, 0.3536397
3660.0, 0.35353598
3670.0, 0.35343248
3680.0, 0.35332915
3690.0, 0.35322607
3700.0, 0.3531231
3710.0, 0.3530204
3720.0, 0.35291782
3730.0, 0.35281545
3740.0, 0.3527133
3750.0, 0.35261127
3760.0, 0.35250947
3770.0, 0.35240784
3780.0, 0.35230643
3790.0, 0.35220516
3800.0, 0.3521041
3810.0, 0.3520032
3820.0, 0.3519025
3830.0, 0.35180202
3840.0, 0.3517017
3850.0, 0.35160157
3860.0, 0.35150158
3870.0, 0.35140187
3880.0, 0.35130227
3890.0, 0.35120288
3900.0, 0.3511036
3910.0, 0.3510046
3920.0, 0.35090572
3930.0, 0.35080707
3940.0, 0.35070854
3950.0, 0.35061023
3960.0, 0.3505121
3970.0, 0.35041413
3980.0, 0.35031635
3990.0, 0.35021877
4000.0, 0.35012135
4010.0, 0.3500241
4020.0, 0.34992707
4030.0, 0.3498302
4040.0, 0.3497335
4050.0, 0.349637
4060.0, 0.34954062
4070.0, 0.34944445
4080.0, 0.3493485
4090.0, 0.34925267
