Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
2750.0, 1.197554
2760.0, 1.1951455
2770.0, 1.1927472
2780.0, 1.1903596
2790.0, 1.187982
2800.0, 1.1856148
2810.0, 1.1832579
2820.0, 1.180911
2830.0, 1.178574
2840.0, 1.1762471
2850.0, 1.17393
2860.0, 1.171623
2870.0, 1.1693257
2880.0, 1.1670382
2890.0, 1.1647602
2900.0, 1.1624918
2910.0, 1.160233
2920.0, 1.1579837
2930.0, 1.1557438
2940.0, 1.1535132
2950.0, 1.151292
2960.0, 1.14908
2970.0, 1.1468772
2980.0, 1.1446834
2990.0, 1.1424987
3000.0, 1.1403232
3010.0, 1.1381565
3020.0, 1.1359987
3030.0, 1.1338496
3040.0, 1.1317093
3050.0, 1.129578
3060.0, 1.1274554
3070.0, 1.1253412
3080.0, 1.1232355
3090.0, 1.1211383
3100.0, 1.1190497
3110.0, 1.1169695
3120.0, 1.1148976
3130.0, 1.112834
3140.0, 1.1107787
3150.0, 1.1087315
3160.0, 1.1066927
3170.0, 1.1046617
3180.0, 1.102639
3190.0, 1.1006242
3200.0, 1.0986172
3210.0, 1.0966183
3220.0, 1.0946271
3230.0, 1.0926439
3240.0, 1.0906682
3250.0, 1.0887007
3260.0, 1.0867404
3270.0, 1.084788
3280.0, 1.0828431
3290.0, 1.0809056
3300.0, 1.0789756
3310.0, 1.0770533
3320.0, 1.0751382
3330.0, 1.0732303
3340.0, 1.0713301
3350.0, 1.0694368
3360.0, 1.0675509
3370.0, 1.0656722
3380.0, 1.0638006
3390.0, 1.0619361
3400.0, 1.0600787
3410.0, 1.0582281
3420.0, 1.0563849
3430.0, 1.0545483
3440.0, 1.0527186
3450.0, 1.0508958
3460.0, 1.0490799
3470.0, 1.0472709
3480.0, 1.0454684
3490.0, 1.0436728
3500.0, 1.0418838
3510.0, 1.0401013
3520.0, 1.0383254
3530.0, 1.0365561
3540.0, 1.0347933
3550.0, 1.033037
3560.0, 1.0312872
3570.0, 1.0295438
3580.0, 1.0278066
3590.0, 1.026076
3600.0, 1.0243515
3610.0, 1.0226332
3620.0, 1.0209212
3630.0, 1.0192155
3640.0, 1.0175158
3650.0, 1.0158222
3660.0, 1.0141348
3670.0, 1.0124534
3680.0, 1.0107782
3690.0, 1.0091088
3700.0, 1.0074455
3710.0, 1.0057878
3720.0, 1.0041362
3730.0, 1.0024905
3740.0, 1.0008506
3750.0, 0.9992166
3760.0, 0.99758804
3770.0, 0.99596554
3780.0, 0.9943485
3790.0, 0.9927373
3800.0, 0.9911316
3810.0, 0.98953164
3820.0, 0.9879371
3830.0, 0.9863482
3840.0, 0.9847648
3850.0, 0.9831871
3860.0, 0.98161453
3870.0, 0.98004764
3880.0, 0.9784859
3890.0, 0.9769297
3900.0, 0.9753788
3910.0, 0.9738332
3920.0, 0.9722929
3930.0, 0.97075796
3940.0, 0.969228
3950.0, 0.9677035
