Time (s), esn 2 net current (A), esn 2 collected current (A), esn 2 emitted current (A)
25.700144, 2.0473861E-4, -3.2839007E-4, -5.331287E-4
46.77397, 1.9471717E-4, -3.056662E-4, -5.003834E-4
67.848526, 1.8504585E-4, -3.1627624E-4, -5.013221E-4
87.99266, 1.474319E-4, -3.488328E-4, -4.962647E-4
113.2763, 1.3445155E-4, -3.5632064E-4, -4.907722E-4
142.87262, 1.366115E-4, -3.471644E-4, -4.837759E-4
163.14868, 1.2251361E-4, -3.5670103E-4, -4.7921462E-4
185.69318, 1.0644637E-4, -3.694156E-4, -4.7586198E-4
209.74063, 9.715388E-5, -3.7918726E-4, -4.7634114E-4
233.87848, 1.0047606E-4, -3.695446E-4, -4.7002066E-4
258.01846, 9.544261E-5, -3.7525865E-4, -4.7070126E-4
295.9383, 7.7419405E-5, -3.888064E-4, -4.6622579E-4
333.8599, 7.125421E-5, -3.957425E-4, -4.6699672E-4
357.7538, 7.4012525E-5, -3.8396355E-4, -4.5797607E-4
386.93024, 6.71489E-5, -3.8939592E-4, -4.5654483E-4
425.83218, 5.696318E-5, -3.9973276E-4, -4.5669594E-4
503.63602, 4.386893E-5, -4.1325626E-4, -4.571252E-4
524.0031, 4.2361873E-5, -4.0823253E-4, -4.505944E-4
549.57434, 4.294595E-5, -4.0584058E-4, -4.487865E-4
583.6693, 2.8541574E-5, -4.1990817E-4, -4.4844975E-4
651.8592, 2.7771486E-5, -4.2084753E-4, -4.4861902E-4
676.5516, 2.4992802E-5, -4.2042043E-4, -4.4541323E-4
701.12225, 1.91117E-5, -4.2727366E-4, -4.4638535E-4
750.2636, 8.11895E-6, -4.3726654E-4, -4.453855E-4
772.10223, 1.1418163E-5, -4.3172788E-4, -4.4314604E-4
793.94385, 6.123446E-6, -4.370665E-4, -4.4318996E-4
837.6271, -2.228131E-6, -4.4497184E-4, -4.427437E-4
860.9017, 5.713268E-6, -4.3605414E-4, -4.417674E-4
884.17773, 1.3751647E-5, -4.2896796E-4, -4.427196E-4
930.72986, -3.125926E-6, -4.4429713E-4, -4.411712E-4
1000.0, 1.4129328E-6, -4.4040466E-4, -4.418176E-4
1020.82025, 4.161836E-5, -6.3352543E-4, -6.751438E-4
1041.5873, 4.3189375E-5, -0.0010692261, -0.0011124155
1062.55, 4.8630765E-5, -0.0014953053, -0.0015439361
1100.9501, 6.302401E-5, -0.0016371849, -0.0017002089
1141.91, 8.460041E-5, -0.0016147911, -0.0016993915
1162.573, 8.479471E-5, -0.0016242471, -0.0017090418
1188.6028, 1.057858E-4, -0.0016059037, -0.0017116895
1227.7349, 1.1984003E-4, -0.0015933398, -0.0017131799
1251.0522, 1.14515395E-4, -0.001602909, -0.0017174244
1272.8507, 1.2390024E-4, -0.0015937944, -0.0017176947
1300.6718, 1.3915819E-4, -0.0015803407, -0.0017194989
1327.6724, 1.2340289E-4, -0.0015989012, -0.0017223042
1363.4845, 1.2502827E-4, -0.0015989811, -0.0017240094
1397.6066, 1.5149196E-4, -0.001572744, -0.001724236
1419.1829, 1.09095E-4, -0.001616272, -0.001725367
1441.0295, 1.6138183E-4, -0.0015651418, -0.0017265237
1474.5421, 1.3484688E-4, -0.0015927933, -0.0017276402
1512.842, 1.6099005E-4, -0.0015670768, -0.0017280668
1536.183, 1.2794108E-4, -0.0016018174, -0.0017297585
1595.8295, 1.5792127E-4, -0.0015719706, -0.0017298919
1624.7104, 8.2226594E-5, -0.0016485219, -0.0017307485
1647.3024, 1.02061545E-4, -0.0016277859, -0.0017298474
1692.4862, 1.2553635E-4, -0.0016055771, -0.0017311134
1782.854, 1.5690026E-4, -0.0015747886, -0.0017316889
1882.854, 1.788272E-4, -0.0015529117, -0.0017317389
1917.7123, 1.404046E-4, -0.0015909126, -0.0017313171
1952.592, 1.7068128E-4, -0.0015609225, -0.0017316038
1981.6946, 7.516174E-5, -0.0016572638, -0.0017324256
