Energy (in eV), backscattering yield of material alox-reduced-PEY at incidence 0.0 degree
   X,       Y
2720.0, 0.19526276
2730.0, 0.1951468
2740.0, 0.19503106
2750.0, 0.19491555
2760.0, 0.19480027
2770.0, 0.19468524
2780.0, 0.19457042
2790.0, 0.19445583
2800.0, 0.19434148
2810.0, 0.19422735
2820.0, 0.19411345
2830.0, 0.19399978
2840.0, 0.19388634
2850.0, 0.19377312
2860.0, 0.19366013
2870.0, 0.19354735
2880.0, 0.19343482
2890.0, 0.1933225
2900.0, 0.19321041
2910.0, 0.19309855
2920.0, 0.19298689
2930.0, 0.19287547
2940.0, 0.19276428
2950.0, 0.1926533
2960.0, 0.19254254
2970.0, 0.19243202
2980.0, 0.1923217
2990.0, 0.19221161
3000.0, 0.19210173
3010.0, 0.19199207
3020.0, 0.19188266
3030.0, 0.19177343
3040.0, 0.19166444
3050.0, 0.19155566
3060.0, 0.1914471
3070.0, 0.19133875
3080.0, 0.19123062
3090.0, 0.19112271
3100.0, 0.19101502
3110.0, 0.19090754
3120.0, 0.19080026
3130.0, 0.19069321
3140.0, 0.19058637
3150.0, 0.19047976
3160.0, 0.19037333
3170.0, 0.19026715
3180.0, 0.19016115
3190.0, 0.19005537
3200.0, 0.18994981
3210.0, 0.18984446
3220.0, 0.18973932
3230.0, 0.18963438
3240.0, 0.18952966
3250.0, 0.18942514
3260.0, 0.18932085
3270.0, 0.18921675
3280.0, 0.18911286
3290.0, 0.18900917
3300.0, 0.1889057
3310.0, 0.18880244
3320.0, 0.18869938
3330.0, 0.18859652
3340.0, 0.18849388
3350.0, 0.18839143
3360.0, 0.1882892
3370.0, 0.18818715
3380.0, 0.18808532
3390.0, 0.18798369
3400.0, 0.18788227
3410.0, 0.18778105
3420.0, 0.18768002
3430.0, 0.18757921
3440.0, 0.18747859
3450.0, 0.18737818
3460.0, 0.18727796
3470.0, 0.18717794
3480.0, 0.18707813
3490.0, 0.18697852
3500.0, 0.1868791
3510.0, 0.18677989
3520.0, 0.18668087
3530.0, 0.18658204
3540.0, 0.18648341
3550.0, 0.18638499
3560.0, 0.18628676
3570.0, 0.18618873
3580.0, 0.18609089
3590.0, 0.18599324
3600.0, 0.1858958
3610.0, 0.18579854
3620.0, 0.18570149
3630.0, 0.18560462
3640.0, 0.18550795
3650.0, 0.18541147
3660.0, 0.18531518
3670.0, 0.1852191
3680.0, 0.18512319
3690.0, 0.18502748
3700.0, 0.18493196
3710.0, 0.18483664
3720.0, 0.1847415
3730.0, 0.18464655
3740.0, 0.18455179
3750.0, 0.18445723
3760.0, 0.18436284
3770.0, 0.18426865
3780.0, 0.18417466
3790.0, 0.18408084
3800.0, 0.18398722
3810.0, 0.18389377
3820.0, 0.18380052
3830.0, 0.18370746
3840.0, 0.18361457
3850.0, 0.18352188
3860.0, 0.18342936
3870.0, 0.18333705
3880.0, 0.1832449
3890.0, 0.18315294
3900.0, 0.18306117
3910.0, 0.18296959
3920.0, 0.18287818
3930.0, 0.18278696
3940.0, 0.18269591
3950.0, 0.18260504
3960.0, 0.18251437
3970.0, 0.18242387
3980.0, 0.18233356
3990.0, 0.18224342
4000.0, 0.18215346
4010.0, 0.18206368
4020.0, 0.1819741
4030.0, 0.18188468
4040.0, 0.18179543
4050.0, 0.18170638
4060.0, 0.1816175
4070.0, 0.18152879
4080.0, 0.18144026
4090.0, 0.18135192
4100.0, 0.18126373
4110.0, 0.18117574
4120.0, 0.18108791
4130.0, 0.18100026
4140.0, 0.1809128
4150.0, 0.1808255
4160.0, 0.18073837
4170.0, 0.18065143
4180.0, 0.18056466
4190.0, 0.18047805
4200.0, 0.18039162
4210.0, 0.18030536
4220.0, 0.18021928
4230.0, 0.18013337
4240.0, 0.18004763
4250.0, 0.17996207
4260.0, 0.17987667
4270.0, 0.17979144
4280.0, 0.17970638
4290.0, 0.1796215
4300.0, 0.17953677
4310.0, 0.17945223
4320.0, 0.17936786
4330.0, 0.17928365
4340.0, 0.1791996
4350.0, 0.17911573
4360.0, 0.17903201
4370.0, 0.17894848
4380.0, 0.1788651
4390.0, 0.1787819
4400.0, 0.17869887
4410.0, 0.17861599
4420.0, 0.17853329
4430.0, 0.17845073
4440.0, 0.17836836
4450.0, 0.17828615
4460.0, 0.17820409
4470.0, 0.17812221
4480.0, 0.17804049
4490.0, 0.17795894
4500.0, 0.17787753
4510.0, 0.1777963
