Energy (in eV), backscattering yield of material alox-reduced-PEY at incidence 30.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.025361413
70.0, 0.043084163
80.0, 0.057505403
90.0, 0.06974318
100.0, 0.08038972
110.0, 0.089813955
120.0, 0.098265834
130.0, 0.105924115
140.0, 0.11292166
150.0, 0.11936018
160.0, 0.12531936
170.0, 0.1308629
180.0, 0.13604257
190.0, 0.14090094
200.0, 0.14547355
210.0, 0.14979038
220.0, 0.15387686
230.0, 0.15775484
240.0, 0.1614432
250.0, 0.1649584
260.0, 0.16831477
270.0, 0.17152503
280.0, 0.17460035
290.0, 0.17755075
300.0, 0.1803851
310.0, 0.18311141
320.0, 0.18573688
330.0, 0.188268
340.0, 0.19071072
350.0, 0.19307029
360.0, 0.19535172
370.0, 0.1975594
380.0, 0.19969746
390.0, 0.2017697
400.0, 0.20377955
410.0, 0.20573023
420.0, 0.2076247
430.0, 0.20946574
440.0, 0.2112559
450.0, 0.21299751
460.0, 0.21469282
470.0, 0.2163439
480.0, 0.21795268
490.0, 0.21952099
500.0, 0.2210505
510.0, 0.22254278
520.0, 0.22399938
530.0, 0.2254217
540.0, 0.22681104
550.0, 0.22816868
560.0, 0.22949581
570.0, 0.2307935
580.0, 0.2320629
590.0, 0.2333049
600.0, 0.23452055
610.0, 0.23571073
620.0, 0.23687626
630.0, 0.23801802
640.0, 0.23913671
650.0, 0.24023311
660.0, 0.24130794
670.0, 0.24236186
680.0, 0.2433955
690.0, 0.24440953
700.0, 0.24540448
710.0, 0.24638088
720.0, 0.24733937
730.0, 0.24828039
740.0, 0.24920447
750.0, 0.25011203
760.0, 0.25100353
770.0, 0.25187948
780.0, 0.25274026
790.0, 0.25358623
800.0, 0.25441787
810.0, 0.25523546
820.0, 0.25603935
830.0, 0.25683
840.0, 0.25760764
850.0, 0.25837258
860.0, 0.25912523
870.0, 0.2598658
880.0, 0.2605946
890.0, 0.26131192
900.0, 0.26201802
910.0, 0.26271316
920.0, 0.2633976
930.0, 0.26407155
940.0, 0.26473528
950.0, 0.26538903
960.0, 0.26603296
970.0, 0.26666734
980.0, 0.26729235
990.0, 0.2679082
1000.0, 0.26851508
1010.0, 0.26834142
1020.0, 0.26816812
1030.0, 0.26799515
