Time (s), variation of the average surface potential of esn 1 (s-1.V)
25.700144, -54.198452
46.77397, -49.338062
67.848526, -7.7313175
87.99266, -48.287457
113.2763, -8.08785
142.87262, -24.533964
163.14868, -34.439182
185.69318, -6.1785364
209.74063, -6.3237777
233.87848, -26.109838
258.01846, -5.54705
295.9383, -13.725602
333.8599, -4.814193
357.7538, -38.79571
386.93024, -3.0325663
425.83218, -3.7271843
503.63602, -3.4654396
524.0031, -35.588608
549.57434, -1.7712865
583.6693, -2.101381
651.8592, -2.8281112
676.5516, -15.713146
701.12225, -1.9175785
750.2636, -1.6204445
772.10223, -9.996903
793.94385, -1.2908542
837.6271, -1.7510432
860.9017, -7.8440094
884.17773, -0.8470426
930.72986, -1.6340678
1000.0, -1.6192126
1020.82025, 19.168055
1041.5873, 35.53384
1062.55, 32.372776
1100.9501, 11.1350765
1141.91, 9.8085165
1162.573, 47.014362
1188.6028, 14.649342
1227.7349, 6.1745467
1251.0522, 19.137445
1272.8507, 4.8496304
1300.6718, 10.245677
1327.6724, 9.25229
1363.4845, 5.83102
1397.6066, 2.7548258
1419.1829, 7.331578
1441.0295, 7.1378264
1474.5421, 1.8108172
1512.842, 1.6854231
1536.183, 7.8791356
1595.8295, -0.48145753
1624.7104, 2.7619636
1647.3024, 1.261469
1692.4862, 0.9904086
1782.854, 0.16003406
1882.854, 0.2595752
1917.7123, 1.9061087
1952.592, -0.81954384
1981.6946, 3.1569226
