Energy (in eV), SEEE yield of material CERS-withBUCT at incidence 90.0 degree
   X,       Y
2820.0, 6.4132824
2830.0, 6.4010744
2840.0, 6.388898
2850.0, 6.376753
2860.0, 6.3646393
2870.0, 6.3525586
2880.0, 6.3405094
2890.0, 6.3284936
2900.0, 6.3165116
2910.0, 6.3045626
2920.0, 6.2926483
2930.0, 6.280768
2940.0, 6.2689223
2950.0, 6.2571115
2960.0, 6.2453365
2970.0, 6.233596
2980.0, 6.2218924
2990.0, 6.210223
3000.0, 6.1985917
