Time (s), esn 2 average surface potential (V), esn 2 ground potential (V), esn 2 min surface potential (V), esn 2 max surface potential (V)
25.513973, -387.87717, -575.75616, -439.72983, -365.0924
47.94545, -819.822, -1344.3265, -1051.2468, -733.08575
77.81673, -2131.5422, -2900.4993, -2281.5815, -2085.6494
107.68806, -2051.0325, -3212.4229, -2382.3474, -1932.6919
134.89421, -2887.8193, -4191.321, -3193.9038, -2752.5466
162.10179, -2839.5579, -4446.435, -3294.107, -2660.5881
183.75162, -3571.6748, -5243.0776, -3930.1584, -3416.768
206.68947, -3764.6682, -5601.368, -4287.6655, -3566.5063
249.46461, -4115.8955, -6165.794, -4741.1436, -3864.1194
271.35352, -4559.3896, -6750.794, -5103.871, -4311.901
293.24402, -4526.0513, -6878.076, -5249.4863, -4235.0405
337.025, -4493.155, -7089.571, -5260.1367, -4144.7275
357.46384, -5060.274, -7686.377, -5623.958, -4786.979
377.51654, -5056.937, -7801.208, -5805.256, -4735.1
416.7095, -5313.362, -8129.0225, -6077.703, -4990.9824
456.52457, -5278.6724, -8303.842, -6149.5747, -4937.9175
494.06387, -5614.6045, -8690.229, -6477.091, -5272.947
531.60596, -5589.7524, -8832.079, -6619.7607, -5201.32
567.555, -5917.2046, -9195.76, -6654.3325, -5580.062
598.53815, -6165.7905, -9499.518, -6800.3896, -5854.0356
624.4727, -6165.6895, -9599.043, -6909.2065, -5778.587
676.34186, -6154.6206, -9714.835, -6973.5015, -5750.0664
705.2622, -6325.114, -9912.035, -7113.5576, -5943.081
737.564, -6495.4404, -10126.872, -7238.049, -6121.5044
769.86804, -6477.9326, -10189.85, -7334.083, -6049.6978
834.476, -6464.1855, -10286.573, -7345.3604, -6000.872
934.476, -6454.973, -10418.329, -7308.208, -5991.6743
957.4048, -6763.6597, -10720.688, -7517.0293, -6349.3833
980.33673, -6755.973, -10738.678, -7630.259, -6323.913
1000.63, -6753.114, -10755.8, -7684.345, -6297.756
1020.7864, -6483.936, -10490.008, -6909.8867, -6108.036
1041.2104, -5718.112, -9728.574, -6008.2485, -5390.9204
1061.2699, -5137.7427, -9040.806, -5372.376, -4876.619
1100.95, -4905.15, -8441.202, -5158.823, -4491.6523
1127.1512, -4495.747, -7771.1274, -4741.037, -4185.2847
1151.4071, -4488.3433, -7503.707, -4805.0503, -4150.3525
1199.9191, -4493.7456, -7209.456, -4809.184, -4117.1357
1220.9651, -3793.1003, -6485.621, -4013.7354, -3539.8945
1247.7335, -3638.989, -6192.201, -3909.9583, -3365.862
1283.4248, -3640.9114, -5984.882, -3919.767, -3333.503
1303.891, -3342.4875, -5651.6406, -3597.5576, -3074.6304
1324.4175, -3312.0623, -5519.5527, -3591.206, -3030.3206
1345.3318, -3108.079, -5285.062, -3358.4343, -2882.597
1379.103, -3079.7415, -5167.87, -3378.5195, -2851.9915
1424.1312, -3080.9717, -5061.5156, -3386.8953, -2847.8188
1447.1107, -2831.8025, -4802.7124, -3073.6921, -2622.9517
1485.2582, -2798.6204, -4711.628, -3073.8481, -2591.1667
1536.1213, -2798.8562, -4654.326, -3083.4507, -2594.157
1566.473, -2652.0798, -4497.0376, -2892.1501, -2457.2869
1594.5376, -2646.3838, -4447.0103, -2900.868, -2453.1035
1618.1089, -2595.1624, -4379.7065, -2835.1755, -2374.4312
1641.7122, -2594.13, -4344.5103, -2841.3826, -2402.4048
1688.9188, -2594.346, -4294.798, -2846.9617, -2393.2095
1783.3322, -2594.2234, -4303.537, -2846.6545, -2402.7944
1883.3322, -2594.3054, -4288.3926, -2852.229, -2409.705
1918.2388, -2424.394, -4119.905, -2661.262, -2265.0676
1952.4417, -2422.3042, -4131.432, -2664.269, -2262.1091
2000.0, -2422.4138, -4106.2183, -2666.071, -2259.395
