Energy (in eV), SEEE yield of material CFRP-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.2218505
20.0, 0.4164757
30.0, 0.585809
40.0, 0.7321793
50.0, 0.85793096
60.0, 0.9653129
70.0, 1.0564309
80.0, 1.1332269
90.0, 1.1974721
100.0, 1.2507687
110.0, 1.294555
120.0, 1.3301142
130.0, 1.3585863
140.0, 1.3809767
150.0, 1.3981696
160.0, 1.4109396
170.0, 1.4199606
180.0, 1.4258184
190.0, 1.4290193
200.0, 1.4299998
210.0, 1.4291348
220.0, 1.4267442
230.0, 1.423101
240.0, 1.4184376
250.0, 1.4129502
260.0, 1.4068038
270.0, 1.4001379
280.0, 1.3930686
290.0, 1.3856925
300.0, 1.37809
310.0, 1.3703278
320.0, 1.3624604
330.0, 1.3545319
340.0, 1.3465794
350.0, 1.338631
360.0, 1.3307111
370.0, 1.3228381
380.0, 1.315026
390.0, 1.3072866
400.0, 1.2996285
410.0, 1.2920576
420.0, 1.2845787
430.0, 1.2771951
440.0, 1.2699085
450.0, 1.26272
460.0, 1.2556298
470.0, 1.2486378
480.0, 1.241743
490.0, 1.234944
500.0, 1.2282403
510.0, 1.2216293
520.0, 1.2151102
530.0, 1.2086809
540.0, 1.2023392
550.0, 1.1960837
560.0, 1.1899123
570.0, 1.1838233
580.0, 1.1778146
590.0, 1.1718847
600.0, 1.1660315
610.0, 1.1602534
620.0, 1.1545486
630.0, 1.1489156
640.0, 1.1433529
650.0, 1.1378586
660.0, 1.1324313
670.0, 1.1270695
680.0, 1.1217719
690.0, 1.116537
700.0, 1.1113636
710.0, 1.1062504
720.0, 1.1011962
730.0, 1.0961995
740.0, 1.0912594
750.0, 1.0863746
760.0, 1.0815442
770.0, 1.0767668
780.0, 1.0720417
790.0, 1.0673679
800.0, 1.0627441
810.0, 1.0581695
820.0, 1.0536433
830.0, 1.0491645
840.0, 1.0447322
850.0, 1.0403457
860.0, 1.036004
870.0, 1.0317063
880.0, 1.027452
890.0, 1.0232403
900.0, 1.0190704
910.0, 1.0149415
920.0, 1.0108529
930.0, 1.0068041
940.0, 1.0027944
950.0, 0.99882305
960.0, 0.9948894
970.0, 0.9909929
980.0, 0.987133
990.0, 0.98330915
1000.0, 0.97952056
1010.0, 0.97576684
1020.0, 0.9720473
1030.0, 0.9683617
