Energy (in eV), SEEP yield of material CERS-withBUCT at incidence 90.0 degree
   X,       Y
57600.0, 628.74036
57800.0, 633.45386
58000.0, 634.1082
58200.0, 638.82874
58400.0, 639.4817
58600.0, 640.1318
58800.0, 644.86053
59000.0, 645.50934
59200.0, 646.15533
59400.0, 650.89233
59600.0, 651.53687
59800.0, 656.2804
60000.0, 656.92365
60200.0, 657.5641
60400.0, 662.3157
60600.0, 662.9547
60800.0, 663.5911
61000.0, 668.35046
61200.0, 668.9854
61400.0, 673.75116
61600.0, 674.3847
61800.0, 675.0156
62000.0, 679.789
62200.0, 680.4185
62400.0, 685.1981
62600.0, 685.82623
62800.0, 686.4517
63000.0, 691.23865
63200.0, 691.86273
63400.0, 692.4843
63600.0, 697.27844
63800.0, 697.8986
64000.0, 702.6988
64200.0, 703.3175
64400.0, 703.9336
64600.0, 708.74097
64800.0, 709.3555
65000.0, 709.9678
65200.0, 714.7821
65400.0, 715.3929
65600.0, 720.2129
65800.0, 720.82227
66000.0, 721.4291
66200.0, 726.2559
66400.0, 726.8613
66600.0, 727.46436
66800.0, 732.2978
67000.0, 732.89935
67200.0, 737.73834
67400.0, 738.33856
67600.0, 738.9362
67800.0, 743.7817
68000.0, 744.3779
68200.0, 744.9719
68400.0, 749.82367
68600.0, 750.41626
68800.0, 755.2733
69000.0, 755.8644
69200.0, 756.45306
69400.0, 761.3165
69600.0, 761.9037
69800.0, 762.4886
70000.0, 767.3581
70200.0, 767.9415
70400.0, 772.81616
70600.0, 773.3982
70800.0, 773.97797
71000.0, 778.85834
71200.0, 779.43677
71400.0, 780.01276
71600.0, 784.8991
71800.0, 785.4737
72000.0, 790.365
72200.0, 790.93823
72400.0, 791.50903
72600.0, 796.4058
72800.0, 796.9754
73000.0, 797.5426
73200.0, 802.4452
73400.0, 803.011
73600.0, 807.9182
73800.0, 808.4826
74000.0, 809.0447
74200.0, 813.95734
74400.0, 814.51807
74600.0, 815.0766
74800.0, 819.9945
75000.0, 820.5516
75200.0, 821.10645
75400.0, 826.0298
75600.0, 826.5833
75800.0, 831.51105
76000.0, 832.06305
76200.0, 832.61304
76400.0, 837.54584
76600.0, 838.09436
76800.0, 838.64075
77000.0, 843.57855
77200.0, 844.12354
77400.0, 849.0655
77600.0, 849.609
77800.0, 850.1503
78000.0, 855.0975
78200.0, 855.6374
78400.0, 856.1753
78600.0, 861.12714
78800.0, 861.6636
79000.0, 866.6195
79200.0, 867.15454
79400.0, 867.6875
79600.0, 872.64795
79800.0, 873.1795
80000.0, 873.7089
80200.0, 878.67413
80400.0, 879.2023
80600.0, 884.1714
80800.0, 884.69806
81000.0, 885.22266
81200.0, 890.1962
81400.0, 890.7193
81600.0, 891.2406
81800.0, 896.21844
82000.0, 896.7381
82200.0, 901.72
82400.0, 902.2383
82600.0, 902.7546
82800.0, 907.74054
83000.0, 908.25543
83200.0, 908.7684
83400.0, 913.7587
83600.0, 914.2702
83800.0, 919.2639
84000.0, 919.77405
84200.0, 920.28204
84400.0, 925.2799
84600.0, 925.78674
84800.0, 926.29156
85000.0, 931.2935
85200.0, 931.7968
85400.0, 936.8021
85600.0, 937.30414
85800.0, 937.80414
86000.0, 942.81323
86200.0, 943.3119
86400.0, 943.8087
86600.0, 948.8217
86800.0, 949.317
87000.0, 954.3333
87200.0, 954.8274
87400.0, 955.31934
87600.0, 960.33936
87800.0, 960.82996
88000.0, 961.3187
88200.0, 966.3423
88400.0, 966.82965
88600.0, 971.8565
88800.0, 972.34235
89000.0, 972.82654
89200.0, 977.8568
89400.0, 978.33954
89600.0, 978.82025
89800.0, 983.8542
90000.0, 984.3336
90200.0, 989.37054
90400.0, 989.8484
90600.0, 990.32465
90800.0, 995.3649
91000.0, 995.83954
91200.0, 996.3127
91400.0, 1001.35626
91600.0, 1001.8278
91800.0, 1006.8744
92000.0, 1007.34454
92200.0, 1007.8129
92400.0, 1012.8624
92600.0, 1013.3295
92800.0, 1013.79474
93000.0, 1018.8475
93200.0, 1019.3113
93400.0, 1024.3671
93600.0, 1024.8292
93800.0, 1025.2899
94000.0, 1030.3488
94200.0, 1030.808
94400.0, 1031.2654
94600.0, 1036.3273
94800.0, 1036.7832
95000.0, 1041.8475
95200.0, 1042.3022
95400.0, 1042.7552
95600.0, 1047.8224
95800.0, 1048.2739
96000.0, 1048.7239
96200.0, 1053.794
96400.0, 1054.2424
96600.0, 1059.3151
96800.0, 1059.7622
97000.0, 1060.2076
97200.0, 1065.2828
97400.0, 1065.7268
97600.0, 1070.8047
97800.0, 1071.2473
98000.0, 1071.6884
98200.0, 1076.7688
98400.0, 1077.2083
98600.0, 1077.6462
98800.0, 1082.7292
99000.0, 1083.1659
99200.0, 1088.2511
99400.0, 1088.6863
99600.0, 1089.1196
99800.0, 1094.2076
100000.0, 1094.6396
