Energy (in eV), SEEE yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
2770.0, 2.0148265
2780.0, 2.010965
2790.0, 2.0071218
2800.0, 2.0032952
2810.0, 1.9994859
2820.0, 1.9956934
2830.0, 1.991918
2840.0, 1.9881593
2850.0, 1.9844172
2860.0, 1.9806917
2870.0, 1.9769827
2880.0, 1.9732898
2890.0, 1.9696137
2900.0, 1.9659534
2910.0, 1.9623091
2920.0, 1.958681
2930.0, 1.9550683
2940.0, 1.9514718
2950.0, 1.9478906
2960.0, 1.944325
2970.0, 1.9407749
2980.0, 1.9372402
2990.0, 1.9337212
3000.0, 1.9302169
3010.0, 1.926728
3020.0, 1.9232532
3030.0, 1.919794
3040.0, 1.9163498
3050.0, 1.9129198
3060.0, 1.9095044
3070.0, 1.9061035
3080.0, 1.9027176
3090.0, 1.8993455
3100.0, 1.8959879
3110.0, 1.8926444
3120.0, 1.8893144
3130.0, 1.885999
3140.0, 1.8826977
3150.0, 1.8794094
3160.0, 1.8761355
3170.0, 1.8728752
3180.0, 1.8696284
3190.0, 1.8663949
3200.0, 1.8631746
3210.0, 1.859968
3220.0, 1.8567747
3230.0, 1.8535943
3240.0, 1.8504267
3250.0, 1.8472728
3260.0, 1.8441312
3270.0, 1.8410027
3280.0, 1.8378868
3290.0, 1.8347836
3300.0, 1.831693
3310.0, 1.8286151
3320.0, 1.8255496
3330.0, 1.822496
3340.0, 1.8194553
3350.0, 1.8164268
3360.0, 1.81341
3370.0, 1.8104056
3380.0, 1.8074132
3390.0, 1.8044324
3400.0, 1.801464
3410.0, 1.798507
3420.0, 1.7955618
3430.0, 1.7926283
3440.0, 1.7897062
3450.0, 1.7867959
3460.0, 1.7838968
3470.0, 1.7810091
3480.0, 1.7781329
3490.0, 1.7752678
3500.0, 1.772414
3510.0, 1.7695711
3520.0, 1.766739
3530.0, 1.7639184
3540.0, 1.7611085
3550.0, 1.7583095
3560.0, 1.7555213
3570.0, 1.7527438
3580.0, 1.7499771
3590.0, 1.7472208
3600.0, 1.7444749
3610.0, 1.7417396
3620.0, 1.739015
3630.0, 1.7363006
3640.0, 1.7335961
3650.0, 1.730902
3660.0, 1.7282184
3670.0, 1.7255447
3680.0, 1.7228812
3690.0, 1.7202274
3700.0, 1.7175838
3710.0, 1.7149503
3720.0, 1.7123263
3730.0, 1.7097121
3740.0, 1.7071078
3750.0, 1.7045128
3760.0, 1.7019277
3770.0, 1.6993521
3780.0, 1.696786
3790.0, 1.6942294
3800.0, 1.6916821
3810.0, 1.6891444
3820.0, 1.6866157
3830.0, 1.6840963
3840.0, 1.6815861
3850.0, 1.679085
3860.0, 1.676593
3870.0, 1.67411
3880.0, 1.6716361
3890.0, 1.6691712
3900.0, 1.6667149
3910.0, 1.6642675
3920.0, 1.6618292
3930.0, 1.6593996
3940.0, 1.6569785
3950.0, 1.654566
3960.0, 1.652162
3970.0, 1.6497668
3980.0, 1.64738
3990.0, 1.6450018
4000.0, 1.6426318
4010.0, 1.64027
4020.0, 1.6379172
4030.0, 1.635572
4040.0, 1.6332352
4050.0, 1.6309067
4060.0, 1.6285863
4070.0, 1.6262741
4080.0, 1.62397
4090.0, 1.6216737
4100.0, 1.6193852
4110.0, 1.617105
4120.0, 1.6148324
4130.0, 1.6125677
4140.0, 1.6103109
4150.0, 1.6080618
4160.0, 1.6058205
4170.0, 1.6035866
4180.0, 1.6013606
4190.0, 1.5991422
4200.0, 1.5969313
4210.0, 1.594728
4220.0, 1.5925319
4230.0, 1.5903432
4240.0, 1.5881624
4250.0, 1.5859884
4260.0, 1.583822
4270.0, 1.581663
4280.0, 1.5795109
4290.0, 1.5773664
4300.0, 1.5752288
4310.0, 1.5730983
4320.0, 1.5709751
4330.0, 1.5688587
4340.0, 1.5667496
4350.0, 1.5646472
4360.0, 1.562552
4370.0, 1.5604635
4380.0, 1.558382
4390.0, 1.5563074
4400.0, 1.5542394
4410.0, 1.5521785
4420.0, 1.5501242
4430.0, 1.5480766
4440.0, 1.5460353
4450.0, 1.5440011
4460.0, 1.5419734
4470.0, 1.5399524
4480.0, 1.5379376
4490.0, 1.5359293
4500.0, 1.5339277
4510.0, 1.5319325
4520.0, 1.5299437
4530.0, 1.5279614
4540.0, 1.525985
4550.0, 1.5240152
4560.0, 1.5220519
4570.0, 1.5200946
4580.0, 1.5181435
4590.0, 1.5161984
4600.0, 1.51426
4610.0, 1.5123274
4620.0, 1.5104008
4630.0, 1.5084804
4640.0, 1.5065662
4650.0, 1.5046577
4660.0, 1.5027554
4670.0, 1.5008588
4680.0, 1.4989684
4690.0, 1.4970839
4700.0, 1.4952048
4710.0, 1.493332
4720.0, 1.4914649
4730.0, 1.4896035
4740.0, 1.487748
4750.0, 1.485898
4760.0, 1.4840536
4770.0, 1.4822153
4780.0, 1.4803823
4790.0, 1.4785552
4800.0, 1.4767332
4810.0, 1.4749172
4820.0, 1.4731065
4830.0, 1.4713014
4840.0, 1.4695017
4850.0, 1.4677076
4860.0, 1.4659189
