Energy (in eV), SEEP yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
53800.0, 4.3567204
54000.0, 4.360214
54200.0, 4.363685
54400.0, 4.3671346
54600.0, 4.370561
54800.0, 4.3739657
55000.0, 4.3773494
55200.0, 4.380711
55400.0, 4.3840513
55600.0, 4.3873696
55800.0, 4.390667
56000.0, 4.3939443
56200.0, 4.3972006
56400.0, 4.400435
56600.0, 4.40365
56800.0, 4.4068427
57000.0, 4.410016
57200.0, 4.4131694
57400.0, 4.4163036
57600.0, 4.4194164
57800.0, 4.4225106
58000.0, 4.425584
58200.0, 4.4286385
58400.0, 4.4316735
58600.0, 4.434689
58800.0, 4.437685
59000.0, 4.440663
59200.0, 4.443621
59400.0, 4.4465613
59600.0, 4.4494815
59800.0, 4.4523845
60000.0, 4.455269
60200.0, 4.4581347
60400.0, 4.460982
60600.0, 4.463811
60800.0, 4.466623
61000.0, 4.4694166
61200.0, 4.472193
61400.0, 4.4749513
61600.0, 4.477692
61800.0, 4.480416
62000.0, 4.4831214
62200.0, 4.4858103
62400.0, 4.4884825
62600.0, 4.4911375
62800.0, 4.493776
63000.0, 4.496397
63200.0, 4.4990025
63400.0, 4.5015903
63600.0, 4.504162
63800.0, 4.5067167
64000.0, 4.5092564
64200.0, 4.51178
64400.0, 4.514287
64600.0, 4.5167785
64800.0, 4.5192533
65000.0, 4.5217133
65200.0, 4.524156
65400.0, 4.526585
65600.0, 4.5289984
65800.0, 4.531396
66000.0, 4.533778
66200.0, 4.5361457
66400.0, 4.5384974
66600.0, 4.540835
66800.0, 4.543157
67000.0, 4.545465
67200.0, 4.547757
67400.0, 4.5500355
67600.0, 4.552299
67800.0, 4.5545483
68000.0, 4.556783
68200.0, 4.5590043
68400.0, 4.56121
68600.0, 4.563402
68800.0, 4.5655804
69000.0, 4.5677447
69200.0, 4.569895
69400.0, 4.5720325
69600.0, 4.5741553
69800.0, 4.5762644
70000.0, 4.57836
70200.0, 4.5804424
70400.0, 4.5825114
70600.0, 4.5845675
70800.0, 4.5866103
71000.0, 4.5886397
71200.0, 4.5906563
71400.0, 4.5926595
71600.0, 4.59465
71800.0, 4.5966277
72000.0, 4.5985923
72200.0, 4.600545
72400.0, 4.6024847
72600.0, 4.6044116
72800.0, 4.606326
73000.0, 4.6082287
73200.0, 4.6101184
73400.0, 4.611996
73600.0, 4.6138616
73800.0, 4.615715
74000.0, 4.617556
74200.0, 4.6193857
74400.0, 4.621203
74600.0, 4.6230083
74800.0, 4.6248026
75000.0, 4.626585
75200.0, 4.628355
75400.0, 4.6301146
75600.0, 4.631861
75800.0, 4.6335983
76000.0, 4.6353235
76200.0, 4.6370363
76400.0, 4.638739
76600.0, 4.6404295
76800.0, 4.64211
77000.0, 4.643778
77200.0, 4.645437
77400.0, 4.647083
77600.0, 4.6487193
77800.0, 4.650344
78000.0, 4.6519585
78200.0, 4.653562
78400.0, 4.655156
78600.0, 4.6567388
78800.0, 4.6583104
79000.0, 4.659872
79200.0, 4.661423
79400.0, 4.6629643
79600.0, 4.6644945
79800.0, 4.6660147
80000.0, 4.6675253
80200.0, 4.669026
80400.0, 4.6705155
80600.0, 4.6719947
80800.0, 4.6734653
81000.0, 4.6749253
81200.0, 4.676376
81400.0, 4.6778164
81600.0, 4.6792474
81800.0, 4.6806693
82000.0, 4.6820807
82200.0, 4.6834826
82400.0, 4.684875
82600.0, 4.686258
82800.0, 4.687631
83000.0, 4.688995
83200.0, 4.69035
83400.0, 4.691696
83600.0, 4.6930323
83800.0, 4.69436
84000.0, 4.6956778
84200.0, 4.696986
84400.0, 4.6982865
84600.0, 4.699578
84800.0, 4.7008595
85000.0, 4.702132
85200.0, 4.7033978
85400.0, 4.7046533
85600.0, 4.7059007
85800.0, 4.7071385
86000.0, 4.708368
86200.0, 4.7095885
86400.0, 4.710801
