Energy (in eV), backscattering yield of material alox-reduced-PEY at incidence 10.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.015321208
70.0, 0.02799003
80.0, 0.038868047
90.0, 0.048403718
100.0, 0.056890532
110.0, 0.064533696
120.0, 0.07148295
130.0, 0.077851154
140.0, 0.08372556
150.0, 0.08917504
160.0, 0.09425493
170.0, 0.099010415
180.0, 0.10347879
190.0, 0.10769129
200.0, 0.11167429
210.0, 0.11545025
220.0, 0.119038545
230.0, 0.12245585
240.0, 0.12571679
250.0, 0.12883416
260.0, 0.13181919
270.0, 0.13468194
280.0, 0.13743125
290.0, 0.14007513
300.0, 0.14262071
310.0, 0.14507444
320.0, 0.14744215
330.0, 0.14972913
340.0, 0.15194023
350.0, 0.15407975
360.0, 0.15615185
370.0, 0.15816012
380.0, 0.160108
390.0, 0.16199863
400.0, 0.1638349
410.0, 0.16561948
420.0, 0.16735487
430.0, 0.16904339
440.0, 0.17068718
450.0, 0.17228827
460.0, 0.1738485
470.0, 0.17536962
480.0, 0.17685334
490.0, 0.17830117
500.0, 0.17971455
510.0, 0.18109483
520.0, 0.1824433
530.0, 0.18376122
540.0, 0.18504968
550.0, 0.1863098
560.0, 0.18754257
570.0, 0.18874897
580.0, 0.18992995
590.0, 0.1910863
600.0, 0.19221893
610.0, 0.19332862
620.0, 0.19441606
630.0, 0.19548205
640.0, 0.19652717
650.0, 0.19755211
660.0, 0.19855753
670.0, 0.19954397
680.0, 0.20051202
690.0, 0.20146222
700.0, 0.2023951
710.0, 0.20331107
720.0, 0.20421073
730.0, 0.20509446
740.0, 0.20596272
750.0, 0.20681588
760.0, 0.20765439
770.0, 0.20847866
780.0, 0.20928901
790.0, 0.21008582
800.0, 0.21086946
810.0, 0.21164022
820.0, 0.2123984
830.0, 0.21314439
840.0, 0.21387842
850.0, 0.21460079
860.0, 0.21531181
870.0, 0.21601169
880.0, 0.21670075
890.0, 0.21737915
900.0, 0.21804725
910.0, 0.21870519
920.0, 0.21935326
930.0, 0.21999161
940.0, 0.22062048
950.0, 0.2212401
960.0, 0.22185066
970.0, 0.22245234
980.0, 0.22304533
990.0, 0.2236298
1000.0, 0.22420594
1010.0, 0.22404109
1020.0, 0.22387655
1030.0, 0.22371235
