Time (s), esn 2 average surface potential (V), esn 2 ground potential (V), esn 2 min surface potential (V), esn 2 max surface potential (V)
25.700144, -650.40753, -837.04, -702.45337, -619.8525
46.77397, -1879.3381, -2356.379, -1930.896, -1857.1458
67.848526, -1804.472, -2595.5852, -1884.5837, -1736.7471
87.99266, -2231.6836, -3144.3496, -2482.79, -2153.2576
113.2763, -2588.5264, -3706.8384, -2856.2815, -2499.541
142.87262, -3079.9119, -4420.4575, -3522.7207, -2924.6118
163.14868, -3452.725, -4947.439, -3843.57, -3273.2747
185.69318, -3655.0276, -5295.7266, -4034.1218, -3488.299
209.74063, -3619.3313, -5488.551, -4130.419, -3415.6018
233.87848, -4131.438, -6072.9424, -4647.3643, -3910.3022
258.01846, -4105.5864, -6252.6943, -4787.2944, -3825.869
295.9383, -4467.005, -6720.356, -5126.1426, -4203.9365
333.8599, -4425.2134, -6955.731, -5252.2124, -4081.0103
357.7538, -5117.645, -7671.779, -5603.81, -4869.7114
386.93024, -5266.561, -7948.882, -5863.035, -4986.632
425.83218, -5239.4106, -8116.1836, -5928.7476, -4910.247
503.63602, -5207.662, -8385.809, -5912.944, -4823.108
524.0031, -5772.653, -8940.701, -6463.872, -5434.344
549.57434, -5930.065, -9144.9375, -6824.8496, -5580.77
583.6693, -5907.7607, -9227.588, -6903.3286, -5497.441
651.8592, -5882.7656, -9420.433, -6842.363, -5459.314
676.5516, -6245.8994, -9793.521, -7033.1665, -5878.504
701.12225, -6233.1353, -9855.55, -7172.75, -5839.5645
750.2636, -6217.961, -9935.184, -7236.128, -5753.081
772.10223, -6433.1616, -10148.827, -7319.3965, -6038.23
793.94385, -6421.7324, -10181.693, -7421.431, -5986.956
837.6271, -6414.7236, -10258.183, -7385.1094, -5970.7314
860.9017, -6596.8413, -10438.063, -7417.989, -6188.1924
884.17773, -6584.927, -10460.468, -7518.278, -6152.371
930.72986, -6579.3594, -10536.534, -7523.639, -6143.108
1000.0, -6568.7603, -10648.694, -7537.3154, -6081.0293
1020.82025, -6509.774, -10587.818, -6976.784, -6112.5386
1041.5873, -5781.8594, -9836.331, -6096.5845, -5443.4185
1062.55, -5177.0483, -9129.1875, -5403.411, -4897.4297
1100.9501, -4960.9663, -8539.421, -5210.118, -4595.9956
1141.91, -4969.0522, -8003.716, -5283.116, -4587.998
1162.573, -4179.5977, -7164.118, -4415.2847, -3912.415
1188.6028, -3977.3228, -6805.909, -4235.8755, -3667.9856
1227.7349, -3868.7444, -6462.456, -4177.0024, -3570.656
1251.0522, -3521.3774, -6011.3115, -3758.498, -3262.4844
1272.8507, -3513.1604, -5857.3613, -3810.821, -3228.3406
1300.6718, -3322.6597, -5610.632, -3587.2935, -3055.1135
1327.6724, -3156.8088, -5359.652, -3411.434, -2915.621
1363.4845, -3048.2263, -5153.6562, -3330.7925, -2825.1926
1397.6066, -3045.9763, -5019.682, -3338.3574, -2819.2236
1419.1829, -2940.0352, -4894.503, -3234.571, -2712.9534
1441.0295, -2884.8923, -4821.023, -3177.5137, -2646.5857
1474.5421, -2766.851, -4663.6694, -3035.9048, -2559.6587
1512.842, -2767.1501, -4580.317, -3039.0762, -2557.1516
1536.183, -2612.8389, -4415.671, -2844.0078, -2422.9368
1595.8295, -2603.1665, -4414.289, -2849.8394, -2421.8157
1624.7104, -2558.839, -4362.8237, -2811.2983, -2366.8386
1647.3024, -2554.081, -4316.861, -2813.2922, -2383.2053
1692.4862, -2554.3347, -4272.1113, -2808.2778, -2387.6829
1782.854, -2554.4934, -4257.6484, -2802.4395, -2387.2217
1882.854, -2554.7102, -4231.689, -2804.5867, -2387.474
1917.7123, -2497.4985, -4169.375, -2756.9492, -2300.1387
1952.592, -2496.683, -4193.8345, -2772.8208, -2301.4773
1981.6946, -2426.785, -4122.617, -2696.8462, -2261.5469
