Energy (in eV), SEEP yield of material CERS-withBUCT at isotropic incidence
   X,       Y
53400.0, 2.8994896
53600.0, 2.9028845
53800.0, 2.906264
54000.0, 2.9096289
54200.0, 2.9129794
54400.0, 2.9163148
54600.0, 2.9196358
54800.0, 2.9229422
55000.0, 2.9262342
55200.0, 2.9295127
55400.0, 2.9327755
55600.0, 2.9360251
55800.0, 2.9392607
56000.0, 2.9424818
56200.0, 2.9456892
56400.0, 2.9488833
56600.0, 2.952063
56800.0, 2.955229
57000.0, 2.9583812
57200.0, 2.961521
57400.0, 2.9646463
57600.0, 2.9677584
57800.0, 2.9708579
58000.0, 2.9739435
58200.0, 2.9770157
58400.0, 2.9800756
58600.0, 2.983122
58800.0, 2.9861557
59000.0, 2.9891768
59200.0, 2.9921849
59400.0, 2.99518
59600.0, 2.9981623
59800.0, 3.0011322
60000.0, 3.0040898
60200.0, 3.0070353
60400.0, 3.0099676
60600.0, 3.012888
60800.0, 3.0157964
61000.0, 3.0186923
61200.0, 3.021576
61400.0, 3.024448
61600.0, 3.0273077
61800.0, 3.030156
62000.0, 3.0329916
62200.0, 3.035816
62400.0, 3.0386286
62600.0, 3.0414298
62800.0, 3.044219
63000.0, 3.046996
63200.0, 3.0497627
63400.0, 3.0525177
63600.0, 3.055261
63800.0, 3.0579934
64000.0, 3.0607138
64200.0, 3.0634234
64400.0, 3.0661225
64600.0, 3.0688102
64800.0, 3.0714865
65000.0, 3.074152
65200.0, 3.076807
65400.0, 3.0794506
65600.0, 3.0820835
65800.0, 3.0847056
66000.0, 3.0873175
66200.0, 3.0899184
66400.0, 3.0925083
66600.0, 3.0950885
66800.0, 3.0976577
67000.0, 3.1002169
67200.0, 3.102765
67400.0, 3.1053033
67600.0, 3.1078315
67800.0, 3.110349
68000.0, 3.1128566
68200.0, 3.1153545
68400.0, 3.1178415
68600.0, 3.1203194
68800.0, 3.1227868
69000.0, 3.1252444
69200.0, 3.1276917
69400.0, 3.13013
69600.0, 3.1325579
