Energy (in eV), backscattering yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
2730.0, 0.287395
2740.0, 0.28725386
2750.0, 0.28711295
2760.0, 0.28697228
2770.0, 0.2868319
2780.0, 0.2866917
2790.0, 0.28655174
2800.0, 0.28641203
2810.0, 0.28627256
2820.0, 0.2861333
2830.0, 0.2859943
2840.0, 0.28585553
2850.0, 0.285717
2860.0, 0.2855787
2870.0, 0.28544062
2880.0, 0.28530282
2890.0, 0.2851652
2900.0, 0.2850278
2910.0, 0.28489068
2920.0, 0.28475377
2930.0, 0.28461713
2940.0, 0.28448066
2950.0, 0.28434446
2960.0, 0.2842085
2970.0, 0.28407276
2980.0, 0.28393725
2990.0, 0.28380197
3000.0, 0.2836669
3010.0, 0.28353208
3020.0, 0.2833975
3030.0, 0.28326312
3040.0, 0.28312898
3050.0, 0.28299507
3060.0, 0.28286138
3070.0, 0.28272793
3080.0, 0.28259468
3090.0, 0.28246167
3100.0, 0.2823289
3110.0, 0.28219634
3120.0, 0.28206402
3130.0, 0.2819319
3140.0, 0.28180003
3150.0, 0.28166837
3160.0, 0.28153697
3170.0, 0.28140575
3180.0, 0.28127477
3190.0, 0.28114402
3200.0, 0.28101346
3210.0, 0.28088316
3220.0, 0.28075308
3230.0, 0.2806232
3240.0, 0.28049356
3250.0, 0.28036413
3260.0, 0.2802349
3270.0, 0.28010592
3280.0, 0.27997714
3290.0, 0.2798486
3300.0, 0.2797203
3310.0, 0.27959216
3320.0, 0.27946427
3330.0, 0.27933663
3340.0, 0.27920917
3350.0, 0.27908194
3360.0, 0.2789549
3370.0, 0.2788281
3380.0, 0.2787015
3390.0, 0.27857512
3400.0, 0.278449
3410.0, 0.27832305
3420.0, 0.27819732
3430.0, 0.2780718
3440.0, 0.2779465
3450.0, 0.27782145
3460.0, 0.27769658
3470.0, 0.27757192
3480.0, 0.2774475
3490.0, 0.27732325
3500.0, 0.27719924
3510.0, 0.27707547
3520.0, 0.27695185
3530.0, 0.2768285
3540.0, 0.27670532
3550.0, 0.27658236
3560.0, 0.27645963
3570.0, 0.2763371
3580.0, 0.27621475
3590.0, 0.27609265
3600.0, 0.27597073
3610.0, 0.27584904
3620.0, 0.27572754
3630.0, 0.27560627
3640.0, 0.27548522
3650.0, 0.27536437
3660.0, 0.2752437
3670.0, 0.27512324
3680.0, 0.27500302
3690.0, 0.27488297
3700.0, 0.27476317
3710.0, 0.27464354
3720.0, 0.27452412
3730.0, 0.2744049
3740.0, 0.2742859
3750.0, 0.2741671
3760.0, 0.2740485
3770.0, 0.2739301
3780.0, 0.2738119
3790.0, 0.27369392
3800.0, 0.27357614
3810.0, 0.27345857
3820.0, 0.27334118
3830.0, 0.27322403
3840.0, 0.27310705
3850.0, 0.27299026
3860.0, 0.2728737
3870.0, 0.27275732
3880.0, 0.27264115
3890.0, 0.2725252
3900.0, 0.2724094
3910.0, 0.27229384
3920.0, 0.27217847
3930.0, 0.2720633
3940.0, 0.2719483
3950.0, 0.27183357
3960.0, 0.27171898
3970.0, 0.27160457
3980.0, 0.27149042
3990.0, 0.27137643
4000.0, 0.27126265
4010.0, 0.27114904
4020.0, 0.27103564
4030.0, 0.27092245
4040.0, 0.27080947
4050.0, 0.27069664
4060.0, 0.27058402
4070.0, 0.27047163
