Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 40.0 degree
   X,       Y
2730.0, 0.20628276
2740.0, 0.20613918
2750.0, 0.20599583
2760.0, 0.20585275
2770.0, 0.20570992
2780.0, 0.20556736
2790.0, 0.20542504
2800.0, 0.20528297
2810.0, 0.20514117
2820.0, 0.20499961
2830.0, 0.2048583
2840.0, 0.20471726
2850.0, 0.20457646
2860.0, 0.20443591
2870.0, 0.20429562
2880.0, 0.20415558
2890.0, 0.20401578
2900.0, 0.20387624
2910.0, 0.20373695
2920.0, 0.2035979
2930.0, 0.20345911
2940.0, 0.20332056
2950.0, 0.20318227
2960.0, 0.20304422
2970.0, 0.2029064
2980.0, 0.20276885
2990.0, 0.20263155
3000.0, 0.20249447
3010.0, 0.20235766
3020.0, 0.20222108
3030.0, 0.20208476
3040.0, 0.20194867
3050.0, 0.20181283
3060.0, 0.20167723
3070.0, 0.20154189
3080.0, 0.20140678
3090.0, 0.2012719
3100.0, 0.20113727
3110.0, 0.2010029
3120.0, 0.20086876
3130.0, 0.20073485
3140.0, 0.20060119
3150.0, 0.20046777
3160.0, 0.20033458
3170.0, 0.20020163
3180.0, 0.20006894
3190.0, 0.19993646
3200.0, 0.19980423
3210.0, 0.19967224
3220.0, 0.1995405
3230.0, 0.19940898
3240.0, 0.1992777
3250.0, 0.19914664
3260.0, 0.19901584
3270.0, 0.19888526
3280.0, 0.19875492
3290.0, 0.19862482
3300.0, 0.19849494
3310.0, 0.1983653
3320.0, 0.19823591
3330.0, 0.19810674
3340.0, 0.1979778
3350.0, 0.1978491
3360.0, 0.19772062
3370.0, 0.19759236
3380.0, 0.19746436
3390.0, 0.19733657
3400.0, 0.19720902
3410.0, 0.1970817
3420.0, 0.19695461
3430.0, 0.19682774
3440.0, 0.19670111
3450.0, 0.19657469
3460.0, 0.19644852
3470.0, 0.19632256
3480.0, 0.19619684
3490.0, 0.19607134
3500.0, 0.19594605
3510.0, 0.19582102
3520.0, 0.19569619
3530.0, 0.1955716
3540.0, 0.19544724
3550.0, 0.19532308
3560.0, 0.19519916
3570.0, 0.19507547
3580.0, 0.19495198
3590.0, 0.19482873
3600.0, 0.1947057
3610.0, 0.19458288
3620.0, 0.1944603
3630.0, 0.19433793
3640.0, 0.19421579
3650.0, 0.19409387
3660.0, 0.19397217
3670.0, 0.19385068
3680.0, 0.19372942
3690.0, 0.19360837
3700.0, 0.19348755
3710.0, 0.19336694
3720.0, 0.19324654
3730.0, 0.19312638
3740.0, 0.19300643
3750.0, 0.1928867
3760.0, 0.19276717
3770.0, 0.19264786
3780.0, 0.19252877
3790.0, 0.1924099
3800.0, 0.19229124
3810.0, 0.1921728
3820.0, 0.19205457
3830.0, 0.19193655
3840.0, 0.19181876
3850.0, 0.19170116
3860.0, 0.1915838
3870.0, 0.19146663
3880.0, 0.19134967
3890.0, 0.19123293
3900.0, 0.19111642
3910.0, 0.1910001
3920.0, 0.190884
3930.0, 0.1907681
3940.0, 0.19065242
3950.0, 0.19053695
3960.0, 0.19042167
3970.0, 0.19030662
3980.0, 0.19019178
3990.0, 0.19007713
4000.0, 0.18996271
4010.0, 0.18984848
4020.0, 0.18973447
4030.0, 0.18962066
4040.0, 0.18950705
4050.0, 0.18939365
4060.0, 0.18928047
4070.0, 0.18916748
4080.0, 0.18905471
4090.0, 0.18894212
4100.0, 0.18882976
4110.0, 0.18871759
4120.0, 0.18860564
4130.0, 0.18849388
4140.0, 0.18838233
4150.0, 0.18827097
4160.0, 0.18815981
4170.0, 0.18804887
4180.0, 0.18793812
4190.0, 0.18782757
4200.0, 0.18771723
4210.0, 0.1876071
4220.0, 0.18749714
4230.0, 0.1873874
4240.0, 0.18727785
4250.0, 0.18716851
4260.0, 0.18705937
4270.0, 0.18695043
4280.0, 0.18684167
4290.0, 0.18673313
4300.0, 0.18662478
4310.0, 0.18651661
4320.0, 0.18640867
4330.0, 0.18630089
4340.0, 0.18619333
4350.0, 0.18608597
4360.0, 0.18597879
4370.0, 0.18587181
4380.0, 0.18576503
4390.0, 0.18565844
4400.0, 0.18555205
4410.0, 0.18544585
4420.0, 0.18533984
4430.0, 0.18523403
4440.0, 0.1851284
4450.0, 0.18502298
4460.0, 0.18491775
4470.0, 0.18481271
4480.0, 0.18470785
4490.0, 0.1846032
4500.0, 0.18449873
4510.0, 0.18439445
4520.0, 0.18429036
4530.0, 0.18418646
4540.0, 0.18408275
4550.0, 0.18397923
4560.0, 0.1838759
4570.0, 0.18377276
4580.0, 0.1836698
4590.0, 0.18356705
4600.0, 0.18346447
4610.0, 0.18336208
4620.0, 0.18325989
4630.0, 0.18315786
4640.0, 0.18305603
4650.0, 0.1829544
4660.0, 0.18285294
4670.0, 0.18275167
4680.0, 0.18265058
4690.0, 0.18254969
4700.0, 0.18244897
4710.0, 0.18234843
4720.0, 0.18224809
4730.0, 0.18214792
4740.0, 0.18204793
4750.0, 0.18194814
4760.0, 0.18184853
4770.0, 0.1817491
4780.0, 0.18164985
4790.0, 0.18155077
4800.0, 0.1814519
4810.0, 0.1813532
4820.0, 0.18125466
4830.0, 0.18115631
4840.0, 0.18105815
4850.0, 0.18096018
4860.0, 0.18086237
4870.0, 0.18076473
4880.0, 0.1806673
4890.0, 0.18057002
4900.0, 0.18047294
4910.0, 0.18037602
4920.0, 0.18027928
4930.0, 0.18018274
4940.0, 0.18008636
4950.0, 0.17999016
4960.0, 0.17989413
4970.0, 0.17979828
4980.0, 0.1797026
4990.0, 0.17960711
5000.0, 0.17951179
5010.0, 0.17941664
5020.0, 0.17932168
5030.0, 0.17922688
5040.0, 0.17913224
5050.0, 0.1790378
5060.0, 0.17894353
5070.0, 0.17884941
5080.0, 0.17875549
5090.0, 0.17866173
5100.0, 0.17856814
5110.0, 0.17847474
5120.0, 0.17838149
5130.0, 0.17828842
5140.0, 0.17819552
5150.0, 0.17810279
5160.0, 0.17801024
5170.0, 0.17791784
5180.0, 0.17782563
5190.0, 0.17773359
5200.0, 0.1776417
5210.0, 0.17754999
5220.0, 0.17745845
5230.0, 0.17736708
5240.0, 0.17727588
5250.0, 0.17718484
5260.0, 0.17709397
5270.0, 0.17700328
5280.0, 0.17691274
5290.0, 0.17682238
5300.0, 0.17673217
5310.0, 0.17664215
5320.0, 0.17655227
5330.0, 0.17646258
5340.0, 0.17637303
5350.0, 0.17628366
5360.0, 0.17619444
5370.0, 0.17610541
5380.0, 0.17601654
5390.0, 0.17592782
5400.0, 0.17583926
5410.0, 0.17575087
5420.0, 0.17566265
5430.0, 0.17557459
5440.0, 0.1754867
5450.0, 0.17539896
5460.0, 0.17531137
5470.0, 0.17522396
