Energy (in eV), SEEP yield of material CFRP-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 4.5602145
400.0, 9.301631
600.0, 14.000399
800.0, 19.169167
1000.0, 23.652922
1200.0, 28.336475
1400.0, 33.219574
1600.0, 38.298122
1800.0, 42.064194
2000.0, 47.437317
2200.0, 51.33615
2400.0, 56.995068
2600.0, 61.031155
2800.0, 65.103195
3000.0, 71.13571
3200.0, 75.34509
3400.0, 79.59255
3600.0, 83.878845
3800.0, 90.35581
4000.0, 94.77376
4200.0, 99.22988
4400.0, 103.7243
4600.0, 108.25695
4800.0, 112.827705
5000.0, 117.43638
5200.0, 122.08271
5400.0, 126.76642
5600.0, 131.48715
5800.0, 136.24455
6000.0, 141.03821
6200.0, 145.8678
6400.0, 150.73279
6600.0, 155.63281
6800.0, 160.56746
7000.0, 165.53624
7200.0, 170.53876
7400.0, 175.57455
7600.0, 177.68181
7800.0, 182.7483
8000.0, 187.84735
8200.0, 192.97849
8400.0, 198.14127
8600.0, 203.33522
8800.0, 208.5599
9000.0, 210.62366
9200.0, 215.87776
9400.0, 221.16179
9600.0, 226.47533
9800.0, 231.8179
10000.0, 237.18915
10200.0, 239.2193
10400.0, 244.61844
10600.0, 250.04538
10800.0, 255.49976
11000.0, 257.5014
11200.0, 262.98285
11400.0, 268.49078
11600.0, 274.02496
11800.0, 279.58508
12000.0, 281.5609
12200.0, 287.14658
12400.0, 292.75735
12600.0, 298.39285
12800.0, 300.34473
13000.0, 306.00482
13200.0, 311.68884
13400.0, 317.39658
13600.0, 319.32608
13800.0, 325.0573
14000.0, 330.8115
14200.0, 332.71948
14400.0, 338.4966
14600.0, 344.29596
14800.0, 350.11725
15000.0, 352.005
15200.0, 357.84818
15400.0, 363.71262
15600.0, 365.5806
15800.0, 371.46634
16000.0, 377.37265
16200.0, 383.29926
16400.0, 385.14862
16600.0, 391.09555
16800.0, 397.06223
17000.0, 398.8931
17200.0, 404.87943
17400.0, 410.88486
17600.0, 412.69794
17800.0, 418.72256
18000.0, 424.7655
18200.0, 430.8268
18400.0, 432.62277
18600.0, 438.70233
18800.0, 444.79944
19000.0, 446.57843
19200.0, 452.6933
19400.0, 458.8253
19600.0, 460.5877
19800.0, 466.7367
20000.0, 472.9024
20200.0, 474.64862
20400.0, 480.83078
20600.0, 487.02914
