Time (s), esn 1 net current (A), esn 1 collected current (A), esn 1 emitted current (A)
25.700144, -1.6518921E-4, -3.518188E-4, -1.866296E-4
46.77397, -1.4736E-4, -3.261928E-4, -1.7883281E-4
67.848526, -1.4576831E-4, -3.2311724E-4, -1.7734893E-4
87.99266, -1.3497585E-4, -3.141824E-4, -1.7920654E-4
113.2763, -1.3244317E-4, -3.1074462E-4, -1.7830146E-4
142.87262, -1.2239162E-4, -3.0080506E-4, -1.7841345E-4
163.14868, -1.10760644E-4, -2.8997214E-4, -1.7921149E-4
185.69318, -1.0617141E-4, -2.8501268E-4, -1.7884128E-4
209.74063, -1.0470289E-4, -2.8400746E-4, -1.7930457E-4
233.87848, -9.62719E-5, -2.7545475E-4, -1.7918284E-4
258.01846, -9.309512E-5, -2.739443E-4, -1.8084917E-4
295.9383, -8.843348E-5, -2.6965077E-4, -1.8121728E-4
333.8599, -8.6566215E-5, -2.6778053E-4, -1.8121432E-4
357.7538, -7.558226E-5, -2.5819725E-4, -1.8261501E-4
386.93024, -6.905944E-5, -2.5209086E-4, -1.8303141E-4
425.83218, -6.8584064E-5, -2.5110965E-4, -1.8252559E-4
503.63602, -6.5788394E-5, -2.4978627E-4, -1.8399788E-4
524.0031, -5.7135792E-5, -2.4201052E-4, -1.8487472E-4
549.57434, -5.1780982E-5, -2.3788337E-4, -1.8610239E-4
583.6693, -5.1122523E-5, -2.3771972E-4, -1.865972E-4
651.8592, -5.094205E-5, -2.3640717E-4, -1.8546512E-4
676.5516, -4.3876906E-5, -2.3062085E-4, -1.8674394E-4
701.12225, -4.1006904E-5, -2.298071E-4, -1.888002E-4
750.2636, -4.1802705E-5, -2.295784E-4, -1.877757E-4
772.10223, -3.8715774E-5, -2.2668079E-4, -1.8796502E-4
793.94385, -3.9715494E-5, -2.2612911E-4, -1.8641361E-4
837.6271, -3.812104E-5, -2.2634958E-4, -1.8822854E-4
860.9017, -3.4552642E-5, -2.2439357E-4, -1.8984092E-4
884.17773, -3.331958E-5, -2.2293389E-4, -1.8961431E-4
930.72986, -3.8769213E-5, -2.2804554E-4, -1.8927632E-4
1000.0, -3.7385966E-5, -2.2856164E-4, -1.9117567E-4
1020.82025, -3.4071632E-5, -2.240015E-4, -1.8992987E-4
1041.5873, -4.3460364E-5, -2.314448E-4, -1.8798445E-4
1062.55, -5.3557473E-5, -2.3979277E-4, -1.8623531E-4
1100.9501, -6.0253788E-5, -2.4566232E-4, -1.8540854E-4
1141.91, -6.1549115E-5, -2.463369E-4, -1.8478777E-4
1162.573, -7.861193E-5, -2.6125473E-4, -1.826428E-4
1188.6028, -8.643373E-5, -2.6744473E-4, -1.81011E-4
1227.7349, -8.713059E-5, -2.6864302E-4, -1.8151244E-4
1251.0522, -9.500367E-5, -2.7531086E-4, -1.8030718E-4
1272.8507, -9.5470736E-5, -2.7618106E-4, -1.8071033E-4
1300.6718, -1.00516016E-4, -2.8055345E-4, -1.8003744E-4
1327.6724, -1.04582876E-4, -2.841708E-4, -1.7958792E-4
1363.4845, -1.067041E-4, -2.8665154E-4, -1.7994743E-4
1397.6066, -1.06776424E-4, -2.8766636E-4, -1.8088994E-4
1419.1829, -1.0953781E-4, -2.8986143E-4, -1.8032362E-4
1441.0295, -1.2316238E-4, -3.025002E-4, -1.7933785E-4
1474.5421, -1.1373513E-4, -2.9326882E-4, -1.7953369E-4
1512.842, -1.1353841E-4, -2.9315412E-4, -1.7961572E-4
1536.183, -1.1706179E-4, -2.9639844E-4, -1.7933665E-4
1595.8295, -1.238528E-4, -3.0317286E-4, -1.7932004E-4
1624.7104, -1.1728135E-4, -2.9684298E-4, -1.7956163E-4
1647.3024, -1.1738436E-4, -2.9735782E-4, -1.7997346E-4
1692.4862, -1.177511E-4, -2.97676E-4, -1.7992489E-4
1782.854, -1.18398166E-4, -2.9844866E-4, -1.800505E-4
1882.854, -1.1881068E-4, -2.9830457E-4, -1.7949389E-4
1917.7123, -1.1997995E-4, -2.997208E-4, -1.7974085E-4
1952.592, -1.2123227E-4, -2.9999626E-4, -1.7876399E-4
1981.6946, -1.2170153E-4, -3.017283E-4, -1.8002675E-4
