Time (s), esn 2 surface potential difference wrt to esn ground(V)
25.700144, 186.63245
46.77397, 477.04068
67.848526, 791.11316
87.99266, 912.666
113.2763, 1118.3121
142.87262, 1340.5454
163.14868, 1494.7137
185.69318, 1640.699
209.74063, 1869.2195
233.87848, 1941.5044
258.01846, 2147.108
295.9383, 2253.351
333.8599, 2530.5176
357.7538, 2554.1338
386.93024, 2682.3206
425.83218, 2876.773
503.63602, 3178.1465
524.0031, 3168.048
549.57434, 3214.8728
583.6693, 3319.8271
651.8592, 3537.667
676.5516, 3547.622
701.12225, 3622.4146
750.2636, 3717.2227
772.10223, 3715.6658
793.94385, 3759.961
837.6271, 3843.459
860.9017, 3841.2222
884.17773, 3875.541
930.72986, 3957.1748
1000.0, 4079.934
1020.82025, 4078.0444
1041.5873, 4054.472
1062.55, 3952.139
1100.9501, 3578.4546
1141.91, 3034.6636
1162.573, 2984.5205
1188.6028, 2828.5867
1227.7349, 2593.7117
1251.0522, 2489.934
1272.8507, 2344.201
1300.6718, 2287.9722
1327.6724, 2202.843
1363.4845, 2105.4297
1397.6066, 1973.7058
1419.1829, 1954.468
1441.0295, 1936.1305
1474.5421, 1896.8185
1512.842, 1813.1667
1536.183, 1802.832
1595.8295, 1811.1224
1624.7104, 1803.9846
1647.3024, 1762.7798
1692.4862, 1717.7766
1782.854, 1703.155
1882.854, 1676.9788
1917.7123, 1671.8763
1952.592, 1697.1514
1981.6946, 1695.8324
