Time (s), esn 0 surface potential difference wrt to esn ground(V)
25.700144, -3.293863E-4
46.77397, 4.1889062E-4
67.848526, -0.0012207031
87.99266, -9.5898623E-4
113.2763, -1.1238219E-4
142.87262, -0.0017944927
163.14868, -7.3496514E-4
185.69318, -0.0024414062
209.74063, 0.0
233.87848, -0.0016688614
258.01846, -9.765625E-4
295.9383, -8.316205E-4
333.8599, 0.0014648438
357.7538, -0.0012763663
386.93024, -0.0022786458
425.83218, 9.765625E-4
503.63602, -9.765625E-4
524.0031, -0.005625286
549.57434, -0.0045572915
583.6693, -0.0087890625
651.8592, -0.01171875
676.5516, -0.0019734562
701.12225, 0.001953125
750.2636, -0.0068359375
772.10223, 7.017317E-4
793.94385, -0.00390625
837.6271, 0.0029296875
860.9017, -0.007049694
884.17773, 0.001953125
930.72986, 0.001953125
1000.0, -0.001953125
1020.82025, -0.0030947598
1041.5873, -0.0017002658
1062.55, -3.6065877E-4
1100.9501, -0.0037109375
1141.91, -0.0034179688
1162.573, -3.5674812E-4
1188.6028, -0.0033466767
1227.7349, 0.0
1251.0522, -0.0019919632
1272.8507, -9.765625E-4
1300.6718, 9.636322E-4
1327.6724, 0.0015566754
1363.4845, 0.0013077472
1397.6066, 0.001953125
1419.1829, -0.0010568578
1441.0295, -0.0017926983
1474.5421, -0.0036969867
1512.842, 0.001953125
1536.183, 4.992509E-4
1595.8295, -1.6276042E-4
1624.7104, -0.0028070977
1647.3024, -0.0048828125
1692.4862, -0.0034179688
1782.854, -0.0034179688
1882.854, 9.765625E-4
1917.7123, 5.478596E-4
1952.592, 0.00390625
1981.6946, -4.3914586E-4
