Energy (in eV), SEEP yield of material CFRP-NASCAP at incidence 0.0 degree
   X,       Y
53400.0, 2.1786056
53600.0, 2.1803672
53800.0, 2.1821175
54000.0, 2.1838562
54200.0, 2.1855838
54400.0, 2.1873002
54600.0, 2.1890056
54800.0, 2.1907003
55000.0, 2.1923845
55200.0, 2.1940575
55400.0, 2.1957197
55600.0, 2.1973712
55800.0, 2.1990123
56000.0, 2.2006428
56200.0, 2.202263
56400.0, 2.2038732
56600.0, 2.2054727
56800.0, 2.2070618
57000.0, 2.208641
57200.0, 2.21021
57400.0, 2.2117693
57600.0, 2.2133183
57800.0, 2.2148578
58000.0, 2.216387
58200.0, 2.2179067
58400.0, 2.2194169
58600.0, 2.2209175
58800.0, 2.222408
59000.0, 2.2238898
59200.0, 2.2253616
59400.0, 2.226824
59600.0, 2.228277
59800.0, 2.2297213
60000.0, 2.231156
60200.0, 2.2325819
60400.0, 2.2339983
60600.0, 2.235406
60800.0, 2.2368047
61000.0, 2.2381942
61200.0, 2.2395751
61400.0, 2.2409472
61600.0, 2.2423108
61800.0, 2.2436655
62000.0, 2.2450116
62200.0, 2.246349
62400.0, 2.2476778
62600.0, 2.2489984
62800.0, 2.2503107
63000.0, 2.2516143
63200.0, 2.25291
63400.0, 2.2541974
63600.0, 2.2554762
63800.0, 2.256747
64000.0, 2.25801
64200.0, 2.2592647
64400.0, 2.2605116
64600.0, 2.2617505
64800.0, 2.2629812
65000.0, 2.2642045
65200.0, 2.2654195
65400.0, 2.266627
65600.0, 2.2678273
65800.0, 2.2690194
66000.0, 2.2702038
66200.0, 2.271381
66400.0, 2.2725503
66600.0, 2.2737124
66800.0, 2.274867
67000.0, 2.2760143
67200.0, 2.2771542
67400.0, 2.278287
67600.0, 2.279412
67800.0, 2.2805302
68000.0, 2.2816412
68200.0, 2.2827454
68400.0, 2.2838418
68600.0, 2.2849317
68800.0, 2.2860146
69000.0, 2.2870903
69200.0, 2.2881591
69400.0, 2.2892215
69600.0, 2.2902765
