Energy (in eV), SEEE yield of material CFRP-NASCAP at incidence 90.0 degree
   X,       Y
2750.0, 1.208832
2760.0, 1.2063361
2770.0, 1.2038517
2780.0, 1.2013786
2790.0, 1.1989167
2800.0, 1.1964658
2810.0, 1.1940262
2820.0, 1.1915975
2830.0, 1.1891797
2840.0, 1.1867728
2850.0, 1.1843764
2860.0, 1.1819909
2870.0, 1.1796161
2880.0, 1.1772517
2890.0, 1.1748977
2900.0, 1.172554
2910.0, 1.1702209
2920.0, 1.1678979
2930.0, 1.165585
2940.0, 1.1632823
2950.0, 1.1609895
2960.0, 1.1587069
2970.0, 1.156434
2980.0, 1.154171
2990.0, 1.1519177
3000.0, 1.1496742
