Energy (in eV), backscattering yield of material alox-reduced-PEY at incidence 20.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.018553536
70.0, 0.032972194
80.0, 0.045102958
90.0, 0.055606537
100.0, 0.06487434
110.0, 0.07316636
120.0, 0.0806664
130.0, 0.08750994
140.0, 0.09380005
150.0, 0.09961708
160.0, 0.10502492
170.0, 0.11007529
180.0, 0.11481062
190.0, 0.11926621
200.0, 0.123471715
210.0, 0.12745227
220.0, 0.13122946
230.0, 0.13482182
240.0, 0.13824552
250.0, 0.14151467
260.0, 0.14464165
270.0, 0.14763749
280.0, 0.15051186
290.0, 0.15327354
300.0, 0.15593025
310.0, 0.15848908
320.0, 0.16095631
330.0, 0.1633377
340.0, 0.16563848
350.0, 0.16786334
360.0, 0.1700167
370.0, 0.17210253
380.0, 0.17412443
390.0, 0.17608586
400.0, 0.17798989
410.0, 0.17983937
420.0, 0.181637
430.0, 0.18338527
440.0, 0.18508646
450.0, 0.18674271
460.0, 0.18835603
470.0, 0.1899283
480.0, 0.19146127
490.0, 0.1929566
500.0, 0.19441582
510.0, 0.19584034
520.0, 0.19723159
530.0, 0.19859084
540.0, 0.19991927
550.0, 0.20121807
560.0, 0.20248832
570.0, 0.20373099
580.0, 0.20494714
590.0, 0.2061376
600.0, 0.20730332
610.0, 0.2084451
620.0, 0.20956372
630.0, 0.21065998
640.0, 0.21173452
650.0, 0.21278808
660.0, 0.21382129
670.0, 0.2148348
680.0, 0.21582915
690.0, 0.216805
700.0, 0.21776281
710.0, 0.21870309
720.0, 0.21962643
730.0, 0.22053324
740.0, 0.221424
750.0, 0.22229911
760.0, 0.22315903
770.0, 0.22400418
780.0, 0.22483492
790.0, 0.22565164
800.0, 0.2264547
810.0, 0.22724445
820.0, 0.22802117
830.0, 0.22878529
840.0, 0.22953703
850.0, 0.2302767
860.0, 0.23100466
870.0, 0.2317211
880.0, 0.23242635
890.0, 0.2331206
900.0, 0.23380421
910.0, 0.23447733
920.0, 0.23514025
930.0, 0.23579316
940.0, 0.23643629
950.0, 0.23706986
960.0, 0.2376941
970.0, 0.23830917
980.0, 0.23891531
990.0, 0.23951264
1000.0, 0.2401014
1010.0, 0.23993294
1020.0, 0.2397648
1030.0, 0.239597
