Energy (in eV), SEEP yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
54200.0, 4.3464675
54400.0, 4.349953
54600.0, 4.353416
54800.0, 4.3568573
55000.0, 4.360276
55200.0, 4.363674
55400.0, 4.3670497
55600.0, 4.3704042
55800.0, 4.3737373
56000.0, 4.3770494
56200.0, 4.3803406
56400.0, 4.383611
56600.0, 4.38686
56800.0, 4.390089
57000.0, 4.3932967
57200.0, 4.396485
57400.0, 4.399654
57600.0, 4.402801
57800.0, 4.4059296
58000.0, 4.409038
58200.0, 4.412126
58400.0, 4.415195
58600.0, 4.4182453
58800.0, 4.421275
59000.0, 4.4242864
59200.0, 4.427279
59400.0, 4.430252
59600.0, 4.4332066
59800.0, 4.4361424
60000.0, 4.43906
60200.0, 4.441959
60400.0, 4.4448395
60600.0, 4.447702
60800.0, 4.4505463
61000.0, 4.4533734
61200.0, 4.4561815
61400.0, 4.4589725
61600.0, 4.4617457
61800.0, 4.4645023
62000.0, 4.467241
62200.0, 4.469961
62400.0, 4.4726653
62600.0, 4.4753523
62800.0, 4.4780226
63000.0, 4.480675
63200.0, 4.483312
63400.0, 4.4859324
63600.0, 4.4885354
63800.0, 4.4911222
64000.0, 4.4936924
64200.0, 4.4962473
64400.0, 4.4987855
64600.0, 4.501308
64800.0, 4.5038137
65000.0, 4.5063047
65200.0, 4.508779
65400.0, 4.5112386
65600.0, 4.513682
65800.0, 4.5161104
66000.0, 4.518523
66200.0, 4.5209203
66400.0, 4.5233026
66600.0, 4.52567
66800.0, 4.5280223
67000.0, 4.5303597
67200.0, 4.5326824
67400.0, 4.5349903
67600.0, 4.537283
67800.0, 4.539562
68000.0, 4.5418267
68200.0, 4.544077
68400.0, 4.546313
68600.0, 4.548534
68800.0, 4.5507407
69000.0, 4.5529346
69200.0, 4.555114
69400.0, 4.5572796
69600.0, 4.559432
69800.0, 4.56157
70000.0, 4.563694
70200.0, 4.565805
70400.0, 4.5679026
70600.0, 4.569987
70800.0, 4.5720577
71000.0, 4.5741153
71200.0, 4.576161
71400.0, 4.5781918
71600.0, 4.5802107
71800.0, 4.5822153
72000.0, 4.5842085
72200.0, 4.586189
72400.0, 4.5881557
72600.0, 4.5901103
72800.0, 4.592053
73000.0, 4.5939827
73200.0, 4.5959
73400.0, 4.5978045
73600.0, 4.5996976
