Energy (in eV), SEEE yield of material CERS-NASCAP at isotropic incidence
   X,       Y
2830.0, 5.926797
2840.0, 5.916786
2850.0, 5.9068103
2860.0, 5.8968673
2870.0, 5.8869553
2880.0, 5.877077
2890.0, 5.867231
2900.0, 5.857419
2910.0, 5.847638
2920.0, 5.8378897
2930.0, 5.828175
2940.0, 5.818493
2950.0, 5.8088417
2960.0, 5.7992234
2970.0, 5.7896376
2980.0, 5.7800837
2990.0, 5.770561
3000.0, 5.761072
3010.0, 5.751614
3020.0, 5.742188
3030.0, 5.732793
3040.0, 5.723429
3050.0, 5.714099
3060.0, 5.7047987
3070.0, 5.6955295
3080.0, 5.686293
3090.0, 5.6770873
3100.0, 5.667912
3110.0, 5.6587677
3120.0, 5.649655
3130.0, 5.640572
3140.0, 5.6315203
3150.0, 5.6225
3160.0, 5.6135097
3170.0, 5.6045494
3180.0, 5.5956197
3190.0, 5.5867205
3200.0, 5.57785
3210.0, 5.569011
3220.0, 5.560202
3230.0, 5.5514226
3240.0, 5.5426717
3250.0, 5.5339518
3260.0, 5.5252604
3270.0, 5.5165997
3280.0, 5.507967
3290.0, 5.499364
3300.0, 5.490789
3310.0, 5.482244
3320.0, 5.4737277
3330.0, 5.465239
3340.0, 5.456781
3350.0, 5.4483504
3360.0, 5.4399486
3370.0, 5.431575
3380.0, 5.4232287
3390.0, 5.4149113
3400.0, 5.406622
3410.0, 5.3983603
3420.0, 5.3901267
3430.0, 5.3819203
3440.0, 5.373742
3450.0, 5.3655906
3460.0, 5.3574667
3470.0, 5.3493695
3480.0, 5.341301
3490.0, 5.3332577
3500.0, 5.3252416
3510.0, 5.3172526
3520.0, 5.309291
3530.0, 5.301355
3540.0, 5.293446
3550.0, 5.2855625
3560.0, 5.277705
3570.0, 5.269876
3580.0, 5.26207
3590.0, 5.254291
3600.0, 5.2465386
3610.0, 5.238811
3620.0, 5.23111
3630.0, 5.2234335
3640.0, 5.215782
3650.0, 5.208157
3660.0, 5.2005563
3670.0, 5.192981
3680.0, 5.185431
3690.0, 5.1779056
3700.0, 5.1704035
3710.0, 5.162928
3720.0, 5.1554766
3730.0, 5.148049
3740.0, 5.140646
3750.0, 5.133267
3760.0, 5.125912
3770.0, 5.1185822
3780.0, 5.111275
3790.0, 5.103992
3800.0, 5.0967326
