Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 30.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.018918257
70.0, 0.032129098
80.0, 0.042870905
90.0, 0.05197912
100.0, 0.05989643
110.0, 0.066898644
120.0, 0.07317272
130.0, 0.07885236
140.0, 0.084036954
150.0, 0.08880259
160.0, 0.093208924
170.0, 0.097303644
180.0, 0.10112546
190.0, 0.10470628
200.0, 0.10807272
210.0, 0.111247204
220.0, 0.11424881
230.0, 0.1170939
240.0, 0.119796604
250.0, 0.12236927
260.0, 0.12482264
270.0, 0.12716623
280.0, 0.12940843
290.0, 0.13155676
300.0, 0.13361788
310.0, 0.13559777
320.0, 0.13750184
330.0, 0.13933496
340.0, 0.14110157
350.0, 0.14280568
360.0, 0.14445098
370.0, 0.1460408
380.0, 0.14757822
390.0, 0.1490661
400.0, 0.15050705
410.0, 0.15190344
420.0, 0.15325752
430.0, 0.15457137
440.0, 0.1558469
450.0, 0.15708588
460.0, 0.15829
470.0, 0.15946078
480.0, 0.16059972
490.0, 0.16170816
500.0, 0.16278738
510.0, 0.16383857
520.0, 0.16486284
530.0, 0.1658613
540.0, 0.16683489
550.0, 0.16778462
560.0, 0.16871132
570.0, 0.16961586
580.0, 0.17049907
590.0, 0.17136165
600.0, 0.17220435
610.0, 0.17302784
620.0, 0.17383276
630.0, 0.17461976
640.0, 0.1753894
650.0, 0.17614222
660.0, 0.17687878
670.0, 0.17759958
680.0, 0.17830509
690.0, 0.17899582
700.0, 0.17967215
710.0, 0.18033455
720.0, 0.18098341
730.0, 0.18161911
740.0, 0.18224204
750.0, 0.18285252
760.0, 0.18345092
770.0, 0.1840376
780.0, 0.18461281
790.0, 0.18517692
800.0, 0.18573017
810.0, 0.18627286
820.0, 0.18680526
830.0, 0.18732764
840.0, 0.18784024
850.0, 0.18834329
860.0, 0.18883707
870.0, 0.18932176
880.0, 0.1897976
890.0, 0.19026475
900.0, 0.19072351
910.0, 0.191174
920.0, 0.19161643
930.0, 0.19205098
940.0, 0.19247784
950.0, 0.19289716
960.0, 0.19330913
970.0, 0.19371389
980.0, 0.19411162
990.0, 0.19450246
1000.0, 0.19488654
1010.0, 0.19470407
1020.0, 0.19452195
1030.0, 0.19434017
