Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 80.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.45133057
70.0, 0.50189847
80.0, 0.53178096
90.0, 0.55272466
100.0, 0.5686627
110.0, 0.5814101
120.0, 0.59195524
130.0, 0.600895
140.0, 0.6086167
150.0, 0.6153854
160.0, 0.6213901
170.0, 0.62676996
180.0, 0.6316304
190.0, 0.63605285
200.0, 0.6401016
210.0, 0.6438281
220.0, 0.6472743
230.0, 0.6504746
240.0, 0.6534577
250.0, 0.6562476
260.0, 0.6588649
270.0, 0.6613269
280.0, 0.66364866
290.0, 0.66584325
300.0, 0.66792196
310.0, 0.66989475
320.0, 0.67177045
330.0, 0.6735567
340.0, 0.6752604
350.0, 0.6768878
360.0, 0.6784444
370.0, 0.67993504
380.0, 0.6813643
390.0, 0.68273616
400.0, 0.6840544
410.0, 0.6853223
420.0, 0.68654287
430.0, 0.687719
440.0, 0.68885314
450.0, 0.6899478
460.0, 0.69100493
470.0, 0.69202673
480.0, 0.69301504
490.0, 0.69397146
500.0, 0.69489765
510.0, 0.69579506
520.0, 0.6966651
530.0, 0.69750905
540.0, 0.69832814
550.0, 0.6991234
560.0, 0.699896
570.0, 0.70064676
580.0, 0.7013768
590.0, 0.7020868
600.0, 0.70277774
610.0, 0.7034503
620.0, 0.7041053
630.0, 0.7047433
640.0, 0.70536506
650.0, 0.70597106
660.0, 0.70656204
670.0, 0.7071384
680.0, 0.7077008
690.0, 0.7082496
700.0, 0.7087854
710.0, 0.7093086
720.0, 0.7098196
730.0, 0.7103188
740.0, 0.71080667
750.0, 0.71128345
760.0, 0.7117496
770.0, 0.7122054
780.0, 0.7126512
790.0, 0.7130873
800.0, 0.713514
810.0, 0.7139315
820.0, 0.7143402
830.0, 0.7147403
840.0, 0.715132
850.0, 0.7155156
860.0, 0.71589136
870.0, 0.7162594
880.0, 0.71662
890.0, 0.71697336
900.0, 0.71731967
910.0, 0.71765906
920.0, 0.71799177
930.0, 0.718318
940.0, 0.7186378
950.0, 0.71895146
960.0, 0.7192591
970.0, 0.7195608
980.0, 0.7198568
990.0, 0.7201472
1000.0, 0.7204321
1010.0, 0.7202968
1020.0, 0.7201616
1030.0, 0.7200267
