Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 10.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.010978463
70.0, 0.02004969
80.0, 0.027832536
90.0, 0.03464931
100.0, 0.040710986
110.0, 0.046165112
120.0, 0.05111938
130.0, 0.055654973
140.0, 0.05983465
150.0, 0.06370797
160.0, 0.06731477
170.0, 0.07068754
180.0, 0.073853165
190.0, 0.07683412
200.0, 0.079649396
210.0, 0.08231519
220.0, 0.08484544
230.0, 0.08725217
240.0, 0.08954591
250.0, 0.09173589
260.0, 0.09383022
270.0, 0.09583612
280.0, 0.09775999
290.0, 0.0996076
300.0, 0.101384096
310.0, 0.10309414
320.0, 0.10474194
330.0, 0.10633129
340.0, 0.10786569
350.0, 0.1093483
360.0, 0.11078204
370.0, 0.11216959
380.0, 0.11351337
390.0, 0.114815675
400.0, 0.1160786
410.0, 0.11730405
420.0, 0.11849386
430.0, 0.11964969
440.0, 0.1207731
450.0, 0.12186554
460.0, 0.12292836
470.0, 0.12396283
480.0, 0.12497015
490.0, 0.12595145
500.0, 0.12690777
510.0, 0.12784007
520.0, 0.1287493
530.0, 0.12963636
540.0, 0.13050203
550.0, 0.13134715
560.0, 0.13217242
570.0, 0.13297854
580.0, 0.13376623
590.0, 0.13453607
600.0, 0.13528867
610.0, 0.13602461
620.0, 0.13674441
630.0, 0.13744864
640.0, 0.13813773
650.0, 0.13881218
660.0, 0.13947244
670.0, 0.14011894
680.0, 0.14075209
690.0, 0.14137228
700.0, 0.14197989
710.0, 0.14257526
720.0, 0.14315878
730.0, 0.14373071
740.0, 0.14429145
750.0, 0.14484122
760.0, 0.14538035
770.0, 0.14590916
780.0, 0.14642787
790.0, 0.14693677
800.0, 0.14743608
810.0, 0.14792608
820.0, 0.14840695
830.0, 0.14887898
840.0, 0.14934233
850.0, 0.14979722
860.0, 0.15024388
870.0, 0.15068248
880.0, 0.15111323
890.0, 0.15153626
900.0, 0.1519518
910.0, 0.15236002
920.0, 0.15276104
930.0, 0.15315506
940.0, 0.1535422
950.0, 0.15392265
960.0, 0.15429652
970.0, 0.15466397
980.0, 0.15502512
990.0, 0.15538013
1000.0, 0.15572907
1010.0, 0.15556328
1020.0, 0.15539783
1030.0, 0.1552327
