Energy (in eV), SEEP yield of material ITOC-NASCAP at incidence 90.0 degree
   X,       Y
56200.0, 1407.2117
56400.0, 1415.0786
56600.0, 1416.0067
56800.0, 1423.8743
57000.0, 1431.744
57200.0, 1432.6619
57400.0, 1440.5323
57600.0, 1441.4417
57800.0, 1449.3127
58000.0, 1457.1859
58200.0, 1458.0848
58400.0, 1465.9585
58600.0, 1466.8494
58800.0, 1474.7231
59000.0, 1482.5991
59200.0, 1483.4796
59400.0, 1491.3558
59600.0, 1492.2281
59800.0, 1500.1041
60000.0, 1507.9824
60200.0, 1508.8445
60400.0, 1516.7225
60600.0, 1517.5768
60800.0, 1525.4546
61000.0, 1526.3007
61200.0, 1534.1783
61400.0, 1542.0577
61600.0, 1542.8938
61800.0, 1550.773
62000.0, 1551.6011
62200.0, 1559.4796
62400.0, 1567.3601
62600.0, 1568.1782
62800.0, 1576.0582
63000.0, 1576.8684
63200.0, 1584.7477
63400.0, 1592.6284
63600.0, 1593.429
63800.0, 1601.3092
64000.0, 1602.1017
64200.0, 1609.9812
64400.0, 1617.8618
64600.0, 1618.6448
64800.0, 1626.5247
65000.0, 1627.2999
65200.0, 1635.179
65400.0, 1643.0591
65600.0, 1643.8247
65800.0, 1651.7039
66000.0, 1652.4618
66200.0, 1660.3402
66400.0, 1668.2195
66600.0, 1668.9675
66800.0, 1676.8458
67000.0, 1677.5864
67200.0, 1685.4637
67400.0, 1693.3418
67600.0, 1694.0728
67800.0, 1701.9496
68000.0, 1702.6733
68200.0, 1710.5491
68400.0, 1718.425
68600.0, 1719.1393
68800.0, 1727.0143
69000.0, 1727.7211
69200.0, 1735.5946
69400.0, 1743.4688
69600.0, 1744.1661
69800.0, 1752.0391
70000.0, 1752.7291
70200.0, 1760.6002
70400.0, 1768.4722
70600.0, 1769.153
70800.0, 1777.0232
71000.0, 1777.6967
71200.0, 1785.5653
71400.0, 1793.4343
71600.0, 1794.0984
71800.0, 1801.9658
72000.0, 1802.623
72200.0, 1810.4885
72400.0, 1818.3544
72600.0, 1819.0023
72800.0, 1826.8665
73000.0, 1827.5073
73200.0, 1835.3696
73400.0, 1843.2319
73600.0, 1843.8638
73800.0, 1851.7245
74000.0, 1852.3492
74200.0, 1860.2076
74400.0, 1868.0663
74600.0, 1868.6821
74800.0, 1876.5387
75000.0, 1884.3956
75200.0, 1885.0023
75400.0, 1892.8568
75600.0, 1893.4569
75800.0, 1901.3093
76000.0, 1909.1617
76200.0, 1909.7529
76400.0, 1917.6029
76600.0, 1918.1873
76800.0, 1926.0354
77000.0, 1933.8833
77200.0, 1934.4589
77400.0, 1942.3044
77600.0, 1942.8733
77800.0, 1950.7166
78000.0, 1958.5597
78200.0, 1959.1195
78400.0, 1966.9602
78600.0, 1967.5135
78800.0, 1975.3519
79000.0, 1983.1902
79200.0, 1983.7349
79400.0, 1991.5703
79600.0, 1999.4055
79800.0, 1999.9414
80000.0, 2007.7743
80200.0, 2008.3038
80400.0, 2016.1342
80600.0, 2023.9641
80800.0, 2024.4847
81000.0, 2032.3123
81200.0, 2032.8268
81400.0, 2040.6511
81600.0, 2048.4753
81800.0, 2048.9814
82000.0, 2056.8027
82200.0, 2064.6235
82400.0, 2065.121
82600.0, 2072.9395
82800.0, 2073.4304
83000.0, 2081.246
83200.0, 2089.061
83400.0, 2089.5437
83600.0, 2097.356
83800.0, 2105.1675
84000.0, 2105.6416
84200.0, 2113.4504
84400.0, 2113.9185
84600.0, 2121.724
84800.0, 2129.5293
85000.0, 2129.9893
85200.0, 2137.7913
85400.0, 2138.245
85600.0, 2146.0444
85800.0, 2153.843
86000.0, 2154.2883
86200.0, 2162.084
86400.0, 2169.8787
86600.0, 2170.3157
86800.0, 2178.108
87000.0, 2178.5388
87200.0, 2186.3276
87400.0, 2194.1155
87600.0, 2194.5386
87800.0, 2202.3235
88000.0, 2210.1077
88200.0, 2210.5225
88400.0, 2218.303
88600.0, 2218.712
88800.0, 2226.49
89000.0, 2234.267
89200.0, 2234.6677
89400.0, 2242.4414
89600.0, 2250.214
89800.0, 2250.607
90000.0, 2258.3765
90200.0, 2258.7634
90400.0, 2266.5298
90600.0, 2274.2952
90800.0, 2274.674
91000.0, 2282.4365
91200.0, 2290.1973
91400.0, 2290.5686
91600.0, 2298.3262
91800.0, 2298.6917
92000.0, 2306.4463
92200.0, 2314.1995
92400.0, 2314.557
92600.0, 2322.3071
92800.0, 2330.056
93000.0, 2330.4058
93200.0, 2338.1511
93400.0, 2345.8958
93600.0, 2346.2375
93800.0, 2353.9785
94000.0, 2354.3152
94200.0, 2362.0527
94400.0, 2369.7893
94600.0, 2370.1182
94800.0, 2377.8506
95000.0, 2385.5825
95200.0, 2385.9033
95400.0, 2393.6318
95600.0, 2393.947
95800.0, 2401.6719
96000.0, 2409.3958
96200.0, 2409.7036
96400.0, 2417.4238
96600.0, 2425.1423
96800.0, 2425.4424
97000.0, 2433.1582
97200.0, 2440.8718
97400.0, 2441.1646
97600.0, 2448.875
97800.0, 2449.162
98000.0, 2456.8694
98200.0, 2464.5747
98400.0, 2464.8545
98600.0, 2472.5564
98800.0, 2480.2568
99000.0, 2480.5293
99200.0, 2488.226
99400.0, 2495.9216
99600.0, 2496.1868
99800.0, 2503.8787
100000.0, 2504.1382
