Energy (in eV), SEEP yield of material CFRP-NASCAP at incidence 0.0 degree
   X,       Y
19200.0, 1.596082
19400.0, 1.602295
19600.0, 1.6084498
19800.0, 1.6145467
20000.0, 1.6205865
20200.0, 1.6265705
20400.0, 1.6324993
20600.0, 1.6383737
20800.0, 1.6441942
21000.0, 1.6499622
21200.0, 1.6556778
21400.0, 1.6613421
21600.0, 1.6669557
21800.0, 1.6725193
22000.0, 1.6780335
22200.0, 1.683499
22400.0, 1.6889164
22600.0, 1.694287
22800.0, 1.6996102
23000.0, 1.7048879
23200.0, 1.7101195
23400.0, 1.7153064
23600.0, 1.7204489
23800.0, 1.7255476
24000.0, 1.730603
24200.0, 1.7356156
24400.0, 1.740586
24600.0, 1.7455151
24800.0, 1.7504029
25000.0, 1.7552497
25200.0, 1.7600569
25400.0, 1.7648243
25600.0, 1.7695522
25800.0, 1.7742416
26000.0, 1.7788926
26200.0, 1.7835059
26400.0, 1.7880818
26600.0, 1.7926207
26800.0, 1.7971231
27000.0, 1.8015893
27200.0, 1.8060198
27400.0, 1.8104151
27600.0, 1.8147756
27800.0, 1.8191016
28000.0, 1.8233931
28200.0, 1.8276514
28400.0, 1.8318762
28600.0, 1.8360676
28800.0, 1.8402264
29000.0, 1.8443532
29200.0, 1.8484479
29400.0, 1.852511
29600.0, 1.856543
29800.0, 1.8605436
30000.0, 1.8645139
30200.0, 1.8684539
30400.0, 1.8723639
30600.0, 1.8762441
30800.0, 1.8800949
31000.0, 1.8839166
31200.0, 1.8877097
31400.0, 1.8914744
31600.0, 1.8952105
31800.0, 1.8989191
32000.0, 1.9025998
32200.0, 1.9062535
32400.0, 1.9098797
32600.0, 1.9134791
32800.0, 1.917052
33000.0, 1.9205989
33200.0, 1.9241195
33400.0, 1.9276141
33600.0, 1.9310832
33800.0, 1.9345272
34000.0, 1.9379461
34200.0, 1.9413401
34400.0, 1.9447097
34600.0, 1.9480548
34800.0, 1.9513756
35000.0, 1.9546727
35200.0, 1.957946
35400.0, 1.9611958
35600.0, 1.9644226
35800.0, 1.9676262
36000.0, 1.970807
36200.0, 1.9739649
36400.0, 1.9771007
36600.0, 1.9802142
