Energy (in eV), SEEE yield of material CFRP-NASCAP at incidence 0.0 degree
   X,       Y
2720.0, 0.32514778
2730.0, 0.32447135
2740.0, 0.32379806
2750.0, 0.3231278
2760.0, 0.32246065
2770.0, 0.32179654
2780.0, 0.32113546
2790.0, 0.32047737
2800.0, 0.31982225
2810.0, 0.31917012
2820.0, 0.3185209
2830.0, 0.3178746
2840.0, 0.31723124
2850.0, 0.3165907
2860.0, 0.31595302
2870.0, 0.3153182
2880.0, 0.31468618
2890.0, 0.31405696
2900.0, 0.3134305
2910.0, 0.31280681
2920.0, 0.31218588
2930.0, 0.31156766
2940.0, 0.3109521
2950.0, 0.31033927
2960.0, 0.30972907
2970.0, 0.30912152
2980.0, 0.3085166
2990.0, 0.3079143
3000.0, 0.30731457
