Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
2730.0, 0.63813454
2740.0, 0.6368721
2750.0, 0.6356148
2760.0, 0.63436276
2770.0, 0.63311595
2780.0, 0.63187426
2790.0, 0.6306378
2800.0, 0.6294064
2810.0, 0.62818015
2820.0, 0.6269589
2830.0, 0.6257427
2840.0, 0.6245315
2850.0, 0.6233251
2860.0, 0.62212384
2870.0, 0.62092733
2880.0, 0.61973584
2890.0, 0.61854905
2900.0, 0.61736715
2910.0, 0.61619
2920.0, 0.61501765
2930.0, 0.61384994
2940.0, 0.61268705
2950.0, 0.61152875
2960.0, 0.61037505
2970.0, 0.6092261
2980.0, 0.60808164
2990.0, 0.60694176
3000.0, 0.6058064
3010.0, 0.6046756
3020.0, 0.6035492
3030.0, 0.6024273
3040.0, 0.6013098
3050.0, 0.6001968
3060.0, 0.59908813
3070.0, 0.5979836
3080.0, 0.59688365
3090.0, 0.5957879
3100.0, 0.5946966
3110.0, 0.5936093
3120.0, 0.5925263
3130.0, 0.59144753
3140.0, 0.5903728
3150.0, 0.5893025
3160.0, 0.5882361
3170.0, 0.58717394
3180.0, 0.5861157
3190.0, 0.58506167
3200.0, 0.5840117
3210.0, 0.58296555
3220.0, 0.58192354
3230.0, 0.5808854
3240.0, 0.57985127
3250.0, 0.5788211
3260.0, 0.5777948
3270.0, 0.5767724
3280.0, 0.5757537
3290.0, 0.5747389
3300.0, 0.573728
3310.0, 0.5727208
3320.0, 0.57171744
3330.0, 0.57071775
3340.0, 0.5697218
3350.0, 0.5687296
3360.0, 0.56774116
3370.0, 0.5667562
3380.0, 0.5657749
3390.0, 0.56479734
3400.0, 0.56382334
3410.0, 0.56285286
3420.0, 0.561886
3430.0, 0.5609227
3440.0, 0.5599628
3450.0, 0.5590066
3460.0, 0.5580538
3470.0, 0.55710435
3480.0, 0.5561585
3490.0, 0.555216
3500.0, 0.554277
3510.0, 0.5533413
3520.0, 0.5524089
3530.0, 0.55147994
3540.0, 0.5505543
3550.0, 0.5496321
3560.0, 0.5487131
3570.0, 0.54779726
3580.0, 0.5468848
3590.0, 0.5459756
3600.0, 0.54506963
3610.0, 0.54416686
3620.0, 0.54326725
3630.0, 0.54237086
3640.0, 0.54147756
3650.0, 0.5405874
3660.0, 0.5397005
3670.0, 0.53881663
3680.0, 0.53793573
3690.0, 0.5370581
3700.0, 0.53618354
3710.0, 0.5353118
3720.0, 0.5344433
3730.0, 0.5335777
3740.0, 0.53271514
3750.0, 0.5318556
3760.0, 0.53099895
3770.0, 0.5301453
3780.0, 0.5292945
3790.0, 0.52844673
3800.0, 0.52760184
3810.0, 0.52675974
3820.0, 0.5259206
3830.0, 0.5250843
3840.0, 0.5242508
3850.0, 0.52342016
3860.0, 0.5225924
3870.0, 0.5217674
3880.0, 0.52094513
3890.0, 0.5201257
3900.0, 0.519309
3910.0, 0.5184951
3920.0, 0.5176838
3930.0, 0.5168753
3940.0, 0.51606953
3950.0, 0.51526636
3960.0, 0.5144659
3970.0, 0.5136681
3980.0, 0.512873
3990.0, 0.51208043
4000.0, 0.5112906
4010.0, 0.51050335
4020.0, 0.50971866
4030.0, 0.5089365
4040.0, 0.50815696
4050.0, 0.50738
4060.0, 0.5066055
4070.0, 0.5058336
4080.0, 0.5050642
4090.0, 0.5042973
4100.0, 0.50353295
4110.0, 0.50277096
4120.0, 0.50201154
4130.0, 0.5012545
4140.0, 0.50049996
4150.0, 0.4997478
4160.0, 0.49899817
4170.0, 0.4982508
4180.0, 0.49750596
4190.0, 0.4967634
4200.0, 0.4960233
4210.0, 0.49528548
4220.0, 0.4945501
4230.0, 0.4938169
4240.0, 0.49308622
4250.0, 0.49235773
4260.0, 0.49163157
4270.0, 0.49090773
4280.0, 0.49018613
4290.0, 0.48946685
4300.0, 0.48874977
4310.0, 0.48803496
4320.0, 0.48732242
4330.0, 0.48661208
4340.0, 0.48590395
4350.0, 0.48519808
4360.0, 0.48449436
4370.0, 0.48379284
4380.0, 0.48309347
4390.0, 0.4823963
4400.0, 0.48170128
4410.0, 0.48100838
4420.0, 0.48031762
4430.0, 0.47962898
4440.0, 0.47894245
4450.0, 0.4782581
4460.0, 0.47757578
4470.0, 0.47689557
4480.0, 0.47621742
4490.0, 0.4755413
4500.0, 0.4748673
4510.0, 0.4741953
4520.0, 0.4735253
4530.0, 0.47285733
4540.0, 0.4721915
4550.0, 0.47152764
4560.0, 0.47086567
4570.0, 0.47020584
4580.0, 0.46954787
4590.0, 0.4688919
4600.0, 0.46823794
4610.0, 0.46758592
4620.0, 0.4669358
4630.0, 0.46628767
4640.0, 0.46564147
4650.0, 0.46499714
4660.0, 0.4643547
4670.0, 0.46371418
4680.0, 0.46307564
4690.0, 0.46243888
4700.0, 0.4618041
4710.0, 0.46117106
4720.0, 0.46054
4730.0, 0.45991072
4740.0, 0.45928323
4750.0, 0.45865768
4760.0, 0.45803395
4770.0, 0.45741197
4780.0, 0.4567918
4790.0, 0.45617357
4800.0, 0.4555569
4810.0, 0.4549422
4820.0, 0.4543292
4830.0, 0.45371795
4840.0, 0.45310846
4850.0, 0.4525008
4860.0, 0.4518949
