Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 70.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.20868316
70.0, 0.25723398
80.0, 0.2882697
90.0, 0.311058
100.0, 0.32897133
110.0, 0.34365386
120.0, 0.3560382
130.0, 0.3667062
140.0, 0.3760454
150.0, 0.38432705
160.0, 0.39174828
170.0, 0.39845666
180.0, 0.40456548
190.0, 0.4101636
200.0, 0.41532186
210.0, 0.42009765
220.0, 0.4245381
230.0, 0.4286823
240.0, 0.43256307
250.0, 0.43620816
260.0, 0.4396413
270.0, 0.4428829
280.0, 0.4459506
290.0, 0.4488598
300.0, 0.45162404
310.0, 0.45425513
320.0, 0.45676368
330.0, 0.45915893
340.0, 0.46144933
350.0, 0.46364227
360.0, 0.46574455
370.0, 0.46776226
380.0, 0.46970087
390.0, 0.4715654
400.0, 0.47336042
410.0, 0.47509
420.0, 0.47675806
430.0, 0.47836804
440.0, 0.47992316
450.0, 0.48142636
460.0, 0.4828804
470.0, 0.4842878
480.0, 0.48565093
490.0, 0.48697194
500.0, 0.48825288
510.0, 0.4894956
520.0, 0.49070188
530.0, 0.4918734
540.0, 0.49301165
550.0, 0.49411815
560.0, 0.49519417
570.0, 0.49624097
580.0, 0.49725989
590.0, 0.4982519
600.0, 0.49921814
610.0, 0.50015956
620.0, 0.5010772
630.0, 0.5019719
640.0, 0.5028445
650.0, 0.5036958
660.0, 0.50452656
670.0, 0.50533754
680.0, 0.5061294
690.0, 0.5069028
700.0, 0.50765836
710.0, 0.5083967
720.0, 0.5091183
730.0, 0.5098238
740.0, 0.5105137
750.0, 0.5111884
760.0, 0.51184845
770.0, 0.51249427
780.0, 0.51312625
790.0, 0.51374495
800.0, 0.51435053
810.0, 0.5149436
820.0, 0.5155243
830.0, 0.5160932
840.0, 0.51665044
850.0, 0.5171965
860.0, 0.51773155
870.0, 0.51825595
880.0, 0.51877
890.0, 0.5192739
900.0, 0.519768
910.0, 0.52025247
920.0, 0.52072763
930.0, 0.5211937
940.0, 0.5216509
950.0, 0.52209944
960.0, 0.5225395
970.0, 0.52297133
980.0, 0.5233951
990.0, 0.5238111
1000.0, 0.52421933
1010.0, 0.52402544
1020.0, 0.5238318
1030.0, 0.5236384
