Energy (in eV), SEEE yield of material ITOC-NASCAP at isotropic incidence
   X,       Y
2770.0, 2.0980225
2780.0, 2.0941486
2790.0, 2.0902936
2800.0, 2.0864565
2810.0, 2.0826375
2820.0, 2.078837
2830.0, 2.0750542
2840.0, 2.071289
2850.0, 2.0675416
2860.0, 2.0638115
2870.0, 2.060099
2880.0, 2.0564039
2890.0, 2.0527258
2900.0, 2.0490646
2910.0, 2.04542
2920.0, 2.0417926
2930.0, 2.0381823
2940.0, 2.0345879
2950.0, 2.03101
2960.0, 2.0274482
2970.0, 2.0239027
2980.0, 2.0203733
2990.0, 2.01686
3000.0, 2.0133624
3010.0, 2.0098805
3020.0, 2.0064142
3030.0, 2.0029638
3040.0, 1.999528
3050.0, 1.996108
3060.0, 1.9927032
3070.0, 1.9893135
3080.0, 1.9859384
3090.0, 1.9825786
3100.0, 1.9792329
3110.0, 1.9759024
3120.0, 1.972586
3130.0, 1.969285
3140.0, 1.9659976
3150.0, 1.9627243
3160.0, 1.9594656
3170.0, 1.9562209
3180.0, 1.9529903
3190.0, 1.9497732
3200.0, 1.9465697
3210.0, 1.9433805
3220.0, 1.9402049
3230.0, 1.9370424
3240.0, 1.9338931
3250.0, 1.9307575
3260.0, 1.9276351
3270.0, 1.9245259
3280.0, 1.9214298
3290.0, 1.9183465
3300.0, 1.9152762
3310.0, 1.9122185
3320.0, 1.9091736
3330.0, 1.9061413
3340.0, 1.903122
3350.0, 1.9001144
3360.0, 1.8971198
3370.0, 1.8941373
3380.0, 1.8911667
3390.0, 1.8882084
3400.0, 1.8852624
3410.0, 1.8823283
3420.0, 1.8794062
3430.0, 1.8764958
3440.0, 1.8735971
3450.0, 1.8707104
3460.0, 1.8678348
3470.0, 1.8649712
3480.0, 1.8621188
3490.0, 1.8592781
3500.0, 1.8564479
3510.0, 1.85363
3520.0, 1.8508226
3530.0, 1.8480266
3540.0, 1.8452414
3550.0, 1.8424672
3560.0, 1.8397042
3570.0, 1.8369517
3580.0, 1.8342103
3590.0, 1.831479
3600.0, 1.8287588
3610.0, 1.8260493
3620.0, 1.82335
3630.0, 1.8206612
3640.0, 1.8179824
3650.0, 1.8153147
3660.0, 1.8126565
3670.0, 1.8100088
3680.0, 1.8073711
3690.0, 1.8047436
3700.0, 1.802126
3710.0, 1.7995185
3720.0, 1.7969208
3730.0, 1.7943325
3740.0, 1.7917545
3750.0, 1.7891861
