Energy (in eV), SEEP yield of material CERS-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 3.2848809
400.0, 6.3293056
600.0, 9.294076
800.0, 12.509667
1000.0, 15.970428
1200.0, 18.936228
1400.0, 22.007767
1600.0, 25.186043
1800.0, 28.470173
2000.0, 31.858347
2200.0, 34.366436
2400.0, 37.913036
2600.0, 40.49281
2800.0, 44.195026
3000.0, 46.849598
3200.0, 50.70283
3400.0, 53.43288
3600.0, 56.183426
3800.0, 60.23688
4000.0, 63.062717
4200.0, 65.90997
4400.0, 68.77904
4600.0, 71.670166
4800.0, 76.01788
5000.0, 78.98201
5200.0, 81.968
5400.0, 84.9759
5600.0, 88.00572
5800.0, 91.05746
6000.0, 94.131065
6200.0, 97.22647
6400.0, 100.343605
6600.0, 103.48234
6800.0, 106.642586
7000.0, 109.82418
7200.0, 113.02701
7400.0, 116.25091
7600.0, 119.49576
7800.0, 122.76135
8000.0, 126.047554
8200.0, 129.35422
8400.0, 132.6811
8600.0, 134.13881
8800.0, 137.48547
9000.0, 140.85217
9200.0, 144.23871
9400.0, 147.6449
9600.0, 151.07053
9800.0, 154.51546
10000.0, 157.97949
10200.0, 159.41861
10400.0, 162.90207
10600.0, 166.40431
10800.0, 169.92519
11000.0, 173.46443
11200.0, 174.88914
11400.0, 178.44754
11600.0, 182.024
11800.0, 185.61836
12000.0, 189.23045
12200.0, 190.64331
12400.0, 194.27405
12600.0, 197.92218
12800.0, 201.58751
13000.0, 202.9891
13200.0, 206.67274
13400.0, 210.37328
13600.0, 214.09047
13800.0, 215.48201
14000.0, 219.2171
14200.0, 222.9686
14400.0, 226.73625
14600.0, 228.1187
14800.0, 231.90385
15000.0, 235.70491
15200.0, 239.52162
15400.0, 240.8958
15600.0, 244.72958
15800.0, 248.57877
16000.0, 249.9437
16200.0, 253.80965
16400.0, 257.6907
16600.0, 261.5866
16800.0, 262.94446
17000.0, 266.85675
17200.0, 270.78363
17400.0, 272.13318
17600.0, 276.07617
17800.0, 280.03342
18000.0, 281.37512
18200.0, 285.3481
18400.0, 289.33514
18600.0, 290.66928
18800.0, 294.67178
19000.0, 298.688
19200.0, 302.7178
19400.0, 304.04636
19600.0, 308.09116
19800.0, 312.1493
20000.0, 313.47083
20200.0, 317.5437
20400.0, 321.62964
20600.0, 322.9445
